CODGEO;LIBGEO;POP_MUN;POP_COM_QP;POP_COM;LIB_COM;TX_F;TX_TOT_0A24;TX_F_0A24;TX_TOT_60ETPLUS;TX_F_60ETPLUS;IND_JEUNE;TX_TOT_MEN1;TX_TOT_MEN6;TX_TOT_ET;TX_F_ET;NOTE_RP;A;PERCOU;AM;AI;ACSSENF;ACAVENF;AC3ENF;A_NETUD_24;A_ETUD;ENF;ENF_2;ENF_3_5;ENF_6_10;ENF_11_14;ENF_15_17;ENF_18_24;NOTE_CNAF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002013;Presles;5 766;9 085;28 522;Soissons;50,9;44,0;39,0;14,5;17,2;2,6;34,7;6,3;28,1;27,4;0;1 810;4 311;398;792;161;459;206;98;5;1 870;312;275;519;355;216;193;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002014;Chevreux;1 238;9 085;28 522;Soissons;49,3;52,1;52,2;10,4;;4,3;30,5;15,9;24,8;22,8;0;450;1 224;81;178;47;144;63;32;;575;80;79;171;114;66;65;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002015;Route De Vivières;1 080;1 080;10 676;Villers-Cotterêts;51,4;30,1;31,5;23,6;24,4;1,0;43,8;;9,7;10,9;0;367;798;91;165;38;73;24;22;;321;52;56;99;54;32;28;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002016;Blanchard;1 085;3 054;15 351;Château-Thierry;54,1;43,9;39,6;;;2,7;31,2;6,3;19,8;21,1;0;385;938;122;148;31;84;38;24;;436;66;76;111;83;54;46;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002017;Vaucrises;1 969;3 054;15 351;Château-Thierry;54,0;44,5;42,9;13,7;;2,7;27,4;;20,8;18,9;0;606;1 471;195;225;44;142;63;30;;678;97;100;214;131;74;62;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP003001;Coeur D'Agglo;3 706;5 412;37 539;Cusset, Vichy;51,9;33,4;29,2;25,7;28,0;0,9;57,2;;10,1;9,3;0;1 585;2 558;200;1 108;100;177;53;193;109;700;102;107;175;147;90;79;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP003002;Les Ailes;1 706;4 405;24 854;Vichy;57,2;40,9;32,8;28,1;35,0;1,2;44,2;;23,1;24,1;0;627;1 300;139;334;36;118;40;37;;519;80;80;134;114;55;56;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP003003;Moulins-Sud;3 607;3 607;19 563;Moulins;54,6;31,5;27,7;27,8;33,3;0,9;56,9;2,0;15,2;11,6;0;1 425;2 804;296;833;83;213;98;107;11;1 088;172;182;277;214;140;103;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP003004;Rive Gauche;2 648;4 309;34 938;Montluçon;52,2;34,6;28,8;27,8;35,4;1,0;58,4;;15,5;13,5;0;927;1 707;145;586;66;130;50;131;37;582;82;92;165;118;71;54;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP003005;Fontbouillant;1 174;4 409;37 420;Montluçon, Prémilhat;44,3;45,1;34,0;20,5;27,9;1,6;67,2;;12,7;13,6;0;479;785;57;340;38;44;24;46;75;228;33;39;62;38;30;26;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
