CODGEO;LIBGEO;POP_MUN;POP_COM_QP;POP_COM;LIB_COM;TX_F;TX_TOT_0A24;TX_F_0A24;TX_TOT_60ETPLUS;TX_F_60ETPLUS;IND_JEUNE;TX_TOT_MEN1;TX_TOT_MEN6;TX_TOT_ET;TX_F_ET;NOTE_RP;A;PERCOU;AM;AI;ACSSENF;ACAVENF;AC3ENF;A_NETUD_24;A_ETUD;ENF;ENF_2;ENF_3_5;ENF_6_10;ENF_11_14;ENF_15_17;ENF_18_24;NOTE_CNAF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002002;Faubourg D'Isle;2 427;11 723;53 856;Saint-Quentin;52,4;38,0;33,2;18,3;21,7;1,6;49,6;;7,4;;0;935;1 847;189;509;83;154;55;111;61;679;94;97;172;131;87;98;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002003;Neuville;1 511;11 723;53 856;Saint-Quentin;58,7;35,9;31,8;25,9;29,4;1,1;46,5;;1,4;1,6;0;653;1 304;176;311;59;107;31;58;;492;79;91;135;83;52;52;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002004;Vermandois;1 751;11 723;53 856;Saint-Quentin;52,3;38,3;35,1;;23,1;1,7;42,4;;9,8;;0;702;1 445;143;365;57;137;55;59;;547;91;92;143;107;64;50;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002005;Champ Roland Et Bords De L'Oise;1 314;2 272;8 800;Hirson;51,4;34,6;33,2;22,3;26,6;1,3;47,0;2,0;2,8;1,9;0;519;1 077;100;267;52;100;30;38;;405;57;58;94;82;59;55;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002006;Gare Et Verrière;958;2 272;8 800;Hirson;52,0;34,7;32,5;23,5;26,8;1,2;47,3;3,9;1,2;0,6;0;296;596;46;166;27;57;20;30;5;218;30;36;54;40;35;23;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002007;Quartier De L'Artilleur;1 218;1 218;2 847;La Fère;54,9;41,2;40,1;15,7;18,8;2,2;38,6;3,9;3,9;3,7;0;427;945;114;190;39;84;34;34;7;402;51;68;99;77;46;61;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002008;Roosevelt Rebequet;1 186;1 186;13 547;Tergnier;54,1;42,2;43,6;;;;46,7;;;;0;407;889;80;204;39;84;36;42;;355;53;47;96;81;44;34;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002009;Quartier De La Résidence;1 852;1 852;11 773;Chauny;54,1;41,0;37,1;16,2;18,5;2,2;39,4;4,7;6,8;;0;731;1 475;186;388;46;111;41;38;;586;72;85;143;124;96;66;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002010;Montreuil;1 461;5 597;24 710;Laon;53,7;35,1;31,2;24,5;29,2;1,2;57,1;;7,9;6,4;0;611;1 287;134;316;44;117;55;45;;518;80;83;113;100;83;59;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002011;Champagne Moulin - Roux;4 136;5 597;24 710;Laon;53,1;41,9;38,5;18,0;21,8;1,9;42,5;3,8;10,8;10,2;0;1 446;3 279;385;661;117;283;113;122;;1 424;250;231;354;238;165;186;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002012;Saint-Crépin Ouest;2 081;9 085;28 522;Soissons;56,4;26,7;24,5;27,6;32,9;0,8;55,0;;5,6;;0;917;1 589;146;573;89;109;33;41;;482;78;73;122;99;58;52;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002013;Presles;5 766;9 085;28 522;Soissons;51,4;42,5;38,0;15,1;17,9;2,4;36,4;5,5;24,8;24,6;0;1 791;4 276;392;770;176;453;195;84;;1 842;283;323;520;302;220;194;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002014;Chevreux;1 238;9 085;28 522;Soissons;49,8;52,0;52,9;;;;31,0;;25,2;22,6;0;452;1 230;78;179;45;150;69;44;;574;83;87;165;102;80;57;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002015;Route De Vivières;1 080;1 080;10 676;Villers-Cotterêts;50,7;34,3;38,6;18,9;19,2;1,4;35,5;;;;0;364;757;85;170;47;62;19;30;;285;44;56;84;47;29;25;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002016;Blanchard;1 085;3 054;15 351;Château-Thierry;54,1;43,8;40,0;;;3,0;31,7;5,2;16,2;18,6;0;343;877;116;119;18;90;34;35;;419;76;64;104;80;56;39;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002017;Vaucrises;1 969;3 054;15 351;Château-Thierry;53,9;41,9;39,8;15,6;;2,1;31,3;;17,4;15,7;0;592;1 472;192;211;42;147;58;22;;690;110;99;206;125;85;65;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP003001;Coeur D'Agglo;3 706;5 412;37 539;Cusset, Vichy;52,9;31,6;27,2;27,0;30,5;0,9;58,4;;11;10,3;0;1 606;2 619;197;1 107;120;182;56;212;129;717;119;118;178;136;95;71;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP003002;Les Ailes;1 706;4 405;24 854;Vichy;59,0;34,7;;33,7;41,9;0,8;49,8;;18,2;18,3;0;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP003003;Moulins-Sud;3 607;3 607;19 563;Moulins;54,1;31,0;26,1;28,2;33,2;0,9;57,3;1,7;14,9;12;0;1 351;2 687;282;773;82;214;95;94;14;1 041;173;172;280;201;119;96;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP003004;Rive Gauche;2 648;4 309;34 938;Montluçon;51,7;34,8;28,8;28,1;35,8;1,0;58,7;;14,4;13,3;0;955;1 821;143;590;66;156;56;140;35;649;100;94;171;123;92;69;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP003005;Fontbouillant;1 174;4 409;37 420;Montluçon, Prémilhat;45,0;46,5;37,3;18,0;23,9;1,8;68,8;;12,5;13,1;0;469;776;59;326;33;51;21;48;59;230;39;45;52;36;32;26;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP003006;Bien-Assis;621;4 343;43 680;Domérat, Montluçon;54,9;;;;;;49,7;;14,9;;0;265;617;74;129;16;46;18;13;;287;42;49;85;46;35;30;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP004001;Centre Ville - Pigeonnier;2 350;2 350;16 333;Digne-les-Bains;50,8;31,1;28,0;22,0;27,0;1,1;56,9;;18,4;15;0;958;1 503;145;675;53;85;28;100;90;412;59;54;111;91;56;41;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP004002;Centre Ville - Saint-Lazare;2 825;4 719;22 485;Manosque;51,3;29,8;29,5;25,5;26,8;0,9;53,7;;11;11,8;0;1 061;1 939;164;670;64;163;62;144;19;652;98;100;157;126;102;69;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP004003;Arc Serrets - Plantiers - Aliziers;1 894;4 719;22 485;Manosque;48,6;37,3;39,4;;;1,4;36,8;8,4;24,1;24,3;0;456;1 085;79;212;44;121;55;26;;465;85;68;122;103;47;40;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP005001;Haut - Gap;1 316;1 316;40 559;Gap;50,4;40,8;37,2;;;;41,4;;30,7;27,4;0;305;720;63;136;17;89;36;15;;307;45;46;81;57;51;27;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP006001;Las Planas;1 081;39 079;341 032;Nice;56,2;;;25,7;30,4;1,1;43,4;;10,6;;0;480;981;115;251;33;81;36;15;;378;60;44;91;87;58;38;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP006002;Coeur De Ville - Hauts De Vallauris;3 501;3 501;27 072;Vallauris;50,9;30,5;31,1;24,1;23,1;1,1;36,0;;31;27,5;0;1 032;2 142;176;538;91;227;79;78;9;795;114;107;216;181;104;73;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP006003;Ranguin-Frayère;4 743;6 797;115 436;Cannes, Le Cannet;53,9;37,0;34,9;21,5;22,9;1,4;32,8;3,0;14,6;13,7;0;1 432;3 207;309;717;76;330;142;79;;1 367;164;172;342;326;211;152;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP006004;Genêts - Oliviers - Saint-Pierre;2 054;6 797;115 436;Cannes, Le Cannet;54,1;33,4;28,0;25,6;29,5;1,1;27,4;;12,1;12,4;0;554;1 290;133;246;36;139;55;19;;557;62;68;145;119;83;80;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP006005;Grand Centre;6 806;8 132;48 865;Grasse;51,4;37,0;36,1;14,4;14,1;2,1;39,0;3,2;25,7;24,9;0;2 152;4 547;452;1 079;165;456;144;180;41;1 778;282;277;451;372;242;154;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP006006;Les Fleurs De Grasse;1 326;8 132;48 865;Grasse;53,9;36,2;33,3;19,9;23,0;1,6;24,2;;25,2;24,1;0;396;952;64;171;41;120;47;18;;391;48;53;118;88;45;39;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP006007;La Condamine;1 610;1 610;4 660;Drap;50,3;44,9;42,2;13,2;12,6;2,9;18,6;8,8;19,6;17,5;0;309;948;67;92;12;138;65;19;;488;54;63;141;126;61;43;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP006008;Centre;2 132;2 132;12 489;Carros;57,0;41,8;41,4;16,7;16,2;2,1;19,3;10,6;13,7;12,6;0;556;1 430;116;223;34;183;84;32;;661;80;91;181;153;90;66;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP006009;Résidence Sociale Nicéa;1 019;39 079;341 032;Nice;;;;;;;;;;;0;918;938;;905;;;;;;9;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP006010;Les Moulins - Le Point Du Jour;7 325;39 500;369 543;Nice, Saint-Laurent-du-Var;50,4;40,8;35,8;19,2;21,1;1,7;23,6;8,6;23,9;24,6;0;2 380;5 734;589;1 043;188;560;271;107;8;2 592;314;403;640;527;356;352;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP006011;Les Sagnes;864;39 079;341 032;Nice;50,9;30,2;29,7;27,9;27,8;;31,6;;19,4;;0;286;698;43;124;24;95;42;15;;292;54;52;70;56;40;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP006012;Centre;3 441;39 079;341 032;Nice;52,2;28,2;26,3;26,2;31,1;0,9;55,0;;26,4;25;0;1 416;2 530;204;916;78;218;58;96;149;815;113;129;217;161;114;81;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP006013;Paillon;12 919;39 079;341 032;Nice;50,9;41,8;38,4;16,6;17,9;2,0;33,6;6,7;28,9;28,3;0;4 538;10 595;1 020;2 091;343;1 084;477;330;69;4 629;671;709;1 208;922;617;502;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
