CODGEO;LIBGEO;POP_MUN;POP_COM_QP;POP_COM;LIB_COM;TX_F;TX_TOT_0A24;TX_F_0A24;TX_TOT_60ETPLUS;TX_F_60ETPLUS;IND_JEUNE;TX_TOT_MEN1;TX_TOT_MEN6;TX_TOT_ET;TX_F_ET;A;PERCOU;AM;AI;ACSSENF;ACAVENF;AC3ENF;A_NETUD_24;A_ETUD;ENF;ENF_2;ENF_3_5;ENF_6_10;ENF_11_14;ENF_15_17;ENF_18_24;NOTE_CNAF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059051;Boulevard De La Liberté;3 451;3 451;10 964;Douchy-les-Mines;55,7;39,5;36,0;15,2;19,0;2,1;35,1;;5,7;5,4;1 140;2 474;257;563;80;240;94;69;;1 011;140;155;247;191;144;134;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059052;Schneider;2 448;4 689;16 810;Escaudain, Lourches, Roeulx;53,6;40,8;37,6;20,0;23,9;1,7;34,0;6,0;5,8;5,8;719;1 730;121;326;56;216;89;52;;748;108;105;209;149;107;70;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059053;Couture Savonnerie;1 232;2 156;9 214;Escaudain;51,5;38,2;35,5;16,1;18,7;1,9;25,2;4,6;4,3;4,4;343;865;75;125;29;114;37;20;;382;61;58;88;75;50;50;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059054;Gambetta;1 172;17 701;33 565;Denain, Escaudain, Lourches;51,2;41,7;39,0;15,8;17,5;2,2;22,3;6,7;;4;368;1 009;75;120;35;138;57;36;;468;64;83;127;101;57;36;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059055;Sabatier;2 781;3 795;12 682;Raismes;51,2;37,1;32,9;24,7;30,0;1,3;29,3;7,3;4,7;4,9;702;1 944;138;203;81;280;98;45;;882;123;140;228;165;123;103;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059056;Brunehaut;1 292;7 536;28 923;Bruay-sur-l'Escaut, Escautpont, Raismes;54,1;34,9;33,1;21,3;27,2;1,4;34,2;5,1;6,4;6,2;363;851;73;154;43;93;41;18;;357;50;65;97;64;56;25;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059057;Collinière;1 477;2 603;16 653;Saint-Amand-les-Eaux;58,3;45,3;41,4;9,8;12,4;3,9;28,4;5,2;4,7;3,6;503;1 081;117;236;43;107;40;26;;441;49;65;114;84;73;56;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059058;Elnon;1 126;2 603;16 653;Saint-Amand-les-Eaux;52,8;31,8;29,2;28,5;33,4;0,9;40,2;;;;320;694;50;159;25;86;30;23;;270;36;37;66;54;41;36;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059059;Arenberg;1 721;5 429;19 390;Bellaing, Raismes, Wallers;52,8;34,8;30,7;24,9;27,9;1,1;28,2;7,3;10,5;9,5;406;1 095;63;132;39;172;61;20;;479;82;76;113;82;65;61;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059060;Petit Steendam;1 274;1 274;22 015;Coudekerque-Branche;53,0;40,5;37,3;14,6;18,7;1,9;34,5;;;;463;1 049;94;202;45;122;39;33;;419;74;70;87;75;59;54;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059061;Saint Pol Sur Mer Quartiers Ouest;4 008;14 780;89 882;Dunkerque;51,1;40,3;37,8;14,0;16,6;2,3;36,6;3,3;7,9;7,5;1 110;2 509;215;504;99;292;96;74;;1 017;181;150;273;186;122;105;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059062;Banc Vert - Ile Jeanty - Carré De La Vieille - Jeu De mail;5 912;14 780;89 882;Dunkerque;51,8;40,7;39,4;13,5;14,2;2,3;33,0;3,5;6,5;5;2 000;4 254;406;964;195;435;135;141;13;1 631;297;252;410;276;228;168;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059063;Soubise - Basse Ville;4 860;14 780;89 882;Dunkerque;52,0;40,4;40,9;13,0;15,4;2,1;45,7;1,8;4,8;4,5;1 573;3 008;296;913;115;249;73;152;74;1 082;188;168;254;208;147;117;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059064;Albeck - Europe - Moulin;8 659;8 659;21 364;Grande-Synthe;50,9;41,9;40,9;11,7;11,7;2,9;27,4;5,4;10,6;10,1;2 598;6 499;543;986;258;811;303;166;8;2 840;482;493;709;516;323;317;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059065;Degroote;1 141;1 141;6 952;Téteghem;52,8;42,4;40,9;11,0;11,3;3,1;32,1;4,0;3,2;2,9;266;591;62;118;23;63;16;20;;241;35;39;61;37;34;35;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059066;Pont de Bois;5 218;10 684;62 616;Villeneuve-d'Ascq;53,0;43,8;44,0;5,3;5,3;6,5;37,9;3,3;14,7;14,1;1 840;4 190;417;833;117;473;159;111;52;1 760;344;340;450;271;204;151;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059067;Résidence-Poste-Terroir;2 983;10 684;62 616;Villeneuve-d'Ascq;52,3;41,9;37,2;10,2;10,5;3,4;32,8;5,7;15;13,6;814;1 949;156;367;59;232;104;36;18;845;146;127;220;159;110;83;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059068;Résidence;2 483;10 684;62 616;Villeneuve-d'Ascq;53,7;39,4;37,6;12,6;;2,5;35,1;;11,5;10,2;756;1 901;178;279;57;242;84;36;16;848;141;160;203;161;117;66;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059069;Attargette - Chanzy;1 786;3 030;25 978;Armentières;53,2;40,1;37,0;16,0;17,8;2,0;28,9;;10;8,7;569;1 316;119;255;41;154;49;29;;558;104;90;150;107;64;43;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059070;Bizet - Briquetterie;1 244;3 030;25 978;Armentières;50,6;48,9;46,6;;;;19,1;;2,5;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059071;Quartier Intercommunal Hautchamps Longchamp - Lionderie - 3 Baudets;8 042;76 940;128 024;Hem, Lys-lez-Lannoy, Roubaix;49,1;39,7;36,0;15,0;18,5;2,1;36,3;6,6;10,6;10,3;2 622;6 160;598;1 199;175;650;255;120;;2 690;406;426;630;492;362;374;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059072;Pacot - Vandracq;1 166;1 166;28 491;Lambersart;51,6;40,2;37,2;12,7;16,8;2,6;35,8;;8,5;;403;914;98;175;31;99;28;26;;379;71;61;90;72;49;36;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059073;Secteur Ouest;1 778;63 771;231 491;Lille;52,6;43,8;45,9;;;;32,6;5,1;16,6;15,2;616;1 441;133;281;32;170;66;28;12;624;105;102;144;114;89;70;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059074;Secteur Sud;47 687;69 725;269 638;Faches-Thumesnil, Lille, Loos;52,0;43,7;42,5;12,4;14,3;2,4;47,0;4,2;17;15,2;18 440;36 795;2 679;10 887;1 369;3 505;1 438;1 390;3 159;13 499;2 410;2 299;3 407;2 319;1 606;1 458;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059075;Secteur Nord Est;12 711;63 771;231 491;Lille;51,5;40,3;40,0;12,0;12,4;2,3;45,4;3,3;14,3;12,2;5 088;9 735;752;3 073;365;898;292;422;976;3 378;656;563;896;585;369;309;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059076;Secteur Nord;1 443;63 771;231 491;Lille;55,9;33,8;;;;;45,3;;15,3;15,2;489;985;99;265;36;89;29;12;8;362;58;60;101;65;46;32;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059077;Les Oliveaux;3 445;5 048;20 650;Loos;55,1;42,2;41,1;11,7;12,5;2,8;39,8;4,6;9,9;8,5;1 021;2 235;200;512;79;230;82;72;17;908;169;164;217;171;99;88;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059078;Clémenceau-Kiener;1 328;5 048;20 650;Loos;53,3;42,1;45,3;17,3;;2,1;20,3;;;;323;908;77;86;27;133;43;47;9;427;78;79;93;75;59;43;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059079;La Briquetterie;1 350;1 350;39 392;Marcq-en-Baroeul;52,7;36,5;36,6;15,5;15,6;1,9;26,5;3,1;9,9;10;452;1 065;128;186;45;93;33;27;;478;61;82;129;87;66;53;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059080;Nouveau Mons - Les Sarts- Dombrowski;10 603;83 725;253 004;Lille, Mons-en-Baroeul;52,8;42,0;37,8;14,3;15,7;2,5;34,1;5,5;11,8;11,2;2 877;7 151;651;1 164;215;847;345;137;56;3 215;476;531;891;575;365;377;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059081;Comtesse De Ségur;1 861;1 861;18 570;Ronchin;58,9;41,1;35,5;16,8;22,7;2,0;45,6;1,5;7,7;7,1;382;925;94;152;30;106;36;31;;410;72;62;111;71;54;40;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059082;Quartier Intercommunal Roubaix-Tourcoing - Blanc Seau - Croix Bas Saint Pierre;69 303;98 145;252 476;Croix, Roubaix, Tourcoing, Wattrelos;51,1;44,9;43,4;12,0;13,0;3,1;31,8;8,6;17,6;17,3;22 244;56 409;4 750;9 766;1 421;6 307;2 942;1 445;818;26 444;4 270;4 304;6 967;4 714;3 217;2 972;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059083;Nouveau Roubaix;2 132;70 537;95 866;Roubaix;55,9;35,8;33,9;14,2;17,0;2,1;41,4;;8,5;8,1;832;1 884;186;398;47;201;82;36;;808;127;148;213;144;92;84;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059084;La Mouchonnière;1 608;1 608;12 571;Seclin;51,9;43,5;39,9;8,4;9,1;4,2;35,1;5,7;5;5,5;527;1 194;122;255;33;117;46;41;;515;71;76;125;114;72;57;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059085;Phalempins;4 037;21 776;93 974;Tourcoing;51,6;46,2;42,6;11,0;15,0;3,4;24,3;6,9;9,6;9,6;1 022;2 887;216;374;50;382;175;76;34;1 434;239;226;398;274;170;127;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059086;Virolois;4 204;21 776;93 974;Tourcoing;49,5;42,0;39,8;12,2;12,6;2,8;32,5;6,0;13,5;13,4;1 337;3 477;270;527;79;461;192;80;13;1 615;317;248;425;281;187;157;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059087;La Bourgogne;6 836;21 776;93 974;Tourcoing;51,5;42,7;41,5;12,4;12,2;2,8;32,1;6,1;16,7;16,5;2 300;5 461;505;1 058;160;577;256;123;6;2 414;447;377;615;416;281;278;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059088;Pont Rompu;1 435;21 776;93 974;Tourcoing;51,1;35,4;33,7;23,9;;1,2;19,0;;15,8;17,7;385;984;59;173;30;123;56;11;;435;72;62;112;75;53;61;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059089;Blanc Riez;4 385;4 385;14 179;Wattignies;54,0;37,2;35,2;14,4;17,9;2,0;43,2;2,6;7,4;7,6;1 035;2 505;236;399;92;308;105;72;12;1 077;220;198;262;175;127;95;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059090;Epidéme Villas Couteaux;5 249;27 213;135 496;Tourcoing, Wattrelos;54,0;40,1;37,6;15,1;18,0;2,0;37,3;4,0;10,7;9,6;1 735;3 785;382;820;127;406;128;112;21;1 527;302;248;388;246;182;161;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP059091;Centralité De Beaulieu;3 310;5 437;41 522;Wattrelos;54,3;36,9;33,7;14,5;18,1;2,2;38,1;;6,1;5,7;1 006;2 323;246;444;67;249;87;63;;1 005;157;150;258;210;127;103;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP060001;Les Hauts De Creil;19 538;19 538;34 262;Creil;51,8;44,0;42,5;10,7;10,8;3,5;24,1;9,2;27;25,9;5 444;15 333;1 045;1 867;468;2 064;1 015;234;9;7 336;1 231;1 290;2 010;1 338;823;644;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP060002;Les Martinets;3 719;3 719;12 843;Montataire;52,6;42,9;40,6;15,4;15,7;2,2;31,7;6,5;15,3;13,9;1 047;2 734;205;418;64;360;158;49;;1 263;180;201;324;253;175;130;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP060003;Les Côteaux;2 349;5 177;18 753;Nogent-sur-Oise;47,1;39,5;40,7;15,7;9,6;2,1;23,1;8,6;21,7;21,4;669;1 820;135;243;54;237;111;32;;855;135;147;233;141;120;79;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP060004;Les Rochers L'Obier;2 828;5 177;18 753;Nogent-sur-Oise;52,0;44,3;42,8;12,7;;2,9;32,3;11,6;23,6;22,2;763;2 208;137;265;60;301;144;32;;1 085;176;188;298;212;114;97;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP060005;Belle Vue Belle Visée;2 137;2 137;6 431;Villers-Saint-Paul;52,1;44,1;42,7;10,1;10,8;3,6;26,0;7,3;14;13,9;568;1 597;136;178;42;212;92;20;;780;137;104;235;152;92;60;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP060006;Vivier Corax;2 670;8 812;40 430;Compiègne;50,0;43,6;41,0;10,0;10,9;3,4;28,2;4,8;15,8;12,2;758;1 672;181;353;58;166;67;46;5;690;128;136;181;113;73;59;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP060007;Clos Des Roses;3 059;8 812;40 430;Compiègne;52,2;42,9;41,1;13,7;;2,2;36,6;;26,2;22,3;927;2 330;234;366;70;257;106;45;58;1 079;163;185;284;218;131;98;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
