CODGEO;LIBGEO;POP_MUN;POP_COM_QP;POP_COM;LIB_COM;TX_F;TX_TOT_0A24;TX_F_0A24;TX_TOT_60ETPLUS;TX_F_60ETPLUS;IND_JEUNE;TX_TOT_MEN1;TX_TOT_MEN6;TX_TOT_ET;TX_F_ET;A;PERCOU;AM;AI;ACSSENF;ACAVENF;AC3ENF;A_NETUD_24;A_ETUD;ENF;ENF_2;ENF_3_5;ENF_6_10;ENF_11_14;ENF_15_17;ENF_18_24;NOTE_CNAF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002011;Champagne Moulin - Roux;4 396;5 772;25 219;Laon;55,9;42,7;39,6;16,2;19,3;2,1;39,2;4,3;9,9;9;1 437;3 297;384;620;122;311;102;154;7;1 424;264;238;321;242;194;165;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002012;Saint-Crépin Ouest;2 275;8 829;28 472;Soissons;57,4;31,1;28,5;25,1;27,6;0,9;48,3;;;;876;1 554;150;530;74;122;26;40;;494;72;79;127;97;67;52;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002013;Presles;5 519;8 829;28 472;Soissons;52,8;39,1;37,5;16,3;17,1;1,9;34,2;3,9;15,3;14,8;1 769;4 279;417;717;162;473;194;107;;1 864;332;348;482;295;228;179;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002014;Chevreux;1 035;8 829;28 472;Soissons;52,3;49,7;47,6;;;;22,2;;13,4;8,9;325;954;60;116;30;119;59;18;;476;75;76;126;86;63;50;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002015;Route De Vivières;1 318;1 318;10 797;Villers-Cotterêts;52,1;40,4;39,0;14,5;15,9;2,2;30,4;3,2;14,8;14,8;339;798;81;129;42;87;32;24;;327;61;70;76;52;32;36;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002016;Blanchard;1 168;2 937;14 189;Château-Thierry;57,0;43,2;39,5;16,1;19,0;2,2;26,4;7,6;8,9;7,7;309;788;109;98;21;81;26;25;;377;58;72;104;69;43;31;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002017;Vaucrises;1 769;2 937;14 189;Château-Thierry;54,1;38,4;38,0;;;;27,1;;20;19,9;457;1 093;138;168;27;124;42;25;;485;76;90;142;72;56;49;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP003001;Coeur D'Agglo;3 887;5 568;38 870;Cusset, Vichy;51,8;35,7;33,9;22,2;25,1;1,1;58,2;;13,6;12,9;1 516;2 577;208;998;107;203;57;168;121;773;135;120;196;135;112;75;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP003002;Les Ailes;1 681;4 361;25 325;Vichy;57,6;30,9;;29,9;37,0;0,8;46,3;;18;15,7;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP003003;Moulins-Sud;3 414;3 414;19 474;Moulins;56,7;30,7;27,2;24,6;27,9;1,0;51,6;;8,6;7,6;1 338;2 676;300;736;89;213;87;111;14;1 044;188;162;274;179;148;93;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP003004;Rive Gauche;2 841;5 271;37 839;Montluçon;54,9;37,0;33,9;25,8;31,9;1,1;55,8;;12,1;11,1;959;1 915;151;542;85;181;53;151;34;700;132;124;174;119;85;66;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP003005;Fontbouillant;1 234;5 371;40 247;Montluçon, Prémilhat;53,0;36,8;33,0;21,0;;1,3;66,7;1,7;;;454;719;62;320;28;44;16;39;74;197;37;23;49;32;32;24;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP003006;Bien-Assis;1 323;5 298;46 872;Domérat, Montluçon;57,0;45,9;38,6;;;;33,4;;14,9;13,7;339;751;103;157;16;63;28;21;;332;48;65;94;55;40;30;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP004001;Centre Ville - Pigeonnier;2 100;2 100;16 512;Digne-les-Bains;52,6;29,5;28,4;26,4;27,0;0,8;62,7;;16,7;14,6;925;1 561;165;593;59;108;28;87;68;479;84;78;110;102;67;38;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP004002;Centre Ville - Saint-Lazare;3 427;5 489;22 412;Manosque;52,1;34,0;33,3;22,0;25,0;1,1;51,2;;11,2;9,5;1 045;1 895;185;631;68;161;53;130;24;632;118;97;144;117;96;60;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP004003;Arc Serrets - Plantiers - Aliziers;2 062;5 489;22 412;Manosque;50,0;37,9;35,9;23,6;23,9;1,4;27,9;5,7;16,2;12,6;461;1 142;84;199;36;142;60;21;;507;78;88;138;88;71;44;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP005001;Haut - Gap;1 441;1 441;40 255;Gap;51,4;41,9;37,1;15,6;17,8;2,3;31,3;;12,2;12,1;330;797;67;146;21;96;42;16;;350;46;57;90;70;47;40;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP006001;Las Planas;1 328;38 218;342 295;Nice;55,5;37,7;;19,4;;1,7;29,9;0,2;8,4;;458;959;121;236;28;73;32;5;;391;44;53;109;85;56;44;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP006002;Coeur De Ville - Hauts De Vallauris;3 347;3 347;26 465;Vallauris;50,9;39,3;39,2;15,1;15,5;2,1;26,2;6,3;25,8;24,8;976;2 143;163;465;92;256;79;55;6;819;106;129;208;160;124;92;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP006003;Ranguin-Frayère;4 029;6 038;116 512;Cannes, Le Cannet;53,4;32,6;28,8;23,0;26,0;1,2;35,0;2,9;17,4;13,8;1 103;2 568;267;484;74;278;103;39;;1 122;147;147;314;234;159;121;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP006004;Genêts - Oliviers - Saint-Pierre;2 009;6 038;116 512;Cannes, Le Cannet;51,3;35,4;32,0;24,2;25,7;1,3;28,8;;12,1;12,2;506;1 244;117;214;32;143;61;17;;561;53;74;141;139;94;60;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP006005;Grand Centre;6 984;8 391;50 916;Grasse;49,1;36,3;35,6;12,7;12,9;2,3;39,6;2,7;24,9;21,1;1 966;4 386;470;886;144;466;143;136;19;1 812;303;283;521;322;237;146;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP006006;Les Fleurs De Grasse;1 407;8 391;50 916;Grasse;55,8;40,0;32,4;19,2;;1,8;29,7;7,7;20,8;20,2;351;911;71;126;34;120;49;9;;408;49;66;117;70;60;46;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP006007;La Condamine;1 555;1 555;4 317;Drap;50,1;44,0;41,7;10,9;10,1;3,5;19,0;7,9;17,8;15,8;340;1 088;90;84;14;152;73;17;;584;66;100;165;115;83;55;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP006008;Centre;2 001;2 001;11 756;Carros;51,5;43,8;37,1;14,4;15,0;2,5;25,9;9,4;12,2;9,8;573;1 523;133;208;39;193;89;17;;722;100;127;193;157;97;48;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP006009;Résidence Sociale Nicéa;1 008;38 218;342 295;Nice;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP006010;Les Moulins - Le Point Du Jour;7 795;38 601;371 186;Nice, Saint-Laurent-du-Var;52,1;44,6;39,2;16,9;18,9;2,1;23,4;10,9;21,1;20,7;2 208;5 325;578;937;187;506;243;76;5;2 408;316;322;607;446;352;365;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
