CODGEO;LIBGEO;POP_MUN;POP_COM_QP;POP_COM;LIB_COM;TX_F;TX_TOT_0A24;TX_F_0A24;TX_TOT_60ETPLUS;TX_F_60ETPLUS;IND_JEUNE;TX_TOT_MEN1;TX_TOT_MEN6;TX_TOT_ET;TX_F_ET;A;PERCOU;AM;AI;ACSSENF;ACAVENF;AC3ENF;A_NETUD_24;A_ETUD;ENF;ENF_2;ENF_3_5;ENF_6_10;ENF_11_14;ENF_15_17;ENF_18_24;NOTE_CNAF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP067003;Saverne - Quartiers Est;1 426;1 426;11 609;Saverne;50,1;39,2;36,8;15,0;16,1;2,3;23,4;;24;26,1;380;1 080;80;123;32;145;58;24;;520;68;73;128;114;84;53;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP067004;Quartiers Ouest;5 957;9 582;48 882;Bischheim, Schiltigheim;53,0;40,6;36,7;20,8;23,1;1,7;31,4;7,0;22,4;23,1;1 832;4 547;373;742;171;546;232;111;33;1 984;285;315;498;368;267;251;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP067005;Guirbaden;1 691;4 767;17 432;Bischheim;49,3;36,7;32,6;16,9;;1,7;31,1;3,6;25,8;23,5;551;1 206;109;268;55;119;51;19;;475;74;58;128;94;66;55;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP067006;Libermann;2 327;2 327;26 455;Illkirch-Graffenstaden;56,7;34,3;33,1;21,7;24,7;1,3;33,3;;11,9;10,4;741;1 805;216;276;54;195;79;32;;814;120;122;224;156;106;86;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP067007;Quartier Prioritaire De Lingolsheim;2 701;2 701;17 450;Lingolsheim;52,6;43,2;40,8;16,6;18,1;2,3;31,5;7,0;15,2;15,9;480;1 377;94;164;30;192;81;28;5;678;106;113;167;127;99;66;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP067008;Marais;1 934;4 815;31 450;Schiltigheim;51,7;34,5;;22,8;;1,2;37,0;;19,8;16,1;665;1 520;131;321;37;176;81;34;7;636;86;88;165;133;96;68;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP067009;Hohberg;2 937;64 499;275 718;Strasbourg;53,1;37,2;34,8;21,8;23,8;1,4;25,4;;29,5;29,1;829;2 313;138;301;72;318;144;38;;1 089;185;194;307;201;115;87;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP067010;Molkenbronn;1 875;64 499;275 718;Strasbourg;51,3;37,2;;18,6;;1,6;37,7;;27,4;27,6;720;1 882;164;245;67;244;92;31;7;843;152;136;237;151;89;78;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP067011;Hautepierre;12 869;64 499;275 718;Strasbourg;52,0;42,0;39,5;15,0;16,3;2,3;28,2;8,6;24,3;24,8;3 900;10 522;697;1 445;397;1 361;653;210;33;4 828;617;682;1 242;977;652;658;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP067012;Koenigshoffen-Est;2 251;64 499;275 718;Strasbourg;54,2;39,3;;;;;42,6;;;;661;1 748;133;247;50;231;105;39;10;802;119;115;208;159;118;83;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP067013;Cronenbourg;7 991;64 499;275 718;Strasbourg;51,6;40,8;38,9;15,3;16,4;2,3;25,5;6,3;27,2;27,8;2 591;6 786;417;1 041;235;898;413;125;106;3 027;417;487;799;602;408;314;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP067014;Elsau;5 014;64 499;275 718;Strasbourg;55,1;43,0;41,9;17,9;17,9;2,1;26,8;9,1;27,9;27,5;1 430;3 895;267;567;125;471;264;56;5;1 852;196;271;486;391;262;246;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP067015;Laiterie;2 949;64 499;275 718;Strasbourg;48,9;37,7;;;;;50,0;;28,7;30,3;1 152;2 119;155;715;82;200;61;86;137;682;134;130;161;111;78;68;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP067016;Neuhof - Meinau;16 800;64 499;275 718;Strasbourg;52,4;42,9;39,9;15,2;16,3;2,3;27,0;6,4;24;23;5 826;14 313;1 254;2 505;470;1 597;686;326;65;6 356;948;968;1 654;1 227;824;735;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP067017;Cité De L'Ill;4 199;64 499;275 718;Strasbourg;53,8;35,7;32,8;21,9;24,1;1,3;38,6;;17,9;17,4;1 307;3 097;264;576;120;347;155;55;;1 314;203;222;326;250;169;144;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP067018;Spach;2 493;64 499;275 718;Strasbourg;54,6;33,1;35,8;;;1,0;54,3;;22;23,1;1 015;1 737;121;662;80;152;35;51;173;483;90;94;97;83;62;57;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP067019;Ampère;1 259;64 499;275 718;Strasbourg;50,8;41,2;36,7;12,8;13,0;2,7;29,3;4,7;18,1;18;454;1 058;122;191;33;108;39;24;;461;81;81;124;76;58;41;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP067020;Port Du Rhin;1 461;64 499;275 718;Strasbourg;53,3;38,3;;;;1,9;38,8;;24,8;27,9;581;1 219;135;286;54;106;37;27;16;473;94;96;111;80;50;42;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP067021;Murhof;2 401;64 499;275 718;Strasbourg;54,7;41,1;40,0;16,8;16,8;2,1;22,4;;21,6;20;710;1 888;146;234;80;250;107;34;;840;121;173;219;143;102;82;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP068001;Florimont - Bel Air;1 901;12 092;67 956;Colmar;48,0;38,2;36,6;16,0;17,9;2,0;31,2;;19,6;19,6;369;857;54;181;38;96;48;24;;352;62;54;85;63;60;28;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP068002;Europe - Schweitzer;10 191;12 092;67 956;Colmar;52,2;41,9;39,1;14,9;15,7;2,3;27,0;4,1;28,1;28;2 750;7 154;555;1 079;207;909;399;157;81;3 265;535;516;887;624;411;292;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP068003;Quartier Les Coteaux;8 111;50 823;112 063;Mulhouse;52,2;44,7;42,6;15,2;17,0;2,5;28,8;9,7;31,1;31,2;2 357;7 003;483;779;187;908;490;103;10;3 516;500;565;944;670;456;381;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP068004;Quartier De Bourtzwiller;4 419;50 823;112 063;Mulhouse;51,9;40,6;38,4;17,4;18,1;2,0;30,5;7,5;25,4;25,9;1 307;3 377;214;558;104;431;213;48;;1 526;232;270;388;280;183;173;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP068005;Péricentre;34 043;50 823;112 063;Mulhouse;49,4;39,1;38,5;15,8;16,6;2,0;41,8;4,6;30,2;28,8;10 368;23 485;1 586;5 282;732;2 768;1 153;819;557;9 579;1 636;1 601;2 596;1 773;1 164;809;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP068006;Drouot - Jonquilles;4 674;52 510;126 933;Illzach, Mulhouse;51,5;36,3;35,5;18,1;19,2;1,6;35,9;4,5;20,6;21,1;1 445;3 232;252;712;108;373;159;74;;1 299;225;197;356;239;162;120;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP068007;Quartier Brustlein;1 263;50 823;112 063;Mulhouse;48,7;;;;;2,1;;;29,7;31,2;275;849;48;85;18;124;61;12;;423;68;73;115;86;49;32;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP068008;Markstein - La Forêt;1 893;1 893;14 666;Wittenheim;50,2;45,0;41,4;14,9;13,4;2,5;20,2;12,1;22,9;24,5;387;1 204;91;98;32;166;85;12;;615;89;104;174;119;67;62;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP068009;Quartier De La Gare;1 889;1 889;19 907;Saint-Louis;51,0;36,8;37,6;15,9;17,4;1,9;41,0;;31,6;31,9;509;1 284;80;218;42;169;68;25;10;559;70;77;152;113;81;66;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP068010;Quartier Bel Air;1 139;1 139;11 664;Cernay;53,2;46,7;48,0;;;2,0;;14,3;27,3;25,3;258;721;48;81;31;98;45;10;;336;37;53;103;66;41;36;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP069001;Périmètre Nord De Ville;1 782;1 782;10 733;Tarare;52,2;38,8;35,8;22,2;26,4;1,5;42,3;6,9;14;13,2;409;1 040;71;172;36;130;61;38;;455;68;81;117;84;63;42;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP069002;Monod;2 283;14 197;147 192;Villeurbanne;53,0;44,9;42,2;14,3;;2,7;25,3;7,8;25,1;23,9;699;1 883;138;280;36;245;110;59;31;902;118;136;277;156;108;107;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP069003;La Source;985;985;7 242;Neuville-sur-Saône;52,9;36,1;32,7;18,9;20,8;1,5;25,9;2,4;24,3;25,2;255;638;53;90;34;78;28;9;;267;56;37;60;54;40;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP069004;Centre;3 129;8 103;19 574;Givors;50,5;34,0;32,3;19,6;20,5;1,3;40,0;;25;23,8;922;2 260;139;427;61;295;126;44;6;979;162;151;260;183;130;93;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP069005;Les Pérouses;810;810;11 429;Brignais;51,2;37,0;;;;1,5;28,6;8,0;;;199;520;37;75;16;71;26;15;;234;34;42;65;42;28;23;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP069006;Le Garet;1 201;8 704;36 531;Villefranche-sur-Saône;53,6;48,2;47,1;;;;28,4;;22,3;24,6;305;948;80;81;22;122;66;16;;501;76;97;140;83;65;40;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP069007;Béligny;4 066;8 704;36 531;Villefranche-sur-Saône;48,7;39,8;37,9;19,6;22,0;1,7;29,0;8,4;24,2;24,5;1 040;2 950;135;362;114;429;218;35;;1 367;232;273;355;265;142;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP069008;Belleroche;4 923;10 190;48 740;Gleizé, Limas, Villefranche-sur-Saône;53,3;45,5;43,1;15,1;16,1;2,5;30,0;6,4;23,7;23,9;1 381;3 749;278;510;148;445;225;63;;1 763;262;290;461;325;229;196;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP069009;Aiguerande;1 517;1 517;8 123;Belleville;52,2;35,4;33,3;22,0;23,5;1,3;40,2;1,9;21;18,4;482;1 087;96;212;56;118;51;30;;428;71;71;113;89;55;29;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP069010;Parilly;4 759;10 324;38 746;Bron;52,1;40,3;40,2;15,9;15,7;2,3;45,3;7,8;31;31,9;1 649;3 951;231;801;133;484;201;48;9;1 670;307;292;436;286;177;172;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP069011;Terraillon - Chenier;6 686;34 177;82 833;Bron, Vaulx-en-Velin;50,7;40,6;39,4;16,5;17,1;2,1;31,8;6,3;24,6;23,9;1 522;4 145;264;562;113;583;268;77;16;1 918;333;322;519;330;222;192;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP069012;Les Vernes;3 285;8 103;19 574;Givors;52,1;45,5;42,6;12,4;14,3;3,2;31,0;10,2;23,3;21;969;2 739;211;336;63;359;174;61;;1 341;217;218;340;262;182;122;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP069013;La Saulaie;1 336;1 336;32 598;La Mulatière, Oullins;49,4;;;;;;54,5;;19,6;18,7;546;1 142;82;300;47;117;49;49;41;427;80;69;118;81;44;35;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP069014;Hautes Roches;2 408;2 408;10 132;Pierre-Bénite;52,0;39,8;37,0;19,2;21,8;1,8;28,3;8,7;24,1;25,4;567;1 506;106;233;36;192;92;34;;708;123;121;192;130;79;63;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP069015;Minguettes - Clochettes;21 966;31 504;79 220;Saint-Fons, Vénissieux;51,9;44,1;42,3;15,2;16,4;2,4;27,9;9,9;26,1;25,6;6 239;18 040;1 165;2 154;512;2 408;1 213;297;16;8 839;1 378;1 447;2 317;1 719;1 081;897;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP069016;Arsenal - Carnot-Parmentier;5 976;7 331;17 584;Saint-Fons;53,1;39,1;35,8;20,9;23,3;1,6;39,4;4,9;22,8;22,7;1 881;4 745;337;829;135;580;276;65;;2 147;384;366;624;381;200;192;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP069017;Les Collonges;1 372;1 372;20 696;Saint-Genis-Laval;55,1;40,7;;17,1;20,4;2,0;28,0;6,6;;;347;923;79;132;23;113;51;18;;434;64;70;121;89;49;41;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP069018;Grande Île;20 491;23 853;44 087;Vaulx-en-Velin;51,9;43,3;41,6;15,2;16,0;2,4;26,3;9,0;26,6;27;5 869;16 186;1 069;2 241;438;2 121;1 087;294;123;7 717;1 258;1 312;2 095;1 444;882;726;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP069019;Sud;2 241;23 853;44 087;Vaulx-en-Velin;52,6;44,6;45,8;;;3,3;35,6;;22,7;22,8;630;1 651;111;272;38;209;95;63;15;771;124;108;194;154;102;89;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP069020;Duclos - Barel;2 224;24 173;61 636;Vénissieux;54,6;42,9;41,3;12,9;;2,8;31,2;;19,9;21,8;602;1 710;120;217;30;235;118;29;;842;132;140;243;158;103;66;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP069021;Les Buers Sud;917;14 197;147 192;Villeurbanne;47,2;24,3;;36,4;44,3;0,5;48,1;2,8;35,2;40,5;358;789;60;182;33;83;36;10;14;310;42;49;96;68;27;28;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP069022;Bel Air - Les Brosses;5 000;14 197;147 192;Villeurbanne;50,5;39,4;38,4;17,5;17,5;1,9;34,0;5,0;30,7;29,6;1 364;3 714;235;516;78;535;234;65;17;1 737;287;313;449;323;210;155;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
