CODGEO;LIBGEO;POP_MUN;POP_COM_QP;POP_COM;LIB_COM;TX_F;TX_TOT_0A24;TX_F_0A24;TX_TOT_60ETPLUS;TX_F_60ETPLUS;IND_JEUNE;TX_TOT_MEN1;TX_TOT_MEN6;TX_TOT_ET;TX_F_ET;A;PERCOU;AM;AI;ACSSENF;ACAVENF;AC3ENF;A_NETUD_24;A_ETUD;ENF;ENF_2;ENF_3_5;ENF_6_10;ENF_11_14;ENF_15_17;ENF_18_24;NOTE_CNAF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002011;Champagne Moulin - Roux;4 396;5 772;25 219;Laon;54,1;43,3;39,4;16,8;20,9;2,1;39,8;;10,8;10,2;1 506;3 394;387;681;122;316;111;167;5;1 446;274;244;323;230;202;173;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002012;Saint-Crépin Ouest;2 275;8 829;28 472;Soissons;57,9;29,2;;25,2;30,1;1,0;51,5;;;;882;1 591;157;528;82;115;35;53;;521;77;82;135;100;68;59;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002013;Presles;5 519;8 829;28 472;Soissons;53,2;42,8;38,9;14,5;16,8;2,4;35,7;4,6;19,5;19,6;1 763;4 236;400;754;150;459;201;92;;1 842;296;343;511;292;227;173;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002014;Chevreux;1 035;8 829;28 472;Soissons;47,8;47,0;;;;4,4;34,5;;22;19,8;378;1 050;80;139;38;121;56;37;;509;75;85;142;82;72;53;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002015;Route De Vivières;1 318;1 318;10 797;Villers-Cotterêts;49,9;37,5;38,7;16,1;;1,7;33,0;;;;343;787;83;143;37;80;27;30;;322;57;68;85;45;38;29;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002016;Blanchard;1 168;2 937;14 189;Château-Thierry;56,0;43,7;40,3;;;3,0;31,6;5,3;11;12,3;294;764;110;93;13;78;30;39;;378;70;63;107;66;45;27;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002017;Vaucrises;1 769;2 937;14 189;Château-Thierry;54,0;39,0;35,5;16,9;;1,8;35,2;;12;11,7;592;1 447;180;211;39;162;55;24;;652;93;127;191;109;76;56;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP003001;Coeur D'Agglo;3 887;5 568;38 870;Cusset, Vichy;53,7;33,5;28,5;25,3;28,9;1,0;55,2;;11,7;10,6;1 533;2 622;210;1 003;109;211;57;189;114;778;129;124;200;141;118;66;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP003002;Les Ailes;1 681;4 361;25 325;Vichy;61,3;36,3;29,1;29,5;36,2;1,1;48,3;;16,4;16,2;605;1 262;163;295;45;102;30;30;;508;71;77;129;95;70;66;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP003003;Moulins-Sud;3 414;3 414;19 474;Moulins;53,0;30,3;26,5;26,9;30,9;0,9;58,7;;11,5;9,8;1 343;2 682;301;739;86;217;88;93;9;1 047;188;179;264;183;139;94;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
