CODGEO;POP_MUN;POP_COM_QP;POP_COM;LIB_COM;TX_F;TX_TOT_0A24;TX_F_0A24;TX_TOT_60ETPLUS;TX_F_60ETPLUS;IND_JEUNE;TX_TOT_MEN1;TX_TOT_MEN6;TX_TOT_ET;TX_F_ET;A;PERCOU;AM;AI;ACSSENF;ACAVENF;AC3ENF;A_NETUD_24;A_ETUD;ENF;ENF_2;ENF_3_5;ENF_6_10;ENF_11_14;ENF_15_17;ENF_18_24;NOTE_CNAF
QP093017;3455;8758;43802;Rosny-sous-Bois;47,1;41,2;42;;;2,6;26,4;8,6;21,9;21,5;890;2133;169;426;42;253;113;121;11;949;150;153;257;190;105;94;0
QP093018;13389;29407;104139;Montreuil;50,6;36,2;34,5;17,1;18,8;1,8;33,7;4,5;25,2;21,4;3859;9336;848;1742;189;1080;430;137;57;4203;658;659;1079;803;554;450;0
QP093019;3768;29407;104139;Montreuil;53;40,1;36,2;17,4;19,3;1,9;30,2;;20,2;20,9;867;2479;196;284;53;334;140;26;7;1222;169;168;299;248;177;161;0
QP093020;3231;11919;41125;Noisy-le-Sec;51,4;43,7;37,9;15;16,4;2,5;23;7,7;27,8;25,5;749;2168;157;248;46;298;143;24;;1072;129;147;281;239;159;117;0
QP093021;5049;11919;41125;Noisy-le-Sec;54,3;40,3;38,4;14,4;15,9;2,4;35,8;7,2;31;28,7;1615;4253;389;599;107;520;241;53;6;2000;330;355;558;349;225;183;0
QP093022;1897;11919;41125;Noisy-le-Sec;52,4;37;33,7;18,8;20;1,6;37,4;5,1;27,1;25,4;566;1421;133;233;28;172;73;18;;651;111;99;149;128;82;82;0
QP093023;6185;20016;71379;Pantin, Le Pré-Saint-Gervais;50,8;35,3;33,7;13,1;14,4;2,1;43,5;;29,3;27,6;1435;3576;247;609;81;498;151;76;44;1556;259;228;439;287;199;144;0
QP093024;9327;17833;53471;Pantin;46,9;30,6;31;14,8;15;1,7;38,7;3;39,9;36,9;2685;6706;409;1140;200;936;338;85;61;2899;551;473;804;506;319;246;0
QP093025;2001;9590;25657;Romainville;56,5;38,8;37,2;19,9;24,8;1,6;36,2;4,4;16,1;15,5;574;1334;143;259;25;147;52;28;;585;66;96;140;129;76;78;0
QP093026;2223;9590;25657;Romainville;55,2;42;40,7;;;3,1;33;;21,7;20,7;720;1650;167;320;53;180;57;36;31;693;130;108;166;112;88;89;0
