CODGEO;POP_MUN;POP_COM_QP;POP_COM;LIB_COM;TX_F;TX_TOT_0A24;TX_F_0A24;TX_TOT_60ETPLUS;TX_F_60ETPLUS;IND_JEUNE;TX_TOT_MEN1;TX_TOT_MEN6;TX_TOT_ET;TX_F_ET;A;PERCOU;AM;AI;ACSSENF;ACAVENF;AC3ENF;A_NETUD_24;A_ETUD;ENF;ENF_2;ENF_3_5;ENF_6_10;ENF_11_14;ENF_15_17;ENF_18_24;NOTE_CNAF
QP034008;5578;52402;272084;Montpellier;49,8;41,7;42,5;13,2;14,7;2,1;57;2,7;27,2;24;2201;4504;234;1327;138;502;226;151;453;1655;293;295;430;300;180;157;0
QP034009;1324;52402;272084;Montpellier;58,4;34,1;30,2;;;1,3;63,1;;7,5;;716;1242;217;445;27;27;9;101;23;449;77;73;118;78;49;54;0
QP034010;3419;52402;272084;Montpellier;50,2;34,4;36,1;;;1,3;56,9;;20,9;16,9;1304;1987;133;941;99;131;27;109;260;449;84;77;120;78;53;37;0
QP034011;1245;52402;272084;Montpellier;57,3;40,6;34,1;20,1;23,4;1,7;27,4;;;;373;851;127;166;18;62;29;12;;399;35;45;99;103;68;49;0
QP034012;4458;52402;272084;Montpellier;52,7;36,7;33,1;17;20,2;1,7;41,7;;15,4;14,1;1573;3744;406;660;90;417;151;99;51;1656;289;272;428;306;200;161;0
QP034013;1198;52402;272084;Montpellier;52,5;39,7;35,6;14,6;17,1;2,1;43,1;4,4;8,7;8;409;875;104;208;19;78;33;23;;367;42;57;98;82;54;34;0
QP034014;1095;52402;272084;Montpellier;50,7;38;;;;1,7;50,8;;;;512;1094;90;285;36;101;47;29;31;444;47;77;105;114;47;54;0
QP034015;2012;52402;272084;Montpellier;53,4;;;;;;83,6;;18,1;15,5;1304;1609;53;1153;46;52;18;68;931;208;31;26;45;40;38;28;0
QP034016;1231;1231;22942;Frontignan;56,2;34,2;31,4;21,6;24;1,4;35,5;;13,5;;399;848;93;197;28;81;29;14;;341;35;59;94;63;50;40;0
QP034017;3794;8134;44270;Sète;54,4;41,1;37,7;20,2;22,9;1,7;33,1;9;19,8;20,2;1233;3059;224;539;117;353;173;48;;1330;196;183;336;249;199;167;0
QP034018;4340;8134;44270;Sète;53,5;27,1;24,3;28,5;33,5;0,8;57,6;;8,4;;1594;2721;295;1032;69;198;53;125;40;857;133;117;208;189;109;101;0
QP034019;3177;3177;25253;Agde;52,5;31,2;32,6;23,6;25,8;1;53,8;;;;1315;2406;293;770;80;172;52;117;;841;136;126;219;149;118;93;0
QP034020;1955;1955;6241;Bédarieux;52,2;28,9;26,8;28,5;31,7;0,7;58,1;1,1;7,3;6,8;692;1205;127;452;33;80;24;53;9;400;73;64;94;92;49;28;0
QP034021;5726;5726;25006;Lunel;52,6;35,1;33,2;21,4;23,2;1,4;39,5;3,7;24,2;20,7;1898;4169;387;925;131;455;162;129;9;1682;262;280;447;326;206;161;0
QP034022;3021;3021;7467;Lodève;53,5;31,7;28,6;25,6;29;1,1;49,2;2,2;10,4;9,9;1145;2188;211;677;60;197;67;70;6;792;105;117;203;143;126;98;0
QP035001;3583;3583;44919;Saint-Malo;51,8;29,9;28,5;24,1;28,4;1;53,1;;3;;1399;2574;303;801;99;196;55;112;7;901;172;152;226;154;126;71;0
QP035002;8963;33023;211373;Rennes;54,2;54,7;54;12,2;13,4;2,8;38,2;5,3;20,2;20,2;3527;6802;532;2309;164;522;241;317;1272;2575;398;392;663;489;332;301;0
QP035003;5061;33023;211373;Rennes;51,7;38,4;37,1;16,6;19,3;1,9;46,7;3,1;26,3;25,6;1861;3801;344;1011;124;382;139;165;102;1443;277;267;355;251;171;122;0
QP035004;6443;33023;211373;Rennes;50,6;33,1;30,4;19,4;24,9;1,4;56,9;;23,8;21,9;2723;5015;523;1692;153;355;134;173;125;1786;365;344;466;283;180;148;0
QP035005;11281;33023;211373;Rennes;52,8;40,1;37,8;18;19,9;1,8;41,4;4,3;22,2;21;3645;8711;717;1681;269;978;430;261;134;3824;625;693;989;668;457;392;0
QP035006;1275;33023;211373;Rennes;57,5;36,2;40,2;14,2;15,8;2,1;62;;;14;579;1073;124;364;22;69;32;30;;398;48;53;118;73;63;43;0
QP035007;1152;1152;9114;Redon;54;31,5;28,9;24;29;1,1;48,6;2,8;17,2;16,6;278;602;60;126;29;63;25;18;;239;27;31;64;52;41;24;0
QP036001;1634;8108;45209;Châteauroux;56,5;32,4;;21,7;25,1;1,2;63,4;;11,2;;774;1280;147;505;48;74;21;62;7;385;71;70;104;74;36;30;0
QP036002;4877;8108;45209;Châteauroux;54,3;42,7;38,5;16,6;19;2,2;43,7;;21,7;22,3;1660;3933;406;711;140;403;149;98;6;1731;301;293;429;308;229;171;0
QP036003;1597;8108;45209;Châteauroux;54,1;38,3;36,5;;;2,1;41,1;;10,9;;492;1069;115;237;30;110;31;51;9;438;68;85;112;83;55;35;0
QP036004;1484;1484;12420;Issoudun;52,4;36,1;33,1;19,1;24,7;1,4;57,3;;;;516;991;122;281;31;82;18;55;;362;77;59;90;54;50;32;0
QP037001;1095;2724;13246;Amboise;52,4;43,2;40,7;;;3,1;24,3;;15,4;17;289;805;64;93;26;106;46;13;;379;52;58;93;80;58;38;0
QP037002;6218;6218;37703;Joué-lès-Tours;54,1;43,2;40,2;16,3;19;2,3;36,3;6;22,1;22;1876;4735;475;763;149;489;253;109;16;2217;364;410;554;397;277;215;0
QP037003;1932;1932;10276;La Riche;56,3;32,5;30,2;22,2;25,7;1,1;51;2,5;12,7;12,8;645;1320;140;351;42;112;43;39;24;519;84;70;130;98;82;55;0
QP037004;5286;5286;15404;Saint-Pierre-des-Corps;53,9;36,3;35,4;23,1;25,2;1,3;43,4;3,2;22,2;20,7;1459;3358;300;679;107;373;148;93;9;1422;229;253;360;255;182;143;0
QP037005;3008;21902;134803;Tours;51,4;33,4;34,7;17,3;20,2;1,6;57;;19,8;19,1;1241;2263;225;759;84;173;68;83;18;760;165;148;183;129;86;49;0
QP037006;1078;21902;134803;Tours;52,3;36,3;35,9;16,8;21;1,7;59,8;0,9;22,1;21,5;501;1025;99;274;33;95;35;47;21;398;88;70;107;66;42;25;0
QP037007;2546;21902;134803;Tours;58,4;43,8;42;19,8;21;2;32,2;8,1;22,9;22,7;706;1945;204;237;47;218;96;42;32;968;164;147;269;163;125;100;0
QP037008;2696;21902;134803;Tours;53,6;36,1;32,4;14,6;16,1;2,1;40,1;;13,8;13,7;1026;2053;229;536;79;182;64;64;8;777;106;147;201;148;89;86;0
QP037009;8783;21902;134803;Tours;51,5;41,1;38,7;17,7;20,5;1,9;47,6;4,8;33,1;31,6;3176;6411;634;1794;223;525;225;197;268;2481;427;434;632;449;297;242;0
QP037010;2018;21902;134803;Tours;57,5;41,8;;;;;35,4;;15,3;;711;1687;215;282;40;174;60;33;8;766;120;148;206;144;79;69;0
QP037011;1773;21902;134803;Tours;53,5;32,3;30,8;25,3;30,2;1;64,4;;20,4;20,4;884;1391;126;631;48;79;26;80;105;378;80;59;93;65;49;32;0
QP037012;1629;2724;13246;Amboise;55,6;33,5;28,4;24,3;28,8;1,1;45,4;;;;489;954;128;253;33;75;18;45;;361;52;38;83;83;64;41;0
QP038001;2785;10127;35684;Échirolles;50,9;41,1;40,9;14,1;15,8;2,4;36;;20,5;20,2;883;2117;179;382;62;260;106;49;;909;154;157;226;171;106;95;0
QP038002;940;3085;27163;Bourgoin-Jallieu;55,2;38,2;34,7;25,8;32,4;;46,2;;;;273;708;72;96;23;82;36;18;;329;55;72;68;51;53;30;0
QP038003;5635;10127;35684;Échirolles;52;40,6;37,4;19,3;21,6;1,8;29,6;4,4;24;22,1;1599;4387;342;584;112;561;266;86;7;2116;344;350;545;390;246;241;0
QP038004;1707;10127;35684;Échirolles;55,3;39,2;38,6;18,3;20;1,8;33,2;4,4;19,4;20,2;596;1440;125;262;36;173;73;21;;631;109;112;183;117;65;45;0
QP038005;2036;2036;22066;Fontaine;52,7;35,9;32,1;26,6;32,1;1,1;43,1;;18,2;15,6;626;1414;96;317;38;175;75;29;;572;82;79;150;123;81;57;0
QP038006;2893;23333;160215;Grenoble;51;42,4;41;16,8;18,1;2;33,3;6,8;22,5;23,5;771;1876;123;349;79;220;116;40;8;804;130;144;202;161;83;84;0
QP038007;12304;23333;160215;Grenoble;51,7;39,1;38,9;19,9;20,3;1,6;38,5;5,5;23,4;22;3743;8971;623;1841;250;1029;486;266;126;3935;604;626;1078;757;514;356;0
QP038008;6629;23333;160215;Grenoble;52,8;39,5;37,4;21,1;23,5;1,5;41,3;4,3;21,3;20;2308;5476;405;1081;178;644;281;176;95;2335;399;395;625;426;265;225;0
QP038009;1507;23333;160215;Grenoble;52;39,2;;;;1;49,8;;;23,1;636;1109;70;426;49;91;32;27;113;336;43;53;78;72;47;43;0
QP038010;1834;1834;11133;Le Pont-de-Claix;54,1;39,5;38;19,1;22,1;1,8;30,4;5,2;19,3;19,8;569;1539;119;211;42;197;104;33;;729;107;116;199;141;87;79;0
QP038011;2473;2473;38019;Saint-Martin-d'Hères;48,3;38,2;;;;2,5;31,7;;27,3;28,8;656;1632;135;264;57;200;85;46;21;720;110;113;206;145;95;51;0
QP038012;1226;1226;19988;Voiron;51,4;37,5;;;;1,7;34,4;;17,6;;367;857;71;163;30;103;42;22;;360;61;59;97;65;47;31;0
QP038013;2145;3085;27163;Bourgoin-Jallieu;54,2;41,6;40,6;17,4;;2;32,5;;24,4;23,3;612;1656;106;234;59;213;98;26;;766;112;138;213;137;93;73;0
QP038014;2937;2937;16225;L'Isle-d'Abeau;53,8;47,4;47,9;;;6,9;37,3;;14,7;13,6;976;2517;279;338;65;294;109;82;;1182;237;222;290;202;126;105;0
QP038015;2357;4418;18168;Villefontaine;50,3;45,3;40,1;;;2,9;39,7;;19,3;20,7;904;2303;191;370;55;288;122;51;34;1057;185;171;271;229;125;76;0
QP038016;2061;4418;18168;Villefontaine;52,2;38,4;38,5;17,1;16,9;2;31,3;5,6;16,4;17,9;583;1606;116;203;42;222;96;24;;760;127;128;198;140;97;70;0
QP038017;1168;1168;8086;Saint-Marcellin;51,9;37;33,6;18,2;19,9;1,6;49;4;19,6;18,9;381;812;82;192;30;77;26;19;;322;42;47;90;59;49;35;0
QP038018;1094;1928;6730;Le Péage-de-Roussillon;51,9;36;34,8;17,7;19;1,7;39,8;2,9;33,3;32,2;309;799;63;112;28;106;34;19;;361;63;61;88;65;49;35;0
QP038019;1417;2511;14832;Le Péage-de-Roussillon, Roussillon;50,7;30,8;31,3;26,4;26,1;1;42,8;3,2;31,6;27,6;395;895;51;208;19;117;42;16;;364;68;55;96;74;39;32;0
QP038020;1083;1083;4405;Chavanoz;49,7;40,4;38,8;14,6;14,6;2,5;25,5;6,9;20,5;20,6;295;901;49;83;21;142;61;13;;442;72;85;119;75;52;39;0
QP038021;1253;1253;5609;Chasse-sur-Rhône;51,1;39,1;35,8;17,5;19,6;1,9;38,9;5,8;16,6;17,8;348;857;73;145;21;109;33;25;;378;83;64;87;61;47;36;0
QP038022;1182;2349;5148;Pont-Évêque;50,5;38,9;39,7;20,5;21,7;1,5;35,6;6,3;26,5;27,6;370;903;36;175;39;120;62;18;;371;61;78;106;55;40;31;0
QP038023;2107;6825;29325;Vienne;54,8;31,9;29,5;31,2;32,6;0,8;41,7;;16,9;16,5;630;1428;95;294;70;171;72;21;;555;82;91;149;100;76;57;0
QP038024;2641;6825;29325;Vienne;48,5;40,3;38,4;14,5;;2,3;33,5;;29;28,7;814;1861;131;381;82;220;90;63;24;746;124;129;208;129;83;73;0
QP038025;1572;9174;34473;Pont-Évêque, Vienne;50,2;35,9;33,8;20,2;20,5;1,5;40,9;3,7;17,9;17,1;492;1179;80;208;54;150;66;26;;482;85;58;140;88;75;36;0
QP038026;1672;6825;29325;Vienne;56,3;42,8;41,4;;;3,4;19;;10;9,9;450;1398;90;114;36;210;101;18;;703;101;123;201;135;89;54;0
QP039001;2696;2696;23312;Dole;53,6;36,4;36,9;;;1,7;44,3;;35,6;33,8;1017;2222;156;518;95;248;103;55;15;857;155;163;219;149;90;81;0
QP039002;3580;3580;17063;Lons-le-Saunier;52;35,4;32,3;20,4;24,7;1,5;47,9;3,3;18,5;18,8;1244;2707;264;621;104;255;108;60;6;1103;185;164;298;223;140;93;0
QP039003;1322;2297;10346;Saint-Claude;50,1;45;44,4;12,3;12,1;3,2;27;5;38,3;36,3;322;884;27;119;35;141;64;18;;389;51;59;108;86;51;34;0
QP039004;975;2297;10346;Saint-Claude;49,7;35,9;;23,9;;1,2;45,2;;20,3;20;224;527;18;109;25;72;29;15;;203;20;30;50;45;34;24;0
QP040001;1283;3745;20776;Dax;48,7;;;;;;61,5;;16;;531;829;77;361;46;47;14;47;28;207;30;27;54;36;36;24;0
QP040002;1229;3745;20776;Dax;57,6;36,6;34,5;20,4;;1,5;40,8;;11,5;12,5;394;850;132;177;19;66;20;27;;371;55;59;98;68;59;32;0
QP040003;1233;3745;20776;Dax;56,9;30,3;;30,6;34;0,8;47,3;;;;468;847;78;286;35;69;18;62;57;280;41;44;67;65;31;32;0
QP040004;2405;2405;31334;Mont-de-Marsan;54,6;42,7;42;14,2;;2,5;38,5;;15,8;14,8;790;1947;235;304;53;198;81;68;10;911;144;133;263;174;108;89;0
QP040005;1381;1381;9337;Saint-Pierre-du-Mont;55,1;39,1;35,5;16,7;18,8;1,8;46,5;2,2;12,6;11,2;375;859;103;162;25;85;33;30;;378;63;49;89;70;68;39;0
QP041001;10703;10703;45539;Blois;52,1;42,7;39,8;15,3;17,4;2,4;36,9;7;38;36,6;3456;8851;723;1410;269;1054;473;244;18;4063;730;748;1098;733;444;310;0
QP041002;3202;3202;17121;Vendôme;50,7;39,9;37,7;17,2;19,7;1,9;45,8;;20,5;19;1064;2297;163;542;88;271;103;91;16;873;144;124;239;183;113;70;0
QP041003;1348;1348;16891;Romorantin-Lanthenay;51,4;35,5;;;;1,6;48,1;;22,8;;500;976;92;274;38;96;30;33;;343;65;67;74;61;53;23;0
QP042001;1257;1257;15673;Montbrison;54,7;44,7;41,8;;;2,4;36;;;;369;781;73;177;35;84;31;29;;295;48;55;64;58;41;29;0
QP042002;3168;3168;9844;Andrézieux-Bouthéon;51,4;37,2;35,3;19,9;21,6;1,5;38,1;4,6;22,3;20,9;817;2008;122;352;73;270;111;26;;843;109;111;218;185;128;92;0
QP042003;1259;1659;12523;Le Chambon-Feugerolles;54,3;39,7;;23,7;26,1;1,4;32,3;6,6;28,8;29,3;395;1022;35;165;53;142;70;21;;436;72;66;120;83;54;41;0
QP042004;1108;4783;20412;Le Chambon-Feugerolles, La Ricamarie;53,7;34,5;34,1;23,7;24,2;1,2;42,1;;14,6;13,6;287;717;53;112;25;97;40;16;;306;50;49;77;58;36;36;0
QP042005;1450;1450;9578;La Grand-Croix, Saint-Paul-en-Jarez;52,6;36,9;32,2;20,5;23,6;1,5;34,4;3,5;14,3;14,9;462;1128;92;204;28;138;55;28;;499;72;90;139;96;60;42;0
QP042006;2416;3124;7889;La Ricamarie;55,1;35,9;33,8;25,9;28,7;1,1;42,9;4,5;21,7;21,2;686;1671;103;314;69;200;96;30;;714;135;106;179;145;73;76;0
QP042007;1186;3297;14658;Rive-de-Gier;50,6;38,6;33,1;20,3;21,9;1,6;32,6;;23,3;21;424;1088;67;167;53;137;64;24;;466;77;83;106;82;66;52;0
QP042008;2111;3297;14658;Rive-de-Gier;51,7;41,9;43,9;;;2,9;34,6;;30,4;29,3;536;1404;101;209;45;181;82;62;6;641;112;120;179;102;78;50;0
QP042009;2942;4098;35308;Saint-Chamond;52;31,8;31,3;28;31,5;0,9;48,9;;22,5;22,8;845;2004;107;389;79;270;113;65;18;811;140;120;229;178;89;55;0
QP042010;1156;4098;35308;Saint-Chamond;49,2;39,5;32,8;19,5;22,2;1,5;29,8;;24,5;25,6;311;849;37;116;32;126;59;22;;380;54;61;95;82;60;28;0
QP042011;3174;27403;172023;Saint-Étienne;51,8;46,1;45;17;18,5;2,1;30,4;4,8;27,1;28,7;803;1888;97;415;46;245;118;41;166;794;134;148;200;138;99;75;0
QP042012;7606;27403;172023;Saint-Étienne;51,1;37,7;37;21,5;21,4;1,3;40,1;5,2;27,3;26,5;2475;5666;363;1231;221;660;262;218;169;2292;395;397;572;420;280;228;0
QP042013;7324;27403;172023;Saint-Étienne;50,3;39,9;38,6;18,2;17,6;1,8;26;8,1;28,6;30,1;1700;4560;206;667;185;642;306;73;9;2021;350;323;568;350;255;175;0
QP042014;5174;27403;172023;Saint-Étienne;50,4;39,9;39,3;18,5;;1,6;52,2;;25,2;24,3;1588;3311;206;892;133;357;140;172;175;1226;195;215;307;224;156;129;0
QP042015;2243;27403;172023;Saint-Étienne;51;44,5;43,3;16,4;;2,3;33,4;6,9;38,3;41;422;1098;79;172;51;120;72;17;10;502;63;72;142;97;66;62;0
QP042016;1882;27403;172023;Saint-Étienne;52,6;43,3;38,8;15,8;16,2;2,3;32,6;;20;19,2;456;1133;82;211;35;128;55;24;;511;69;68;156;97;68;53;0
QP042017;1972;4382;35507;Roanne;59,6;38,2;33,4;25,7;30,3;1,3;55,9;3,6;14,8;13,5;668;1222;122;415;40;91;36;44;19;422;77;82;101;73;51;38;0
QP042018;1538;4382;35507;Roanne;53,1;41,6;38,5;20,2;22,7;1,7;41,4;;15,2;15,1;346;843;62;164;29;91;36;19;5;379;74;58;104;63;54;26;0
QP042019;872;4382;35507;Roanne;54,9;40,7;39,4;;;1,6;29,3;;;;260;648;48;107;24;81;31;16;;284;38;54;66;52;46;28;0
QP043001;1371;2493;18619;Le Puy-en-Velay;56,9;;;29,1;35,5;;52,3;;;;424;909;77;220;43;84;39;30;;370;68;61;86;74;51;30;0
QP043002;1122;2493;18619;Le Puy-en-Velay;54,9;33,9;33,4;26,1;26,6;1,1;32,1;;;;380;841;50;183;49;98;38;14;;326;52;43;93;70;45;23;0
QP044001;6735;8852;68513;Saint-Nazaire;51,9;40,3;35,3;17,1;19,9;2;42,2;3,1;12,6;11,1;2414;5293;660;1164;125;465;159;170;26;2294;413;389;562;399;322;209;0
QP044002;1008;8852;68513;Saint-Nazaire;52,8;;;;;;49;;;;414;839;106;218;20;70;26;26;;336;41;67;69;74;51;34;0
QP044003;1109;8852;68513;Saint-Nazaire;47,6;;;;;1,7;51;;23,9;18,7;401;762;80;237;19;65;21;24;;282;48;51;66;37;53;27;0
QP044004;1309;1309;11866;Châteaubriant;52,1;40,8;40,7;;;2;36,2;;29,9;24,5;400;968;65;179;37;119;60;23;;412;61;57;103;94;61;36;0
QP044005;16918;49246;336502;Nantes, Saint-Herblain;53,3;38,6;35,9;17,6;21,1;1,8;41,7;3,3;18,9;17,9;4926;11509;1025;2273;361;1267;490;296;60;4964;851;822;1305;875;605;506;0
QP044006;5075;41515;292718;Nantes;52,8;42,4;40,4;15,2;19;2,2;44,9;5,5;25,1;22,7;1911;4277;418;948;134;411;172;124;15;1825;340;318;435;319;218;195;0
QP044007;3575;41515;292718;Nantes;53,4;39,4;34;16,9;20,8;2;48,6;;21,8;21,2;1388;3241;369;611;90;318;126;72;24;1438;255;243;345;253;199;143;0
QP044008;5166;41515;292718;Nantes;51;34,5;33;12,9;15,2;2,2;47,5;2,4;18,4;16;1980;4253;397;1002;142;439;165;93;36;1694;344;342;412;269;200;127;0
QP044009;1927;41515;292718;Nantes;53,9;30,2;;17,2;;1,5;60,7;;20,6;17,8;860;1565;156;542;37;125;43;38;9;540;128;114;128;76;52;42;0
QP044010;1733;41515;292718;Nantes;52,3;34,2;32,4;15,1;17,5;1,9;48,7;0,6;18,7;16,9;681;1363;169;331;46;135;32;36;6;504;133;104;131;65;37;34;0
QP044011;1275;41515;292718;Nantes;58,6;41,1;39,3;15,6;19,3;2,2;40,3;2,3;23,7;21,2;573;1297;156;261;38;118;48;29;;566;99;81;133;112;80;61;0
QP044012;1164;41515;292718;Nantes;50,3;;;;;;55,4;;;;479;1022;85;265;30;99;42;25;11;416;65;79;98;71;52;51;0
QP044013;3130;41515;292718;Nantes;52,7;40,9;39,7;15,7;17,7;2,2;38,5;5,1;27,7;26,7;1197;2885;267;519;88;323;134;66;20;1280;243;231;293;217;146;150;0
QP044014;5207;41515;292718;Nantes;51,7;38,7;35,1;15,5;16,4;2,1;41,5;4;25,2;24,3;2098;4305;389;1186;113;410;164;134;45;1678;316;307;448;287;166;154;0
QP044015;1437;41515;292718;Nantes;49;;;;;3,8;48,1;;;27,7;483;1204;116;198;28;141;53;26;;559;112;94;153;90;66;44;0
QP044016;1100;41515;292718;Nantes;53,1;;;;;;61,8;;;;462;932;56;282;30;94;42;36;81;344;58;50;91;55;50;40;0
QP044017;1689;1689;24922;Orvault;54,3;;;15,7;;2,5;44,5;;;;507;1175;117;254;25;111;49;27;8;530;81;88;141;97;66;57;0
QP044018;2967;2967;39568;Rezé;55,6;36,4;33,9;20;23,9;1,5;48,3;;16,4;14,7;945;2032;235;487;45;178;69;54;8;865;138;139;196;166;133;93;0
QP044019;1539;7731;43784;Saint-Herblain;44,5;39,1;;;;;54;;36;;553;1202;86;304;33;130;57;18;;482;75;82;131;65;67;62;0
QP045001;984;3463;16488;Saint-Jean-de-la-Ruelle;52;36,3;34,4;20,6;20,8;1,5;39,3;2,7;20,8;20,4;344;761;71;168;22;83;40;31;;318;64;66;95;42;25;26;0
QP045002;1193;4033;12812;Châlette-sur-Loing;53,3;38,7;37,8;;;1,7;22,1;;35,9;33,6;291;742;50;112;37;92;46;15;;320;34;46;80;71;51;38;0
QP045003;3913;10084;33951;Châlette-sur-Loing, Montargis, Villemandeur;50,1;39,6;36,8;16,2;18,1;2;44,2;4,9;26,8;25,4;1436;3325;289;647;119;381;155;92;8;1386;222;233;372;259;161;139;0
QP045004;3009;6051;14326;Montargis;59,5;34,3;31;25,3;31,5;1,2;55,5;;15,6;13,9;1030;2174;236;518;75;201;71;78;;868;159;157;225;159;101;67;0
QP045005;1969;10084;27138;Châlette-sur-Loing, Montargis;52,5;41,6;37,8;;;2,5;40,6;;23,9;19,9;629;1576;144;274;36;175;72;55;;731;102;132;172;164;94;67;0
QP045006;1720;4896;20677;Fleury-les-Aubrais;49,7;43,7;39,1;;;3;42,7;;18,4;19,9;515;1372;167;160;30;158;60;48;17;672;121;132;187;112;63;57;0
QP045007;2010;4896;20677;Fleury-les-Aubrais;53,7;43;41,7;;;3,8;33,9;;27,4;25,9;576;1467;182;201;29;164;62;34;;700;118;132;201;112;81;56;0
QP045008;1166;4896;20677;Fleury-les-Aubrais;48,3;43,2;;;;3,7;28,8;;26,2;;268;811;61;79;12;116;58;19;;415;80;79;118;67;37;34;0
QP045009;1337;22084;114375;Orléans;56;42,5;;;;2,3;33;;17,2;16;473;1243;125;176;28;144;65;29;26;598;107;107;164;98;71;51;0
QP045010;11261;22084;114375;Orléans;52,5;45,9;45;12,1;12,1;3;40,5;6,7;33,3;33,5;3570;9258;677;1474;287;1132;545;214;374;4230;778;747;1188;749;432;336;0
QP045011;7972;22084;114375;Orléans;51;40,5;39,4;16,9;16,7;2;29,9;8,5;29,6;28,1;2153;5336;358;922;213;660;294;111;15;2293;378;421;613;438;249;194;0
QP045012;1514;22084;114375;Orléans;51,6;37,8;32,6;18,4;20,9;1,8;29,2;;23,2;;416;1134;137;108;37;134;56;24;;552;105;93;143;106;60;45;0
QP045013;1223;1223;19571;Saint-Jean-de-Braye;48;44;39,4;;;3,7;33,4;7,4;;;295;798;80;107;15;93;45;28;5;394;83;85;115;65;30;16;0
QP045014;2479;3463;16488;Saint-Jean-de-la-Ruelle;49,7;43,2;41,1;15,8;16,6;2,1;23,7;8,4;35,5;36,2;606;1765;112;182;54;258;118;34;;846;153;143;257;146;79;68;0
QP045015;1384;1384;5440;Sully-sur-Loire;50,5;40,1;37;18,5;19,6;1,9;32,1;6,4;20,5;17,9;344;952;69;115;32;128;57;15;;446;68;79;126;90;46;37;0
QP045016;1676;3191;14624;Gien;54,5;42,8;41,5;17,4;19,8;2,1;41,1;;29,9;29,4;516;1270;79;236;48;153;75;16;;550;69;92;163;98;69;59;0
QP045017;1515;3191;14624;Gien;46;33,3;30;23,4;22;1,2;30,1;2,3;37;29,7;388;895;58;181;36;113;43;30;;362;78;52;95;71;35;31;0
QP045018;1450;2607;9039;Pithiviers;54,6;41;38,6;17,8;18,5;1,9;36,1;3,3;22;22,1;438;1154;124;149;28;137;65;24;;548;91;103;154;89;64;47;0
QP045019;1157;2607;9039;Pithiviers;51,9;39,4;39,6;17,8;15,5;1,8;27,9;4,2;39,9;38;359;893;51;141;50;117;46;19;;364;55;82;109;56;37;25;0
QP046001;1036;1036;19616;Cahors;52,2;39,8;31,7;20,7;21,9;1,7;45,5;1,7;21,3;21,5;401;905;103;194;21;83;40;28;5;403;55;63;118;77;55;35;0
QP047001;1963;5305;34344;Agen;55,5;43,5;39;16,2;20,6;2,4;43,2;7;22,9;21;607;1689;171;201;32;203;100;25;;844;127;140;254;161;103;59;0
QP047002;1860;5305;34344;Agen;51,7;48,3;46,8;;;3,8;22,1;;36,3;36,1;498;1362;125;181;36;156;74;18;;667;104;141;153;128;76;65;0
QP047003;1482;5305;34344;Agen;49,1;30,8;;22,6;28,4;0,9;62,1;;12,8;11,9;624;999;94;427;40;63;10;93;64;274;50;42;60;58;38;26;0
QP047004;1118;1118;6132;Sainte-Livrade-sur-Lot;51,2;34,1;33;24,3;27,7;1,1;46,9;2,7;29,7;27,7;307;622;46;181;12;68;22;29;8;234;44;47;68;33;22;20;0
QP047005;2520;2520;23462;Villeneuve-sur-Lot;52,3;32;32,9;26,4;30,4;0,8;66,8;;9,7;;1074;1766;178;721;64;111;21;149;35;518;105;93;127;91;57;45;0
QP047006;1697;1697;18028;Marmande;53,1;35,9;;25;27,5;1,2;47,5;;24,7;22,8;465;936;102;239;41;83;31;34;7;353;48;65;100;69;44;27;0
QP047007;1084;1084;8914;Tonneins;54,9;31,8;29,3;30,5;37;0,8;58,7;2,2;19;17,6;350;670;66;202;23;59;16;36;;241;47;40;64;39;33;18;0
QP049001;6236;30295;150125;Angers;53,7;40,9;39;14,6;16,9;2,1;43,2;2,3;16,2;15,2;2300;4642;533;1215;161;391;117;168;173;1794;331;294;467;305;229;168;0
QP049002;8904;30295;150125;Angers;55,6;37,7;33,6;19;22,8;1,6;51,2;3,4;21,4;19,6;2918;7034;694;1334;188;702;317;200;50;3209;547;532;856;575;406;293;0
QP049003;1375;30295;150125;Angers;56,7;;;;;2,6;48,8;;19,8;18,3;429;946;101;234;23;71;33;30;65;425;50;60;117;82;68;48;0
QP049004;2642;30295;150125;Angers;51,6;40,6;;;;2,4;48,2;;;;841;1852;225;413;41;162;52;56;6;805;147;151;207;129;93;78;0
QP049005;7402;30295;150125;Angers;53,3;39,6;37,3;19,6;23,1;1,6;43,9;4,7;22,4;20,7;2494;5641;601;1178;174;541;222;230;38;2427;415;439;620;412;283;258;0
QP049006;1450;30295;150125;Angers;52,5;45,3;41,4;;;;53,6;0,9;;;529;1125;112;272;36;109;40;43;79;451;76;58;128;82;52;55;0
QP049007;2286;30295;150125;Angers;53,7;38,8;34,3;15,1;19,1;2,2;42,2;;;;838;1826;211;417;47;163;55;60;79;780;146;143;171;145;93;82;0
QP049008;2169;2169;13125;Trélazé;53,3;40,8;39,6;;;2,2;43,7;;16,5;16,6;694;1644;118;324;62;190;89;67;27;695;114;127;171;137;79;67;0
QP049009;1510;7539;53890;Cholet;50,4;37,5;35,1;;;1,8;46,2;;26,2;25,3;620;1335;141;310;40;129;47;35;;544;91;99;133;95;70;56;0
QP049010;1970;7539;53890;Cholet;50,9;40,9;38,3;16,2;18,4;2,1;45,8;;37,9;40,1;682;1540;99;356;49;178;86;42;44;625;100;98;180;105;74;68;0
