"CODGEO";"POP_MUN";"POP_COM_QP";"POP_COM";"TX_F";"TX_TOT_0A24";"TX_F_0A24";"TX_TOT_60ETPLUS";"TX_F_60ETPLUS";"IND_JEUNE";"TX_TOT_MEN1";"TX_TOT_MEN6";"TX_TOT_ET";"TX_F_ET";"NOTE_RP";"A";"PERCOU";"AM";"AI";"ACSSENF";"ACAVENF";"AC3ENF";"A_NETUD_24";"A_ETUD";"ENF";"ENF_2";"ENF_3_5";"ENF_6_10";"ENF_11_14";"ENF_15_17";"ENF_18_24";"NOTE_CNAF"
"QP013032";104302;177795;296955;49,5;34,9;34,9;18,6;18,5;1,5;47;3,5;25,5;23,9;0;38885;78496;6432;22499;2577;7377;2789;2650;2560;29532;4936;4652;7158;5523;3748;3515;0
"QP013033";1838;6356;76342;57,2;33;30,1;;;;35;;15,6;14,1;0;537;1262;138;231;36;132;52;20;17;553;68;85;133;114;71;82;0
"QP013034";2254;6356;76342;53,7;39,7;38;17,4;18,3;1,9;24,2;;;;0;716;1798;165;300;54;197;80;41;;819;101;127;216;166;111;98;0
"QP013035";1466;13414;133435;48,9;41,2;37,9;19,9;;1,6;29,2;;13,3;13,6;0;433;1267;122;157;21;133;69;28;6;678;86;107;176;142;95;72;0
"QP013036";1399;7058;57093;52,3;44,6;;;;2,3;21,9;12;33,7;29,3;0;314;790;97;136;9;72;30;21;;395;56;51;89;85;66;48;0
"QP013037";1500;7058;57093;51,6;38,9;34,2;23,8;26,6;;28,2;;;;0;525;1218;128;245;42;110;49;19;;534;64;56;138;119;77;80;0
"QP013038";5538;19719;175790;52,6;41,7;38,8;17;17,9;2;27,5;8,4;14;14,7;0;1676;4259;367;687;146;476;210;90;;1947;272;239;468;390;288;290;0
"QP013039";1814;10530;57372;55,9;34;29,4;23;25,2;1,3;37,1;;11,1;11,3;0;706;1520;179;340;47;140;50;24;;627;78;94;177;128;88;62;0
"QP013040";2460;10530;57372;57,1;39,2;35,4;18,3;19,9;1,7;33,7;4;11,5;12,1;0;908;2071;232;431;54;191;80;35;;908;106;128;216;191;128;139;0
"QP013041";1251;11054;63818;57,5;43,7;41,5;17,9;20,3;2;27,1;9,3;9;9,7;0;318;824;74;141;13;90;43;20;;400;42;61;89;100;66;42;0
"QP013042";9843;28107;91674;51,7;43,8;39,3;15,8;17,2;2,3;27,7;9,3;17,6;16,9;0;3121;7467;749;1438;225;709;331;148;10;3384;439;466;835;668;484;492;0
