CODGEO;LIBGEO;NBMEN14;NBPERS14;NBUC14;Q114;Q214;Q314;Q3_Q1;D114;D214;D314;D414;D614;D714;D814;D914;RD;S80S2014;GI14;PTSAC14;PBEN14;PPEN14;PPAT14;PPSOC14;PPFAM14;PPMINI14;PPLOGT14;PIMPOT14
200040723;CC Bièvre Isère;14968;37519;24774,7;15368,7;20030,3;25354,3;9985,6;11786,1;14386,0;16361,1;18239,6;21763,3;23959,0;26963,5;32356,7;2,7;3,3;0,2;65,9;5,4;27,8;9,8;5,2;3,0;1,1;1,2;-14,1
200040764;CC du Sud Corse;8116;19263;13058,5;12755,0;17873,0;24762,0;12007,0;9092,4;11630,5;13793,6;15891,3;20088,4;22786,1;26829,6;34179,2;3,8;5,1;0,3;59,9;9,3;27,8;16,1;5,4;2,0;1,9;1,5;-18,5
200040772;CC du Perche & Haut Vendômois;4041;9121;6284,7;15631,7;19856,7;25005,3;9373,7;11725,7;14486,3;16515,7;18080,5;21381,3;23422,0;26439,3;31805,3;2,7;3,3;0,2;55,1;9,2;35,9;10,1;4,0;2,2;1,1;0,7;-14,3
200040780;CC Vallées Loir et Braye;6095;13042;9208,2;15462,4;19680,1;24673,3;9210,9;11947,0;14585,7;16358,7;18007,0;21410,7;23182,0;26459,6;32122,7;2,7;3,3;0,2;53,4;8,0;37,8;11,4;3,8;1,8;1,1;0,9;-14,4
200040798;CC Val Vanoise Tarentaise;4194;9193;6403,5;16812,0;21839,0;28417,8;11605,8;12239,0;15564,7;18025,2;19895,2;24065,0;26780,5;30764,8;38679,5;3,2;4,2;0,3;61,3;14,9;22,0;19,9;2,4;1,5;0,4;0,5;-20,5
200040814;CC Briance Sud Haute Vienne;3938;8995;6171,2;14736,9;19486,0;24762,0;10025,1;11205,2;13752,4;15888,0;17680,0;21425,6;23620,6;26188,1;31669,3;2,8;3,4;0,2;63,1;6,8;30,5;8,8;4,7;2,1;1,6;1,0;-13,9
200040830;CC du Pays de Fénelon;4152;9390;6514,3;14256,1;18790,0;24669,0;10412,9;10746,5;13309,3;15253,3;16943,0;20857,0;23129,6;26576,0;32903,0;3,1;3,8;0,3;51,9;7,1;37,3;13,8;4,1;1,9;1,2;1,0;-14,2
200040863;CC Val-De-Cher-Controis;14917;33472;23160,5;14970,7;19417,5;24547,5;9576,8;11356,7;13934,7;15949,3;17681,4;21102,0;23200,0;26130,6;31622,1;2,8;3,5;0,2;55,3;5,9;37,4;10,9;4,6;2,1;1,4;1,0;-14,1
200040871;CC des Deux Sevi;1113;2271;1642,1;12376,0;17868,3;24619,3;12243,3;9061,6;11251,3;13585,5;15786,0;20142,0;22585,3;26424,7;32969,3;3,6;4,8;0,3;47,7;10,5;40,5;13,3;4,4;1,3;2,1;1,1;-16,4
200040889;CC des Portes Sud Périgord;3714;8090;5688,4;13754,3;18714,5;24004,0;10249,7;9873,8;12790,8;14727,5;16694,7;20629,5;22707,1;26194,0;32118,6;3,3;4,0;0,3;46,2;7,5;40,6;14,7;4,5;1,8;1,5;1,2;-13,5
200040905;CC Carmausin-Ségala;13721;29754;20870,8;14103,3;18459,0;23434,7;9331,4;10510,7;13104,8;15150,0;16740,7;20180,0;22166,0;25000,0;30284,0;2,9;3,4;0,2;49,9;5,3;40,2;11,1;6,1;2,2;2,3;1,7;-12,6
200040947;CC de Flandre Intérieure;40016;100763;66753,4;15595,0;20339,3;26113,8;10518,8;11730,3;14467,6;16584,8;18513,3;22290,5;24667,5;27886,0;33632,7;2,9;3,5;0,2;68,3;6,1;26,2;9,6;5,1;2,7;1,3;1,1;-15,3
200040954;CC des Hauts de Flandre;20717;54326;35488,1;15372,1;20252,8;26124,6;10752,5;11845,7;14259,6;16429,3;18386,2;22255,3;24657,1;27879,0;33768,0;2,9;3,4;0,2;69,5;6,5;25,1;9,3;4,9;2,8;1,1;1,0;-15,3
200041010;CC Coeur de Savoie;14515;36283;24077,4;17136,0;21844,5;27724,3;10588,3;13091,0;15977,3;18201,4;20077,6;23744,0;26262,2;29488,0;35724,7;2,7;3,3;0,2;68,7;5,8;26,6;10,9;3,8;2,3;0,7;0,8;-15,8
200041028;CC Bourbre-Tisserands;5376;13381;8848,4;15631,7;20140,4;25400,4;9768,7;12103,1;14636,0;16579,4;18443,2;21859,0;24012,0;27304,3;32813,8;2,7;3,3;0,2;66,4;4,9;28,5;9,2;5,0;2,9;1,0;1,0;-14,0
200041044;CC Hermitage-Tournonais;17820;43163;28919,6;15526,9;20336,0;25985,7;10458,8;11663,5;14467,6;16570,0;18528,7;22176,0;24583,8;27803,0;33765,2;2,9;3,5;0,2;66,6;5,8;26,9;11,0;5,1;2,6;1,2;1,2;-15,4
200041051;CC Vallée de la Dordogne et Forêt Bessède;4107;8606;6149,0;13478,0;17871,9;23774,0;10296,0;9857,8;12573,5;14460,8;16078,7;19818,0;22296,7;25794,7;33000,0;3,3;4,2;0,3;43,3;8,0;43,9;14,0;4,6;1,7;1,7;1,3;-13,8
200041150;CC du Terrassonnais en Périgord Noir Thenon Hautefort;9784;21774;15154,9;13846,5;18443,8;24034,7;10188,2;10302,4;12836,2;14724,0;16552,4;20398,0;22673,3;25771,1;31274,7;3,0;3,7;0,3;53,1;6,0;37,4;11,4;5,3;2,1;1,8;1,5;-13,2
200041168;CC de la Vallée de l'homme;6863;14389;10280,6;13158,3;18240,0;24153,0;10994,7;9477,3;12127,0;14230,5;16261,1;20352,1;22731,7;26142,7;32546,7;3,4;4,3;0,3;43,8;7,4;43,2;14,9;4,8;1,6;1,7;1,4;-14,1
200041176;CC du Périgord Vert Nontronnais;4918;10006;7243,6;14163,3;18646,7;23674,7;9511,3;10532,7;13188,7;15140,0;16804,0;20329,3;22330,5;25500,7;31205,3;3,0;3,6;0,2;48,1;6,4;42,1;12,5;4,2;1,4;1,6;1,2;-13,3
200041200;CC du Plateau de Lannemezan et des Baïses;4630;9568;6856,1;14614,0;19427,6;24947,2;10333,2;10788,5;13636,0;15708,0;17595,3;21238,6;23639,6;26585,7;31561,3;2,9;3,5;0,2;52,1;5,8;40,3;10,2;5,7;1,8;2,3;1,6;-14,1
200041218;CC du Montaigu;668;1551;1065,1;;19266,8;;;;;;;;;;;;;;;;;;;;;;
200041226;CC du Pays de Lourdes;9893;20413;14627,1;14300,7;18454,0;23644,0;9343,3;10683,5;13248,2;15194,7;16832,2;20153,5;22341,3;25310,0;31010,7;2,9;3,6;0,3;56,4;6,1;33,5;12,3;6,1;1,8;2,4;1,9;-14,4
200041267;CC du Val d'Adour et du Madiranais;2907;6477;4516,7;13860,0;18264,4;23993,8;10133,8;10241,8;12814,0;14665,0;16492,8;20076,0;22450,5;25528,7;30792,6;3,0;3,8;0,3;47,6;7,4;40,0;12,8;5,5;2,1;2,2;1,2;-13,3
200041283;CC de la Plaine du Rhin;7439;17989;12190,7;18345,7;24347,0;32285,2;13939,5;13324,0;16939,5;19665,4;21943,5;27026,9;30470,0;34483,3;41795,7;3,1;3,7;0,3;85,4;2,5;17,5;9,7;2,2;1,2;0,6;0,5;-17,3
200041291;CC Vère-Grésigne - Pays Salvagnacois;3340;7941;5381,0;13607,1;18394,0;24336,7;10729,5;10104,7;12565,5;14609,6;16468,1;20265,4;22611,3;26097,3;32890,7;3,3;4,3;0,3;52,1;7,7;33,1;16,3;5,1;2,3;1,7;1,1;-14,3
200041317;CA du Niortais;53485;118504;82109,0;16004,0;21173,5;27992,0;11988,0;11825,6;14823,6;17058,0;19208,7;23380,0;26208,2;30126,1;36776,0;3,1;3,7;0,3;68,6;5,2;29,4;9,0;5,0;2,0;1,6;1,4;-17,2
200041325;CC du Pays Rhénan;14444;36309;24217,7;18295,2;23560,0;30245,6;11950,4;13953,5;17093,9;19478,6;21488,9;25849,0;28502,0;32168,5;38476,5;2,8;3,3;0,2;77,1;3,2;22,8;10,4;2,7;1,6;0,6;0,5;-16,2
200041333;CC de Parthenay-Gâtine;16528;36845;25559,1;14294,0;18379,5;23146,5;8852,5;10730,0;13307,5;15161,0;16708,1;20013,9;21977,0;24640,0;29670,5;2,8;3,4;0,2;56,0;6,9;33,9;10,9;5,9;2,5;1,9;1,6;-13,6
200041366;CC Rhône Crussol;14230;33383;22735,0;16806,0;21547,3;28154,0;11348,0;13127,6;15777,4;17823,3;19729,0;23769,6;26433,9;30238,3;37019,3;2,8;3,5;0,2;65,1;5,6;30,7;12,2;3,6;1,9;0,8;0,9;-17,2
200041416;CC Airvaudais-Val du Thouet;3115;6882;4793,7;14856,0;18680,7;23775,0;8919,0;11287,6;13751,3;15552,3;17342,1;20425,0;22531,0;25270,0;30714,0;2,7;3,3;0,2;54,4;8,1;35,2;10,8;4,8;2,2;1,5;1,1;-13,3
200041440;CC de Domme- Villefranche du Périgord;3856;8317;5881,9;13472,0;17732,8;23693,0;10221,0;9734,8;12396,5;14228,0;15950,7;20077,0;22196,3;25481,1;31752,7;3,3;4,0;0,3;45,0;7,6;42,9;13,8;4,3;1,7;1,5;1,1;-13,6
200041465;CC Val Eyrieux;6123;13259;9336,5;14190,0;18286,5;22871,0;8681,0;10723,9;13206,0;15138,0;16687,0;19887,0;21655,2;24445,3;29364,7;2,7;3,4;0,2;52,6;6,4;37,7;11,2;5,1;2,1;1,7;1,3;-13,0
200041499;CC Aunis Atlantique;11385;29051;18995,3;15729,5;19954,0;24556,7;8827,2;12020,8;14744,8;16667,3;18372,4;21458,7;23453,3;26089,3;30990,0;2,6;3,1;0,2;69,3;6,9;24,2;8,5;5,3;3,1;1,2;1,1;-14,2
200041515;CC du Bassin de Pont-à-Mousson;16720;39974;26972,8;15445,6;20479,0;26303,5;10857,9;11524,0;14235,2;16581,0;18601,6;22459,3;24842,0;28084,0;33900,4;2,9;3,5;0,2;67,0;4,0;28,8;9,9;5,2;2,4;1,4;1,3;-14,9
200041523;CC de la Haute Saintonge;29458;65864;45705,6;13753,3;18284,8;23827,0;10073,6;10380,5;12844,3;14710,8;16460,4;20202,7;22409,3;25709,0;32004,7;3,1;3,8;0,3;51,7;11,8;34,2;10,9;5,8;2,2;2,1;1,5;-14,4
200041556;CC Portes de la Creuse en Marche;3152;6449;4652,7;12966,7;17688,0;22334,4;9367,7;9603,0;12104,0;13896,0;15674,7;19379,0;21136,8;23672,0;27779,3;2,9;3,5;0,2;46,5;7,5;44,0;8,8;5,2;1,8;2,3;1,2;-12,0
200041564;CC du Haut Périgord;2406;4863;3535,8;13234,0;17532,8;22709,6;9475,6;9577,0;12300,0;13958,0;15815,8;19409,3;21398,0;24218,0;29326,0;3,1;3,7;0,3;41,8;6,3;47,6;11,5;4,2;1,4;1,6;1,1;-11,4
200041572;CC Dronne et Belle;5026;10964;7717,9;14851,7;19202,0;24443,3;9591,7;10940,0;13775,0;15796,0;17443,6;20995,0;23077,3;26007,2;31896,7;2,9;3,6;0,2;53,0;6,1;38,5;11,9;4,1;1,6;1,5;1,0;-13,6
200041606;CC Portes de France;5034;12455;8308,9;14616,8;19477,9;24674,0;10057,2;10724,7;13416,7;15699,3;17692,4;21300,6;23350,0;26338,0;31460,5;2,9;3,5;0,2;68,3;5,8;25,1;9,2;5,3;2,5;1,6;1,2;-13,7
200041614;CC Aunis Sud;12739;31060;20751,2;15192,8;19556,7;24453,9;9261,1;11503,3;14202,7;16097,5;17869,0;21224,5;23225,0;26027,9;31137,8;2,7;3,2;0,2;61,9;6,8;30,1;9,6;5,5;2,7;1,6;1,3;-13,9
200041622;CC Ardennes Thiérache;3941;9474;6369,3;12985,2;17723,0;22808,2;9823,0;9744,4;11951,0;14102,9;15978,6;19551,1;21590,5;24399,0;29142,7;3,0;3,6;0,2;58,2;8,6;28,7;9,6;7,2;3,2;2,3;1,6;-12,3
200041630;CA Charleville-Mézières/Sedan;54745;122520;84618,4;12906,2;18046,7;23966,7;11060,5;9351,3;11865,3;13995,8;16007,0;20076,0;22492,0;25740,5;31468,0;3,4;4,0;0,3;61,8;5,1;31,7;7,9;8,4;2,7;3,1;2,5;-14,9
200041671;CC Intercom Risle et Charentonne;6669;16298;10865,3;15752,6;20335,3;25622,7;9870,0;11927,1;14680,0;16797,0;18630,6;22238,7;24301,5;27232,4;32374,3;2,7;3,4;0,2;63,5;5,5;30,9;9,8;5,0;2,6;1,3;1,1;-14,7
200041689;CC des Vals de Saintonge;23529;51816;36159,4;13778,3;18169,4;23632,7;9854,3;10257,5;12832,8;14661,3;16423,3;20026,2;22281,3;25471,7;31523,6;3,1;3,7;0,3;49,1;11,2;36,5;11,2;6,0;2,3;2,1;1,6;-14,0
200041721;CC de la Haute Comté;7704;17752;12191,1;13596,7;17809,6;22455,3;8858,7;10186,7;12542,1;14496,7;16106,1;19501,0;21348,7;23826,1;28373,0;2,8;3,4;0,2;56,8;4,7;36,3;7,9;6,4;2,7;2,1;1,5;-12,1
200041762;CA Rochefort Océan;28746;62434;43652,5;14640,6;19412,0;25044,0;10403,4;10853,3;13545,0;15641,7;17524,7;21306,1;23604,0;26854,4;32593,0;3,0;3,6;0,2;56,6;5,8;36,2;9,6;6,2;2,2;2,2;1,8;-14,4
200041788;CA du Pays Nord Martinique;40128;96119;65044,3;10100,7;14547,0;21033,3;10932,7;7365,6;9479,6;10893,7;12635,3;16694,4;19383,6;23217,3;30288,4;4,1;5,2;0,3;64,0;6,0;24,2;3,1;14,1;3,5;8,1;2,5;-11,4
200041853;CC du Pays de Montbozon et du Chanois;2593;6373;4242,2;15816,0;20118,7;25087,0;9271,0;12249,1;14920,0;16686,0;18359,6;21739,8;23957,6;26507,0;30868,7;2,5;3,1;0,2;67,9;6,3;27,6;7,4;4,4;2,9;0,7;0,8;-13,6
200041861;CC du Triangle Vert;4441;11087;7356,6;15106,7;19338,0;24227,1;9120,5;11478,6;13988,0;16026,0;17785,2;21109,0;23098,8;25904,7;30390,0;2,6;3,2;0,2;67,3;6,5;27,0;7,5;4,9;2,8;1,1;1,0;-13,2
200041879;CC Terres de Saône;5654;13249;8998,4;15105,0;19441,9;24294,3;9189,3;11395,0;13993,3;16081,0;17821,3;21068,9;23040,0;25598,0;29928,0;2,6;3,1;0,2;65,1;5,0;31,2;6,7;5,2;2,5;1,5;1,2;-13,2
200041887;CC du Val Marnaysien;4083;10164;6724,2;16577,2;20848,5;26395,0;9817,8;12743,0;15611,5;17544,3;19242,5;22650,0;24872,6;28104,0;33723,9;2,6;3,2;0,2;72,1;5,7;24,9;8,5;4,0;2,6;0,7;0,7;-15,2
200041960;CC Pévèle-Carembault;36075;94383;61822,5;17446,7;23334,0;30810,0;13363,3;12990,4;16124,7;18720,0;21029,0;25888,1;28954,8;33048,1;40682,7;3,1;3,8;0,3;74,5;6,2;23,8;9,7;3,7;2,1;0,9;0,7;-17,9
