CODGEO;LIBGEO;NBMEN17;NBPERS17;NBUC17;Q117;Q217;Q317;Q3_Q1;D117;D217;D317;D417;D617;D717;D817;D917;RD;S80S2017;GI17;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200027027;CC Arc Sud Bretagne;12280;27809;19150,0;16410;20850;26190;9780;12730;15360;17450;19190;22610;24800;27840;32990;2,6;3,094;0,222;60,4;50,9;3,1;6,4;39,8;9,5;4,4;2,3;1,3;0,9;-14,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200027076;CC Arnon Boischaut Cher;3676;7823;5524,3;15630;20190;25190;9560;11760;14440;16560;18290;22010;24000;26640;31300;2,7;3,111;0,220;61,0;53,2;2,9;4,9;39,4;7,8;5,0;1,9;2,0;1,1;-13,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200027100;CC Méditerranée Porte des Maures;20133;43544;30694,7;16090;21780;28480;12390;11700;14770;17340;19600;24160;26860;30630;37950;3,2;4,013;0,272;58,8;48,9;3,2;6,7;40,6;14,2;4,0;1,5;1,6;0,9;-17,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200027183;CU Perpignan Méditerranée Métropole;120494;256134;180432,4;13240;18570;25150;11910;9730;12180;14320;16430;20850;23520;27130;33560;3,4;4,317;0,288;61,0;49,9;3,8;7,3;35,7;10,2;8,9;2,4;4,0;2,5;-15,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200027217;CC Sarlat-Périgord Noir;7846;16027;11564,3;15030;20050;26040;11010;11240;13860;16160;18160;22170;24550;27870;34220;3,0;3,756;0,258;59,6;49,9;3,8;5,9;38,5;12,0;5,1;1,5;2,3;1,4;-15,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;3688;8315;5751,5;16220;20690;25780;9560;12510;15060;17260;18860;22710;24700;27200;32660;2,6;3,125;0,224;66,7;55,9;2,9;7,8;32,7;9,9;4,1;2,2;1,2;0,7;-13,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200029734;CC des 4B Sud Charente;8656;19456;13481,0;14600;19330;24930;10330;11110;13640;15590;17430;21280;23570;26720;33070;3,0;3,649;0,255;65,5;52,3;3,1;10,2;32,1;10,2;5,7;2,1;2,3;1,4;-13,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200029999;CC Rives de l'Ain - Pays du Cerdon;5991;14114;9530,6;16530;21290;27250;10710;12470;15410;17470;19410;23310;25720;29000;34330;2,8;3,229;0,230;74,9;66,5;3,2;5,2;27,3;7,8;4,6;2,5;1,2;0,9;-14,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200030195;Métropole Nice Côte d'Azur;260152;548358;387510,4;14720;20920;28790;14060;10350;13390;16000;18470;23590;26760;31190;39300;3,8;4,845;0,307;71,4;61,1;3,4;6,9;29,8;12,4;5,5;1,7;2,4;1,4;-19,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200030385;CA de Blois Agglopolys;46109;104029;71535,2;15500;21060;27520;12020;11100;14190;16700;18930;23360;25930;29480;35800;3,2;3,903;0,264;68,9;61,1;3,0;4,8;32,5;8,6;6,0;2,4;2,2;1,5;-16,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200030435;CC d'Aire-sur-l'Adour;5735;12372;8730,2;15780;20400;26200;10420;11730;14610;16740;18520;22420;24780;28040;33700;2,9;3,546;0,249;61,3;50,7;2,5;8,1;37,6;10,9;5,1;1,8;2,1;1,3;-14,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200030526;CC du Ried de Marckolsheim;7835;20064;13263,3;17670;22620;28190;10520;13490;16360;18780;20720;24570;26820;29980;35380;2,6;3,108;0,221;79,2;72,8;2,9;3,6;24,2;7,9;3,8;2,2;1,0;0,7;-15,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200030633;CC du Caudrésis et du Catésis;25937;62615;41953,2;13060;17740;23140;10090;9920;12090;14060;15880;19580;21780;24660;29500;3,0;3,555;0,250;65,9;57,0;4,0;4,8;30,0;6,8;9,7;3,4;4,0;2,2;-12,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200030658;CC du Trièves;4238;9629;6609,7;16390;21280;27370;10980;12670;15340;17420;19360;23430;25870;29360;35430;2,8;3,360;0,238;66,9;57,6;3,1;6,2;33,1;10,5;4,3;2,1;1,3;0,8;-14,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200030674;CA Val de Garonne Agglomération;26780;59005;41154,8;14300;18900;24540;10240;10730;13250;15240;17060;20870;23200;26210;31910;3,0;3,666;0,256;62,5;53,2;3,3;6,0;35,0;9,9;6,6;2,3;2,6;1,7;-14,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200032514;CC Berry-Loire-Vauvise;2611;5518;3898,4;14810;19080;24400;9600;11130;13730;15840;17510;21090;23050;26030;30590;2,7;3,392;0,236;59,1;51,2;3,0;4,9;40,3;8,1;5,6;2,1;2,4;1,1;-13,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200033025;CA de Bar-le-Duc - Sud Meuse;15470;32485;23132,1;15650;20710;26560;10900;11670;14470;16740;18770;22800;25170;28320;34120;2,9;3,555;0,248;65,2;57,8;2,7;4,7;36,9;7,5;5,7;1,8;2,4;1,5;-15,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200033090;CC Plaines et Monts de France;8538;24263;15388,5;20550;25610;31980;11430;15920;19250;21540;23600;27720;30350;33730;39680;2,5;3,018;0,217;90,5;84,4;2,7;3,4;18,0;6,6;3,1;2,1;0,6;0,3;-18,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200033116;CC Cluses-Arve et Montagnes;18471;45897;30430,0;16700;22430;29660;12950;12410;15450;17960;20120;24870;27780;31800;39890;3,2;3,979;0,273;80,5;73,5;3,6;3,4;21,7;9,6;4,2;2,2;1,1;0,9;-16,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200033173;CC de la Haute Vallée de Chevreuse;9920;25289;16784,5;23940;32250;42900;18960;17220;22020;25670;28950;35940;40170;45980;57250;3,3;4,146;0,280;82,9;76,8;2,2;3,9;27,9;12,7;1,7;1,0;0,4;0,3;-25,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200033181;CA Chartres Métropole;58728;135619;92463,6;16710;22310;28810;12100;12200;15330;17950;20160;24560;27140;30820;37350;3,1;3,727;0,256;74,6;66,9;2,9;4,8;28,9;8,6;4,8;2,2;1,5;1,1;-16,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200033207;CC Vierzon-Sologne-Berry;14574;30532;21628,2;13260;18120;23450;10190;9760;12250;14330;16270;20030;22160;24960;29680;3,0;3,695;0,254;56,4;49,5;3,4;3,5;39,8;7,9;9,1;2,6;4,1;2,4;-13,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200033298;CC des Coëvrons;11396;26476;18025,1;15560;19560;23950;8390;11820;14590;16460;18100;21070;22790;25260;29700;2,5;3,034;0,215;66,8;58,4;2,7;5,7;31,9;8,6;5,5;2,9;1,4;1,1;-12,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200033579;CU d'Arras;47030;105270;72605,8;15020;20820;27860;12840;11000;13770;16260;18550;23250;26080;29930;36660;3,3;4,097;0,277;73,6;64,8;2,9;5,9;28,9;7,7;6,7;2,3;2,6;1,7;-16,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200033827;CC de Fium'orbu Castellu;4813;10768;7452,8;13550;18870;24950;11410;9700;12370;14580;16610;20990;23520;27120;33150;3,4;4,279;0,280;64,3;52,3;3,3;8,6;34,6;8,9;6,8;2,1;3,0;1,7;-14,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
