IRIS;LIBIRIS;COM;LIBCOM;DISP_TP6017;DISP_Q117;DISP_MED17;DISP_Q317;DISP_EQ17;DISP_D117;DISP_D217;DISP_D317;DISP_D417;DISP_D617;DISP_D717;DISP_D817;DISP_D917;DISP_RD17;DISP_S80S2017;DISP_GI17;DISP_PACT17;DISP_PTSA17;DISP_PCHO17;DISP_PBEN17;DISP_PPEN17;DISP_PPAT17;DISP_PPSOC17;DISP_PPFAM17;DISP_PPMINI17;DISP_PPLOGT17;DISP_PIMPOT17;DISP_NOTE17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010530603;Reyssouze-Est;01053;Bourg-en-Bresse;39,5;10940;13670;17010;0,44;8860;10480;11560;12720;14970;16280;17910;21550;2,4;2,9;0,21;51,8;;;;31,4;3,0;22,1;6,4;8,5;7,2;-8,3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010530604;Cenord-Grand Challes;01053;Bourg-en-Bresse;;15250;21080;26980;0,56;10210;14040;16830;18790;23090;25810;28540;34070;3,3;4,3;0,27;57,3;50,9;2,2;4,2;43,0;9,1;5,8;2,1;2,3;1,4;-15,2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010530701;Granges Bardes-Alagnier;01053;Bourg-en-Bresse;14,1;15220;20150;25310;0,50;11270;14040;16150;18170;21710;23790;26940;31880;2,8;3,4;0,24;72,6;67,4;3,0;2,2;28,6;7,2;7,2;3,2;2,3;1,7;-15,6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
011730101;Centre;01173;Gex;11,5;17590;28400;42760;0,89;12000;15920;19780;24390;33520;38940;46440;60670;5,1;6,3;0,35;97,7;91,5;3,6;2,6;11,3;6,9;2,4;0,9;0,8;0,7;-18,3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
011730102;Ouest;01173;Gex;9,9;19340;31450;48250;0,92;12690;17010;21840;26370;37360;43930;52760;66750;5,3;6,6;0,35;99,1;94,3;3,1;1,7;11,7;6,0;1,9;0,9;0,5;0,5;-18,7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
011730103;Est;01173;Gex;10,1;21300;35970;51740;0,85;12570;18470;24220;30070;42170;48330;55770;71610;5,7;6,9;0,35;101,6;95,6;3,6;2,4;11,2;5,3;1,3;0,6;0,3;0,4;-19,4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
012830102;Zus Centre;01283;Oyonnax;34,2;11440;14640;18660;0,49;9050;10820;12030;13280;16070;17530;19490;22640;2,5;2,9;0,21;63,8;56,4;7,1;0,3;25,1;2,9;16,9;6,7;5,3;4,9;-8,7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
012830103;Zus Nord Est;01283;Oyonnax;31,8;11680;14990;19040;0,49;9570;11050;12380;13750;16390;17980;20290;24190;2,5;3,1;0,23;57,8;51,4;5,3;1,1;33,1;5,3;14,0;5,6;4,3;4,1;-10,2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
012830104;Zus Ouest;01283;Oyonnax;39,4;11190;14110;18070;0,49;9350;10740;11690;12820;15390;17360;18840;22040;2,4;2,8;0,21;62,9;54,9;6,8;1,2;22,3;3,1;20,4;8,8;6,5;5,1;-8,7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
012830201;Ville Sud;01283;Oyonnax;20,7;13600;18460;24410;0,59;10670;12480;14570;16670;20540;22920;25980;32490;3,0;4,4;0,30;63,9;57,3;4,2;2,4;34,2;11,5;6,3;2,6;2,0;1,7;-15,9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
012830202;Ville Est;01283;Oyonnax;20,9;13670;18400;23810;0,55;9700;12300;14450;16280;20430;22390;25670;31700;3,3;4,2;0,27;70,0;63,3;4,1;2,6;28,8;8,5;6,8;2,5;2,4;1,9;-14,1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
012830203;Nierme et Geilles;01283;Oyonnax;28,7;12100;15950;21660;0,60;9240;11480;12770;14230;18160;20140;23100;29520;3,2;3,9;0,27;59,6;51,0;5,4;3,2;32,3;8,5;12,4;4,5;4,6;3,3;-12,8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
012830301;Ville Ouest;01283;Oyonnax;20,4;13550;17960;23640;0,56;10240;12640;14390;16300;19890;22280;25010;31310;3,1;4,1;0,29;72,1;65,7;4,6;1,8;27,3;7,7;7,3;2,9;2,4;2,0;-14,4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
012830303;Ville Nord;01283;Oyonnax;20,1;13430;18640;24470;0,59;10010;12640;14580;16920;20580;23020;26010;33600;3,4;4,3;0,29;72,2;64,4;4,0;3,8;26,8;10,0;6,9;3,2;1,9;1,8;-15,9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
012830304;Exterieur Est;01283;Oyonnax;17,3;14760;19550;25220;0,53;10630;13530;15710;17520;21190;23890;27310;35910;3,4;4,5;0,29;77,8;70,3;3,4;4,1;24,5;8,6;5,5;2,4;1,7;1,4;-16,4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
012830305;Veyziat;01283;Oyonnax;;20240;25100;32480;0,49;15540;19060;21040;23010;27520;30770;35160;44280;2,8;3,7;0,27;76,3;69,5;2,4;4,4;27,9;15,1;2,1;1,4;0,4;0,3;-21,4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
021680101;centre;02168;Château-Thierry;25,4;12560;17290;23050;0,61;9340;11660;13380;15090;19260;21680;24700;31290;3,4;4,4;0,29;71,0;61,1;4,3;5,6;26,5;9,0;9,1;2,6;3,6;2,9;-15,6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
021680201;Chesneaux;02168;Château-Thierry;17,9;14580;20090;26320;0,58;10560;13170;15790;17810;22320;24960;29140;37400;3,5;4,3;0,28;70,8;58,7;3,7;8,4;29,8;11,2;6,0;2,1;2,1;1,8;-17,8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
021680401;Mare Aubry;02168;Château-Thierry;17,9;14060;18670;25450;0,61;10350;13150;15130;16840;20990;23660;27420;34350;3,3;4,0;0,28;65,0;58,2;3,8;3,0;32,3;10,3;7,5;2,6;2,7;2,2;-15,1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
021680501;Vaucrises;02168;Château-Thierry;;10080;12990;17040;0,54;8290;9480;10600;11800;14280;16040;18400;22270;2,7;3,1;0,23;56,8;47,6;8,4;0,8;25,5;2,4;23,7;6,8;9,5;7,4;-8,4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
021680601;Gerbrois-St Martin-Le Buisson-Vincelles;02168;Château-Thierry;12,2;15970;21890;28790;0,59;11700;14730;17080;19460;23920;26900;31480;39010;3,3;4,2;0,28;64,0;53,8;2,5;7,7;39,1;10,3;4,5;2,0;1,6;0,9;-17,9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
021680701;Blanchard;02168;Château-Thierry;;12630;17080;22420;0,57;9180;11510;13450;15420;18810;20920;23920;28890;3,1;3,6;0,25;65,5;58,0;4,4;3,1;29,4;4,4;13,3;5,4;4,4;3,5;-12,6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
021730101;Nord-Ouest;02173;Chauny;35,7;11120;14840;20160;0,61;8780;10340;11870;13190;16730;19050;21430;26000;3,0;3,6;0,26;54,8;48,1;4,2;2,5;33,7;4,3;17,7;4,4;8,0;5,3;-10,5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
021730201;Sud-Ouest;02173;Chauny;25,1;12610;17180;23530;0,64;9440;11800;13580;15350;19480;21940;25440;31480;3,3;4,1;0,28;62,5;53,1;3,5;5,9;34,2;8,0;9,2;2,8;3,9;2,5;-13,9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
021730301;Nord-Est;02173;Chauny;16,0;14560;19700;25750;0,57;11030;13370;15560;17730;21660;24220;28290;35050;3,2;4,0;0,28;69,0;57,2;2,9;8,9;32,5;7,1;7,0;2,3;2,7;2,0;-15,6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
