IRIS;LIBIRIS;COM;LIBCOM;DISP_TP6019;DISP_Q119;DISP_MED19;DISP_Q319;DISP_EQ19;DISP_D119;DISP_D219;DISP_D319;DISP_D419;DISP_D619;DISP_D719;DISP_D819;DISP_D919;DISP_RD19;DISP_S80S2019;DISP_GI19;DISP_PACT19;DISP_PTSA19;DISP_PCHO19;DISP_PBEN19;DISP_PPEN19;DISP_PPAT19;DISP_PPSOC19;DISP_PPFAM19;DISP_PPMINI19;DISP_PPLOGT19;DISP_PIMPOT19;DISP_NOTE19
692640202;Béligny Ouest;69264;Villefranche-sur-Saône;44,9;10700;14000;18670;0,57;8520;10280;11220;12410;15820;17500;20300;24290;2,9;3,5;0,254;59,8;51,6;6,6;1,6;24,5;3,8;21,3;7,7;8,6;5,0;-9,4;0
692640203;Lamartine;69264;Villefranche-sur-Saône;21,8;13730;18530;24420;0,58;10230;12570;14680;16620;20510;22800;26170;32030;3,1;3,7;0,251;73,6;67,0;4,1;2,5;23,6;5,4;10,7;3,8;4,4;2,5;-13,3;0
692640301;Garet;69264;Villefranche-sur-Saône;;12140;16560;23460;0,68;9600;11350;12810;14630;19420;21790;25330;29820;3,1;3,5;0,253;73,1;65,3;4,8;3,0;19,2;4,1;15,9;6,7;5,5;3,7;-12,3;0
692640302;Troussier-Fongraine;69264;Villefranche-sur-Saône;34,0;11660;15910;21460;0,62;9300;10950;12550;14120;18070;20370;23120;27550;3,0;3,5;0,254;63,9;55,7;5,5;2,7;26,4;4,6;16,2;6,2;6,2;3,8;-11,1;0
692640303;Quarantaine;69264;Villefranche-sur-Saône;22,5;13510;18480;23970;0,57;10570;12730;14490;16460;20280;22820;25540;30570;2,9;3,3;0,237;76,8;70,8;4,2;1,8;20,8;4,3;11,3;4,0;4,7;2,6;-13,2;0
692640401;Centre Ville Nord;69264;Villefranche-sur-Saône;15,6;15380;20580;26780;0,55;11480;14170;16480;18480;22540;25130;28680;35310;3,1;3,7;0,260;69,6;62,7;3,6;3,3;29,0;8,8;8,1;2,1;3,7;2,3;-15,5;0
692640402;Centre Ville Sud;69264;Villefranche-sur-Saône;14,0;15980;21110;27290;0,54;11920;14740;17260;19240;23270;25850;29290;36160;3,0;3,7;0,254;72,8;66,2;3,2;3,4;28,1;8,5;6,6;1,9;3,0;1,7;-16,0;0
692640501;Nord-Ouest;69264;Villefranche-sur-Saône;12,6;16250;21690;28030;0,54;12390;14930;17220;19480;23860;26610;29740;35610;2,9;3,6;0,253;65,7;59,8;2,6;3,3;35,9;8,8;5,9;2,2;2,2;1,5;-16,3;0
692640502;Sud-Ouest;69264;Villefranche-sur-Saône;8,2;18730;23690;30110;0,48;13990;17250;19730;21690;25970;28210;31900;37790;2,7;3,3;0,237;63,1;57,9;2,0;3,2;40,6;10,3;3,6;1,2;1,6;0,8;-17,6;0
692640601;Belleroche;69264;Villefranche-sur-Saône;;10550;12990;16510;0,46;8760;9860;11020;11990;14210;15540;17560;21040;2,4;2,9;0,208;50,1;42,6;6,8;0,7;24,7;2,0;29,8;9,7;12,5;7,6;-6,6;0
692660101;Charmettes;69266;Villeurbanne;16,0;15870;22740;31140;0,67;10050;14580;17240;19580;25450;29220;33490;40530;4,0;4,9;0,297;91,9;83,5;4,1;4,3;13,7;6,8;6,0;1,5;2,7;1,8;-18,4;0
692660102;Charles Hernu;69266;Villeurbanne;20,4;14200;20670;28980;0,71;10150;13000;15440;18000;23820;26960;31340;38410;3,8;4,6;0,291;88,5;79,9;3,7;4,9;14,4;6,3;8,0;2,1;3,6;2,3;-17,2;0
692660103;Charpenne-Wilson;69266;Villeurbanne;16,3;15770;22720;30760;0,66;11050;14400;17120;19840;25570;29150;32740;39300;3,6;4,3;0,273;87,0;80,5;3,6;2,9;18,1;6,1;6,6;2,2;2,7;1,7;-17,8;0
692660202;11 Novembre;69266;Villeurbanne;15,0;16850;24060;31650;0,61;10320;15050;18890;21400;26660;29960;33610;40230;3,9;5,0;0,286;81,3;75,3;2,5;3,5;23,8;8,3;5,0;1,5;1,8;1,7;-18,4;0
692660301;Tonkin Sud;69266;Villeurbanne;19,5;14300;20740;30150;0,76;10550;13270;15490;18090;23870;27780;32930;40380;3,8;4,5;0,294;84,4;77,8;3,3;3,3;18,8;5,9;8,6;2,8;3,6;2,2;-17,7;0
692660302;Espace-Central;69266;Villeurbanne;20,7;14000;20100;28490;0,72;10580;13070;15070;17450;23160;26720;30910;37280;3,5;4,9;0,322;81,1;75,1;3,3;2,7;23,0;5,6;8,7;3,2;3,2;2,3;-18,4;0
692660402;Tonkin Ouest;69266;Villeurbanne;27,3;12360;17720;24000;0,66;9430;11650;13500;15310;20130;22870;25850;31540;3,3;3,9;0,271;68,5;63,1;3,7;1,7;26,5;5,5;14,0;4,9;5,5;3,6;-14,5;0
692660403;Tonkin Nord;69266;Villeurbanne;17,5;15810;21980;29410;0,62;10280;14090;17300;19630;24850;27940;31160;37450;3,6;4,4;0,270;80,2;74,2;3,5;2,5;24,7;6,4;6,1;1,2;3,0;1,9;-17,4;0
692660501;Croix Luizet Ouest;69266;Villeurbanne;;18460;25720;34320;0,62;10520;16170;20010;23530;28420;32370;37230;47270;4,5;5,2;0,299;69,3;64,2;2,3;2,8;34,2;12,6;4,2;0,9;1,7;1,6;-20,3;0
692660502;Croix Luizet Est;69266;Villeurbanne;21,8;13850;20040;26350;0,62;10140;12730;15000;17200;22520;25020;28520;34890;3,4;4,1;0,270;84,9;77,0;4,0;3,9;17,1;5,0;8,9;2,8;3,5;2,6;-15,9;0
692660601;Einstein-Salengro;69266;Villeurbanne;21,3;14400;20060;26530;0,60;10300;12960;15290;17830;22090;24550;28940;35490;3,4;4,1;0,273;78,4;70,6;3,8;4,0;22,7;6,6;8,3;3,0;3,2;2,1;-16,0;0
692660701;Buers Est;69266;Villeurbanne;27,2;12700;18750;24910;0,65;8970;11780;13820;16150;21070;23400;26930;33810;3,8;4,7;0,296;69,1;62,1;3,8;3,2;27,6;7,3;10,6;3,7;4,6;2,3;-14,6;0
692660702;Buers Nord;69266;Villeurbanne;24,7;13350;19920;27040;0,69;9620;12170;14830;17650;22420;25610;29480;35580;3,7;4,3;0,276;74,8;69,0;3,5;2,3;25,2;6,3;9,3;2,9;4,1;2,3;-15,6;0
692660703;Buers Sud;69266;Villeurbanne;;12660;18390;24310;0,63;8570;11630;13740;16180;20090;22720;26060;32980;3,8;4,7;0,299;66,5;60,0;3,4;3,1;28,8;10,4;10,8;3,3;5,0;2,5;-16,5;0
692660801;Saint-Jean;69266;Villeurbanne;30,2;12290;16470;22220;0,60;9390;11470;13150;14370;18500;20820;23400;28150;3,0;3,5;0,251;75,2;68,3;4,7;2,2;16,0;4,8;16,1;5,8;6,8;3,5;-12,1;0
692660901;Poulettes Nord;69266;Villeurbanne;20,8;13740;19280;25320;0,60;10570;12900;14780;16960;21470;24080;27120;33870;3,2;3,6;0,256;72,3;65,8;4,2;2,3;24,5;6,0;11,3;3,0;4,9;3,4;-14,1;0
692660902;Les Poulettes;69266;Villeurbanne;11,1;18430;25360;33340;0,59;12480;16710;19800;22300;28470;31630;35640;44090;3,5;4,3;0,281;81,0;74,6;2,7;3,7;23,7;10,7;4,1;1,6;1,6;0,9;-19,5;0
692660903;Château Gaillard;69266;Villeurbanne;18,1;14800;20850;28830;0,67;9650;13750;15790;18390;23630;26870;30640;39150;4,1;4,8;0,303;77,8;70,6;3,7;3,5;21,7;10,5;7,2;2,3;3,1;1,8;-17,2;0
692661001;Zola-Pressensé Ouest;69266;Villeurbanne;15,2;15830;22430;29440;0,61;11290;14440;17220;20120;24890;27280;31450;38880;3,4;4,1;0,269;74,4;67,3;3,2;3,9;27,3;9,3;5,9;1,7;2,7;1,5;-16,9;0
692661002;Zola-Pressensé Est;69266;Villeurbanne;11,2;17170;22720;28930;0,52;12890;16160;18420;20720;24810;27410;30800;37760;2,9;3,6;0,247;74,8;68,0;2,7;4,1;29,2;7,5;5,0;1,6;2,2;1,2;-16,5;0
692661101;Gratte-Ciel;69266;Villeurbanne;16,1;16010;22570;30360;0,64;10840;14260;17330;20020;25360;28510;33050;40180;3,7;4,3;0,280;77,7;70,8;3,5;3,4;26,1;7,2;6,5;2,3;2,7;1,5;-17,5;0
692661201;République;69266;Villeurbanne;13,0;17040;23690;31690;0,62;11870;15410;18590;21230;26640;29950;34050;41140;3,5;4,3;0,277;86,4;78,0;2,9;5,5;19,3;8,2;5,3;1,8;2,2;1,3;-19,2;0
692661202;Albert Thomas;69266;Villeurbanne;16,5;15680;22600;30640;0,66;10810;14360;17530;20090;25350;28620;33160;39290;3,6;4,7;0,301;87,0;80,3;3,9;2,8;17,5;6,5;5,8;1,6;2,7;1,5;-16,8;0
692661203;Gratte-Ciel Ouest;69266;Villeurbanne;11,1;18480;24910;32150;0,55;12280;16750;19940;22320;27290;30390;34060;39820;3,2;3,7;0,246;79,4;72,7;2,5;4,2;27,8;6,9;4,6;1,6;1,9;1,1;-18,7;0
692661204;Gratte-Ciel Est;69266;Villeurbanne;24,3;13230;17950;23720;0,58;9980;12380;14190;16030;19870;22170;25520;30640;3,1;3,7;0,254;69,5;63,1;4,6;1,8;27,3;5,4;10,8;1,9;5,9;3,0;-13,0;0
692661205;Tolstoï Nord;69266;Villeurbanne;19,2;14850;21180;28850;0,66;10260;13410;16200;18910;24260;27120;31250;38080;3,7;4,6;0,294;76,2;69,8;3,6;2,8;23,5;9,7;7,7;2,5;3,2;2,0;-17,1;0
692661301;Tolstoï Sud;69266;Villeurbanne;16,4;15170;21420;28580;0,63;11170;14060;16370;18930;24050;26900;30820;37180;3,3;3,9;0,267;82,8;76,2;3,9;2,7;20,4;5,8;7,7;2,4;3,2;2,1;-16,7;0
692661302;Ferrandière;69266;Villeurbanne;16,9;15130;21430;28940;0,64;11040;13930;16470;18810;24100;27210;30800;36440;3,3;4,0;0,269;82,5;76,9;2,9;2,7;20,0;6,4;7,6;2,8;3,0;1,8;-16,5;0
692661303;Maisons Neuves;69266;Villeurbanne;16,5;15360;21620;28890;0,63;11380;14110;16760;19110;24370;27280;30940;37400;3,3;3,8;0,261;85,2;78,5;3,6;3,1;18,6;5,4;7,8;2,6;3,2;2,0;-17,0;0
692661401;Droits de l'Homme;69266;Villeurbanne;22,5;13830;20150;29220;0,76;10610;12680;15000;17840;23540;27070;30650;36120;3,4;4,1;0,282;68,0;61,8;3,1;3,1;29,8;9,6;8,4;3,3;3,4;1,7;-15,8;0
692661402;Damidot;69266;Villeurbanne;20,7;13970;20190;26490;0,62;9480;12740;15590;18100;22630;25190;28160;33110;3,5;4,1;0,256;74,6;68,3;3,3;3,0;25,5;6,1;8,4;2,0;4,0;2,4;-14,6;0
692661403;Perralière;69266;Villeurbanne;14,6;16310;22810;28600;0,54;11470;14910;18220;20540;24930;27150;30200;34130;3,0;3,6;0,234;75,7;69,5;3,1;3,1;28,2;6,2;5,4;1,8;2,5;1,1;-15,5;0
692661404;Pierre Cacard;69266;Villeurbanne;24,4;13210;18140;25260;0,66;10520;12330;14210;15890;20890;23760;27330;32400;3,1;3,6;0,254;74,1;68,2;4,4;1,5;23,6;5,4;11,1;3,4;4,8;2,9;-14,2;0
692661501;Grandclément-Blum;69266;Villeurbanne;22,0;13770;19790;26850;0,66;10340;12760;14880;17290;22350;24970;28400;33830;3,3;3,9;0,266;86,1;78,6;4,3;3,2;14,3;5,2;9,9;3,3;4,0;2,6;-15,5;0
692661502;Genas;69266;Villeurbanne;13,3;16700;22720;29830;0,58;11850;15410;17990;20530;25430;28130;31980;37990;3,2;3,8;0,250;84,1;76,6;4,4;3,1;21,1;6,3;5,7;2,0;2,1;1,6;-17,2;0
692661503;Grandclément;69266;Villeurbanne;13,9;15870;21610;28100;0,57;11780;14880;16940;19110;24090;26600;30300;36780;3,1;3,7;0,251;85,2;78,1;3,8;3,3;18,4;5,6;7,1;2,3;3,0;1,8;-16,3;0
692661601;Cusset-Ouest;69266;Villeurbanne;18,4;14810;20580;27080;0,60;10720;13470;15800;17980;22710;25350;29240;34610;3,2;4,0;0,271;75,6;67,1;3,3;5,2;23,9;7,7;9,0;3,0;3,8;2,2;-16,2;0
692661602;Bonnevay;69266;Villeurbanne;19,1;14840;20120;26600;0,58;10450;13430;15950;18010;22600;25210;28650;34620;3,3;4,1;0,274;72,8;66,4;3,7;2,7;26,2;8,3;7,8;3,0;3,0;1,8;-15,1;0
692661701;Jacques Monod;69266;Villeurbanne;32,1;11830;15910;22140;0,65;9040;11080;12730;14530;17720;20380;23870;29120;3,2;4,1;0,273;76,5;68,2;5,3;3,0;13,7;4,3;17,4;5,8;7,1;4,5;-11,9;0
692661702;Réguillon;69266;Villeurbanne;20,4;14740;20450;27440;0,62;10380;13070;15810;18190;23300;26220;29430;34450;3,3;4,0;0,266;77,5;71,4;3,6;2,5;22,9;7,2;7,8;2,7;3,3;1,8;-15,4;0
692661703;Fays-Bon Coin;69266;Villeurbanne;21,3;13910;20100;27280;0,67;10450;12750;15130;17380;22130;25310;29740;36210;3,5;4,3;0,284;74,8;67,7;3,7;3,4;24,0;7,6;9,7;3,2;4,1;2,4;-16,1;0
692661704;Fays-Est;69266;Villeurbanne;28,1;12750;17480;22650;0,57;9780;11960;13480;15510;19140;21480;23920;27840;2,8;3,2;0,230;73,0;66,7;4,6;1,7;23,2;3,4;12,2;4,6;4,6;3,0;-11,8;0
692661801;La Soie;69266;Villeurbanne;24,3;13390;19050;26040;0,66;9720;11980;14320;16520;21590;24280;27970;32660;3,4;4,2;0,275;90,2;83,4;3,9;2,9;7,8;4,0;12,5;3,5;5,7;3,3;-14,5;0
692661802;Bel-Air;69266;Villeurbanne;34,3;12040;15270;20830;0,58;8760;11200;12720;14010;17050;19550;21900;26480;3,0;3,4;0,237;69,1;61,3;4,6;3,2;21,8;4,1;16,3;7,1;5,8;3,4;-11,3;0
692661803;Les Brosses;69266;Villeurbanne;31,2;11960;15990;22190;0,64;9250;11190;12980;14460;18450;20620;23950;28310;3,1;3,7;0,260;72,2;64,2;5,0;3,0;20,2;4,3;15,8;6,0;6,0;3,8;-12,5;0
692661804;Poudrette;69266;Villeurbanne;36,7;11060;16110;23020;0,74;8680;10180;12040;13910;18590;21560;24990;29050;3,3;3,9;0,276;70,9;65,3;3,3;2,3;20,5;5,2;15,9;4,9;7,0;4,0;-12,5;0
692710102;Chassieu le Bas;69271;Chassieu;6,5;19930;25990;34790;0,57;14620;18470;21240;23160;29530;32690;37250;44460;3,0;3,6;0,257;83,2;76,3;2,5;4,4;23,4;8,9;3,5;1,7;1,2;0,6;-19,0;0
692710103;Chassieu le Haut;69271;Chassieu;14,4;16430;25360;35500;0,75;11990;14840;17900;21680;29120;33600;37500;47350;3,9;5,5;0,345;85,4;77,6;2,6;5,2;20,3;14,1;4,5;2,0;1,6;0,9;-24,3;0
692710104;Les Coteaux;69271;Chassieu;;22880;29720;38650;0,53;17820;21360;24710;26810;32300;36590;41410;51330;2,9;3,9;0,284;79,7;73,6;2,0;4,1;27,9;14,8;1,9;1,2;0,5;0,2;-24,3;0
692710105;Tarentelles;69271;Chassieu;;25210;31960;40740;0,49;19610;23760;26680;29450;35630;38720;42230;49490;2,5;3,0;0,217;67,0;61,2;1,8;4,0;41,1;11,3;1,6;1,0;0,4;0,2;-21,0;0
692730102;Balmes Bourlione;69273;Corbas;7,8;18060;23190;29030;0,47;13850;16900;19180;21560;25040;27600;30900;35910;2,6;2,9;0,209;80,8;75,1;3,0;2,7;23,1;6,8;5,1;2,7;1,6;0,8;-15,8;0
