IRIS;LIBIRIS;COM;LIBCOM;DISP_TP6016;DISP_Q116;DISP_MED16;DISP_Q316;DISP_EQ16;DISP_D116;DISP_D216;DISP_D316;DISP_D416;DISP_D616;DISP_D716;DISP_D816;DISP_D916;DISP_RD16;DISP_S80S2016;DISP_GI16;DISP_PACT16;DISP_PTSA16;DISP_PCHO16;DISP_PBEN16;DISP_PPEN16;DISP_PPAT16;DISP_PPSOC16;DISP_PPFAM16;DISP_PPMINI16;DISP_PPLOGT16;DISP_PIMPOT16;DISP_NOTE16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010530603;Reyssouze-Est;01053;Bourg-en-Bresse;44,3;10297;13339;16866;0,49;8216;9847;10893;12151;14626;15831;17834;20693;2,5;3,017;0,217;48,8;;;;33,1;3,5;22,6;6,1;8,9;7,6;-8,0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010530604;Cenord-Grand-Challes;01053;Bourg-en-Bresse;;14624;20666;27040;0,60;9893;13674;15894;18053;22962;25505;28340;33753;3,4;4,255;0,267;56,3;50,8;2,1;3,4;42,6;10,0;6,0;2,3;2,0;1,7;-14,9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010530701;Granges-Bardes-Alagnier;01053;Bourg-en-Bresse;13,0;15041;19978;25159;0,51;11196;13779;16208;17983;21723;23913;26862;31349;2,8;3,398;0,242;72,3;67,3;3,0;2,0;28,4;8,1;7,0;3,1;2,1;1,7;-15,8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
011730101;Centre;01173;Gex;13,4;16829;28536;43791;0,94;10353;15095;18844;23676;33852;39808;48519;62800;6,1;7,532;0,366;97,5;91,1;3,2;3,1;10,8;6,7;2,4;0,9;0,7;0,8;-17,4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
011730102;Ouest;01173;Gex;11,0;18930;32432;49225;0,93;11763;16511;21123;26477;38709;45549;54749;67903;5,8;7,027;0,353;98,7;93,1;3,5;2,1;11,9;5,5;2,1;1,0;0,5;0,5;-18,2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
011730103;Est;01173;Gex;9,1;20991;36355;54226;0,91;13029;17860;24034;29769;43140;49569;59201;74281;5,7;7,273;0,360;101,6;96,3;3,4;2,0;10,1;5,1;1,5;0,6;0,5;0,4;-18,3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
012830102;Zus Centre;01283;Oyonnax;35,0;11158;14178;18337;0,51;8462;10321;11877;13090;15658;17307;19192;22703;2,7;3,008;0,216;63,4;54,9;8,1;0,4;25,0;3,7;16,6;6,7;4,8;5,1;-8,7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
012830103;Zus Nord Est;01283;Oyonnax;31,7;11584;14713;18831;0,49;9199;10940;12303;13586;16062;17829;20026;23745;2,6;3,136;0,229;59,2;51,8;6,4;1,0;33,1;5,1;13,1;5,4;3,7;4,0;-10,5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
012830104;Zus Ouest;01283;Oyonnax;39,1;10888;13790;17906;0,51;8701;10268;11433;12617;15148;16969;18691;21768;2,5;2,890;0,212;63,4;53,6;8,3;1,6;22,1;2,8;20,5;8,7;6,2;5,5;-8,8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
012830201;Ville Sud;01283;Oyonnax;23,7;12635;18275;24036;0,62;8981;11595;13692;15729;20453;22587;25585;31893;3,6;5,168;0,314;62,5;55,8;4,2;2,5;34,6;11,8;6,8;2,7;2,2;1,9;-15,7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
012830202;Ville Est;01283;Oyonnax;21,0;13445;17960;23680;0,57;9977;12378;14305;15938;19832;22009;25411;30515;3,1;3,968;0,264;69,3;62,4;4,7;2,2;28,6;8,7;7,2;2,6;2,6;2,1;-13,8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
012830203;Nierme et Geilles;01283;Oyonnax;29,9;11678;15604;21769;0,65;8831;10909;12515;14077;18070;20282;23237;29664;3,4;3,976;0,280;59,5;50,3;5,9;3,4;32,3;8,5;12,2;4,3;4,5;3,4;-12,5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
012830301;Ville Ouest;01283;Oyonnax;19,9;13275;17754;23210;0,56;10181;12500;14180;16158;19503;21641;25071;31131;3,1;3,903;0,273;70,9;61,8;5,5;3,7;28,5;7,9;7,4;2,8;2,5;2,2;-14,7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
012830303;Ville Nord;01283;Oyonnax;21,7;13016;18006;23602;0,59;9170;12232;14041;15969;20140;22191;24861;31250;3,4;4,140;0,282;72,8;64,8;4,2;3,8;26,0;9,8;7,3;3,1;2,0;2,2;-15,9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
012830304;Exterieur Est;01283;Oyonnax;16,7;14615;19587;24727;0,52;10730;13242;15557;17602;21378;23455;26911;34661;3,2;4,026;0,274;75,9;68,2;4,0;3,7;25,1;9,9;5,4;2,3;1,6;1,5;-16,3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
012830305;Veyziat;01283;Oyonnax;;19474;25318;32262;0,51;15658;18375;20833;22921;27890;30160;34650;43689;2,8;3,788;0,271;75,3;69,2;2,2;3,9;27,9;16,0;2,1;1,2;0,4;0,5;-21,3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
021680101;centre;02168;Château-Thierry;24,1;12705;17184;22632;0,58;9356;11531;13610;15374;18997;21413;24345;30808;3,3;4,474;0,294;71,1;61,1;4,3;5,7;26,1;9,8;9,1;2,4;3,7;3,0;-16,1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
021680201;Chesneaux;02168;Château-Thierry;14,5;15345;20371;26944;0,57;10596;13824;16291;18441;22431;24951;28844;36988;3,5;4,178;0,283;71,4;58,6;3,9;8,9;29,5;11,4;5,5;1,9;1,9;1,7;-17,8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
