IRIS;LIBIRIS;COM;LIBCOM;DISP_TP6014;DISP_Q114;DISP_MED14;DISP_Q314;DISP_EQ14;DISP_D114;DISP_D214;DISP_D314;DISP_D414;DISP_D614;DISP_D714;DISP_D814;DISP_D914;DISP_RD14;DISP_S80S2014;DISP_GI14;DISP_PTSAC14;DISP_PBEN14;DISP_PPEN14;DISP_PPAT14;DISP_PPSOC14;DISP_PPFAM14;DISP_PPMINI14;DISP_PPLOGT14;DISP_PIMPOT14;note
930550701;Ourcq Hoche;93055;Pantin;18,7;14185,0;21857,6;30595,7;0,8;9680,0;12840,0;15991,9;18792,7;24786,2;28224,0;32615,0;40178,3;4,2;4,7;0,3;87,7;3,5;15,4;6,7;5,4;2,3;1,6;1,5;-18,7;0
930550702;Victor Hugo;93055;Pantin;24,9;12278,0;18574,0;27139,3;0,8;8580,9;10909,4;13375,0;15955,6;21172,0;25108,0;29132,9;35742,0;4,2;5,1;0,3;82,2;2,7;19,1;7,1;6,1;2,3;1,9;1,8;-17,2;0
930550801;Verpantin;93055;Pantin;26,8;11952,5;16340,0;21732,5;0,6;8772,0;11104,0;12887,6;14248,5;18103,3;20409,1;23568,0;28013,2;3,2;3,6;0,2;80,7;1,3;16,7;3,6;11,6;4,6;3,3;3,6;-13,9;0
930550802;Sept Arpents;93055;Pantin;33,8;10267,0;16753,5;27156,7;1,0;6356,3;9177,1;11428,6;13986,0;20601,7;24909,3;30746,0;38610,0;6,1;7,4;0,4;85,1;4,2;15,7;7,0;6,6;1,9;2,3;2,4;-18,6;0
930570101;Poudrette Sainte-Anne;93057;Les Pavillons-sous-Bois;21,7;13089,0;19305,8;26407,3;0,7;9368,1;11532,0;14296,1;17296,7;21880,8;24772,9;28427,0;35591,5;3,8;4,4;0,3;79,8;2,9;17,8;7,9;8,3;3,9;2,8;1,6;-16,7;0
930570102;Canal Zi;93057;Les Pavillons-sous-Bois;25,5;12129,2;16928,1;23205,8;0,7;8330,5;10954,4;12970,8;14814,3;19018,3;21692,3;24597,0;29574,8;3,6;4,0;0,3;83,5;2,0;14,2;5,3;9,5;4,2;2,7;2,5;-14,5;0
930570103;Calmanovic;93057;Les Pavillons-sous-Bois;16,1;14473,8;20331,4;26532,0;0,6;10439,4;13321,9;15599,0;17883,8;22516,2;24983,3;28595,7;35418,9;3,4;4,0;0,3;82,0;2,2;18,8;8,1;5,6;3,1;1,3;1,2;-16,7;0
930570104;Casanova;93057;Les Pavillons-sous-Bois;16,2;15075,0;22344,2;29514,0;0,6;10349,3;13061,6;16918,0;19262,0;25158,7;27740,0;31898,9;37743,6;3,6;4,3;0,3;76,1;3,1;25,1;9,6;4,6;2,3;1,2;1,1;-18,5;0
930570105;Stade;93057;Les Pavillons-sous-Bois;11,9;16935,0;24836,7;32947,8;0,6;11754,3;15161,0;18952,1;21896,0;27299,4;30933,5;34894,0;42023,3;3,6;4,2;0,3;75,5;4,0;26,1;10,3;3,2;1,8;0,8;0,6;-19,1;0
930570106;Emile Zola;93057;Les Pavillons-sous-Bois;20,1;13969,0;20694,0;27594,0;0,7;9644,6;12107,8;15491,7;18052,0;23081,4;25881,5;29875,2;36364,0;3,8;4,6;0,3;71,7;3,0;26,8;9,6;5,7;2,8;1,4;1,5;-16,8;0
