CODGEO;LIBGEO;NBMEN14;NBPERS14;NBUC14;Q114;Q214;Q314;Q3_Q1;D114;D214;D314;D414;D614;D714;D814;D914;RD;S80S2014;GI14;PTSAC14;PBEN14;PPEN14;PPAT14;PPSOC14;PPFAM14;PPMINI14;PPLOGT14;PIMPOT14
2B329;Tralonca;50;103;73,5;;16433,0;;;;;;;;;;;;;;;;;;;;;;
2B332;Urtaca;78;167;118,1;;20603,8;;;;;;;;;;;;;;;;;;;;;;
2B333;Vallecalle;67;131;95,6;;17389,4;;;;;;;;;;;;;;;;;;;;;;
2B335;Valle-di-Campoloro;131;294;204,3;;19368,3;;;;;;;;;;;;;;;;;;;;;;
2B337;Valle-di-Rostino;52;86;68,4;;17235,8;;;;;;;;;;;;;;;;;;;;;;
2B340;Velone-Orneto;50;106;74,8;;16849,5;;;;;;;;;;;;;;;;;;;;;;
2B341;Venaco;313;610;449,2;;20292,2;;;;;;;;;;;;;;;;;;;;;;
2B342;Ventiseri;810;2112;1377,6;14963,3;19397,6;24173,3;9210,0;10923,3;13738,0;15734,0;17769,5;21303,9;23025,0;25319,5;30364,0;2,8;3,4;0,2;67,0;6,9;26,9;7,8;5,8;2,7;1,8;1,3;-14,4
2B343;Venzolasca;612;1407;966,6;;16346,8;;;;;;;;;;;;;;;;;;;;;;
2B346;Vescovato;964;2415;1605,3;11366,7;15716,7;21839,3;10472,7;8512,7;10766,8;12143,3;13754,6;18100,0;20492,0;23907,0;29213,3;3,4;4,2;0,3;61,0;7,8;28,1;6,7;9,3;2,6;4,1;2,6;-12,9
2B347;Vezzani;130;239;180,3;;18778,8;;;;;;;;;;;;;;;;;;;;;;
2B350;Vignale;74;146;107,8;;18086,8;;;;;;;;;;;;;;;;;;;;;;
2B352;Ville-di-Paraso;92;188;134,8;;18674,5;;;;;;;;;;;;;;;;;;;;;;
2B353;Ville-di-Pietrabugno;1553;3304;2346,4;16950,3;23976,0;33787,6;16837,3;11973,3;15559,0;18395,6;20993,0;27264,4;31622,7;36706,1;47504,0;4,0;5,2;0,3;63,5;15,1;29,7;13,3;2,5;0,9;0,9;0,6;-24,1
2B354;Vivario;141;244;187,4;;19408,7;;;;;;;;;;;;;;;;;;;;;;
2B355;Volpajola;141;314;220,5;;17404,7;;;;;;;;;;;;;;;;;;;;;;
2B361;Zilia;129;296;199,4;;15003,5;;;;;;;;;;;;;;;;;;;;;;
2B365;San-Gavino-di-Fiumorbo;61;102;81,5;;18726,0;;;;;;;;;;;;;;;;;;;;;;
30001;Aigaliers;187;462;312,5;;21195,3;;;;;;;;;;;;;;;;;;;;;;
30002;Aigremont;283;724;478,1;;19079,5;;;;;;;;;;;;;;;;;;;;;;
30003;Aigues-Mortes;3876;8819;6065,7;14104,0;19395,2;25989,3;11885,3;10408,4;12861,0;15136,2;17329,6;21563,3;24266,1;27640,7;33954,0;3,3;4,1;0,3;58,2;7,8;32,2;13,5;5,3;2,0;1,8;1,5;-17,0
