CODGEO;LIBGEO;NBMEN15;NBPERS15;NBUC15;Q115;Q215;Q315;Q3_Q1;D115;D215;D315;D415;D615;D715;D815;D915;RD;S80S2015;GI15;PACT15;PCHO15;PTSA15;PBEN15;PPEN15;PPAT15;PPSOC15;PPFAM15;PPMINI15;PPLOGT15;PIMPOT15
01114;Confort;206,0;504,5;333,8;;25517,3;;;;;;;;;;;;;;;;;;;;;;;;
01115;Confrançon;534,0;1322,0;874,6;;20543,9;;;;;;;;;;;;;;;;;;;;;;;;
01116;Contrevoz;210,0;499,5;336,9;;20465,6;;;;;;;;;;;;;;;;;;;;;;;;
01117;Conzieu;54,0;148,0;92,2;;18155,7;;;;;;;;;;;;;;;;;;;;;;;;
01118;Corbonod;434,0;1036,5;695,0;;23640,7;;;;;;;;;;;;;;;;;;;;;;;;
01121;Corlier;42,0;103,0;69,6;;20312,2;;;;;;;;;;;;;;;;;;;;;;;;
01122;Cormaranche-en-Bugey;328,0;797,0;537,8;;22896,4;;;;;;;;;;;;;;;;;;;;;;;;
01123;Cormoranche-sur-Saône;425,0;1129,5;737,5;;22236,0;;;;;;;;;;;;;;;;;;;;;;;;
01124;Cormoz;293,0;666,0;457,7;;20818,7;;;;;;;;;;;;;;;;;;;;;;;;
01125;Corveissiat;249,0;597,5;400,9;;20929,0;;;;;;;;;;;;;;;;;;;;;;;;
01127;Courmangoux;211,0;493,0;333,9;;21827,2;;;;;;;;;;;;;;;;;;;;;;;;
01128;Courtes;124,0;298,0;198,2;;20122,7;;;;;;;;;;;;;;;;;;;;;;;;
01129;Crans;106,0;258,5;174,3;;21818,0;;;;;;;;;;;;;;;;;;;;;;;;
01130;Cras-sur-Reyssouze;542,0;1422,0;918,3;;22052,7;;;;;;;;;;;;;;;;;;;;;;;;
01133;Cressin-Rochefort;169,0;425,5;284,5;;21430,0;;;;;;;;;;;;;;;;;;;;;;;;
01134;Crottet;701,0;1788,5;1186,2;;22227,6;;;;;;;;;;;;;;;;;;;;;;;;
01135;Crozet;680,0;1861,0;1186,1;;35840,0;;;;;;;;;;;;;;;;;;;;;;;;
01136;Cruzilles-lès-Mépillat;326,0;878,5;569,7;;22358,3;;;;;;;;;;;;;;;;;;;;;;;;
01138;Culoz;1238,0;2761,0;1903,8;14392,2;19374,7;24831,3;10439,1;10991,8;13367,8;15506,0;17571,9;21009,3;23193,3;26453,3;31257,0;2,8;3,3;0,2;66,5;4,1;60,1;2,3;32,9;8,1;5,5;2,5;1,4;1,5;-13,0
01139;Curciat-Dongalon;192,0;431,5;295,9;;18509,6;;;;;;;;;;;;;;;;;;;;;;;;
01140;Curtafond;292,0;734,0;488,0;;22447,5;;;;;;;;;;;;;;;;;;;;;;;;
01141;Cuzieu;172,0;431,0;287,7;;22660,0;;;;;;;;;;;;;;;;;;;;;;;;
01142;Dagneux;1767,0;4742,5;3059,9;17399,3;22670,0;28904,7;11505,3;13508,0;16179,6;18796,7;20842,7;24612,5;27472,8;30496,0;36543,5;2,7;3,2;0,2;81,3;2,8;75,4;3,1;21,4;9,2;4,0;2,6;0,6;0,8;-15,9
01143;Divonne-les-Bains;3702,0;8705,5;5845,2;24608,5;41976,5;66557,8;41949,3;14418,1;21084,0;27961,3;34624,4;50638,0;60962,4;73825,0;98885,4;6,9;9,1;0,4;94,5;2,7;87,9;4,0;15,9;9,6;0,8;0,3;0,2;0,2;-20,8
01144;Dommartin;350,0;898,5;587,0;;20884,0;;;;;;;;;;;;;;;;;;;;;;;;
01145;Dompierre-sur-Veyle;482,0;1191,0;794,6;;20511,7;;;;;;;;;;;;;;;;;;;;;;;;
01146;Dompierre-sur-Chalaronne;161,0;448,0;283,9;;21666,1;;;;;;;;;;;;;;;;;;;;;;;;
01147;Domsure;197,0;487,0;323,7;;18759,0;;;;;;;;;;;;;;;;;;;;;;;;
01148;Dortan;762,0;1813,5;1231,9;;21842,4;;;;;;;;;;;;;;;;;;;;;;;;
01149;Douvres;426,0;1087,0;717,9;;24665,1;;;;;;;;;;;;;;;;;;;;;;;;
01150;Drom;84,0;205,5;136,8;;23195,7;;;;;;;;;;;;;;;;;;;;;;;;
01151;Druillat;476,0;1168,0;782,1;;21930,8;;;;;;;;;;;;;;;;;;;;;;;;
01152;Échallon;301,0;764,0;504,0;;24890,5;;;;;;;;;;;;;;;;;;;;;;;;
01153;Échenevex;681,0;1937,5;1220,4;;43790,0;;;;;;;;;;;;;;;;;;;;;;;;
01154;Étrez;306,0;838,0;533,4;;20371,5;;;;;;;;;;;;;;;;;;;;;;;;
01155;Évosges;65,0;146,0;100,5;;20745,2;;;;;;;;;;;;;;;;;;;;;;;;
01156;Faramans;287,0;792,5;505,9;;23707,3;;;;;;;;;;;;;;;;;;;;;;;;
01157;Fareins;850,0;2219,0;1452,7;18765,2;24084,7;30944,6;12179,4;14677,4;17770,0;20051,0;22180,8;26881,9;29177,0;33262,5;42428,3;2,9;3,5;0,3;74,1;2,3;66,7;5,0;26,6;15,1;2,5;1,8;0,3;0,4;-18,3
01158;Farges;330,0;858,5;556,8;;35203,0;;;;;;;;;;;;;;;;;;;;;;;;
01159;Feillens;1402,0;3405,5;2291,9;16653,0;21405,0;27107,0;10454,0;13674,8;15961,2;17555,0;19484,8;23105,7;25211,6;28892,4;35102,7;2,6;3,0;0,2;75,4;2,4;68,1;4,9;25,1;11,8;3,3;2,0;0,7;0,7;-15,6
01160;Ferney-Voltaire;3278,0;7038,0;4877,0;12992,5;25595,6;45997,5;33005,0;6806,1;11061,7;14992,3;19685,3;32989,4;41369,6;51699,5;67490,7;9,9;12,9;0,4;80,8;3,1;76,1;1,6;22,8;10,6;2,3;0,8;0,8;0,7;-16,5
01163;Foissiat;821,0;2009,0;1349,3;16619,6;20855,9;26156,0;9536,4;13210,0;15611,3;17608,0;19240,0;22661,0;24908,0;27378,7;32679,3;2,5;2,9;0,2;73,4;2,6;65,4;5,5;26,9;10,3;3,7;2,3;0,6;0,8;-14,3
01165;Francheleins;553,0;1595,0;997,4;;22839,0;;;;;;;;;;;;;;;;;;;;;;;;
01166;Frans;861,0;2336,5;1519,0;20011,9;24269,7;30348,0;10336,1;15496,7;18620,6;21033,3;22742,0;26394,5;29127,0;32199,0;37562,0;2,4;2,9;0,2;79,2;2,3;72,0;4,9;24,4;10,3;2,9;1,8;0,5;0,6;-16,8
01167;Garnerans;255,0;680,0;445,0;;22036,7;;;;;;;;;;;;;;;;;;;;;;;;
01169;Genouilleux;229,0;640,5;408,7;;22943,3;;;;;;;;;;;;;;;;;;;;;;;;
01170;Béard-Géovreissiat;363,0;1079,5;675,6;;20935,0;;;;;;;;;;;;;;;;;;;;;;;;
01171;Géovreisset;321,0;947,0;603,5;;21714,0;;;;;;;;;;;;;;;;;;;;;;;;
01172;Germagnat;62,0;146,0;99,4;;18526,8;;;;;;;;;;;;;;;;;;;;;;;;
01173;Gex;4779,0;11173,5;7508,6;18885,0;31616,7;47619,2;28734,2;11626,5;16594,7;21430,6;26044,3;37133,3;43593,3;52317,3;67097,6;5,8;7,3;0,4;97,2;3,4;91,7;2,1;12,1;6,3;1,8;0,8;0,4;0,5;-17,4
01174;Giron;74,0;168,0;114,8;;22724,3;;;;;;;;;;;;;;;;;;;;;;;;
01175;Gorrevod;338,0;856,5;564,1;;19626,5;;;;;;;;;;;;;;;;;;;;;;;;
01177;Grand-Corent;78,0;179,5;122,4;;21251,7;;;;;;;;;;;;;;;;;;;;;;;;
01179;Grièges;808,0;1957,5;1316,2;;21846,0;;;;;;;;;;;;;;;;;;;;;;;;
01180;Grilly;278,0;683,5;457,3;;42628,0;;;;;;;;;;;;;;;;;;;;;;;;
01181;Groissiat;438,0;1243,5;792,5;;22832,3;;;;;;;;;;;;;;;;;;;;;;;;
01183;Guéreins;534,0;1425,0;921,1;;22960,5;;;;;;;;;;;;;;;;;;;;;;;;
01184;Hautecourt-Romanèche;345,0;805,5;547,7;;20604,5;;;;;;;;;;;;;;;;;;;;;;;;
01185;Hauteville-Lompnes;1509,0;2947,0;2146,0;15815,3;20706,0;26798,0;10982,7;12109,5;14756,0;17032,7;18943,3;22653,0;25071,7;28691,5;34636,0;2,9;3,4;0,2;64,2;2,5;57,1;4,6;36,1;9,6;5,0;1,6;1,9;1,6;-14,9
01187;Haut Valromey;299,0;666,5;463,1;;21037,3;;;;;;;;;;;;;;;;;;;;;;;;
01188;Illiat;230,0;656,5;413,7;;22048,3;;;;;;;;;;;;;;;;;;;;;;;;
01189;Injoux-Génissiat;431,0;1083,0;715,8;;25771,3;;;;;;;;;;;;;;;;;;;;;;;;
01191;Izenave;71,0;183,5;121,0;;18521,0;;;;;;;;;;;;;;;;;;;;;;;;
01192;Izernore;907,0;2274,5;1504,2;16749,2;21632,0;27022,7;10273,5;13065,6;15272,0;17723,1;19790,0;23313,5;25486,1;28247,0;33376,6;2,6;3,1;0,2;81,6;3,4;75,2;3,0;20,9;9,1;4,2;2,3;0,7;1,2;-15,8
01193;Izieu;97,0;217,5;150,9;;21047,2;;;;;;;;;;;;;;;;;;;;;;;;
01194;Jassans-Riottier;2536,0;6102,0;4108,9;16159,3;21376,3;27583,0;11423,7;12072,0;15134,2;17516,1;19487,6;23249,3;26016,0;29188,7;34917,0;2,9;3,3;0,2;73,4;3,4;66,5;3,5;28,9;8,7;4,6;2,3;1,0;1,3;-15,6
01195;Jasseron;643,0;1657,5;1083,4;;23461,3;;;;;;;;;;;;;;;;;;;;;;;;
01196;Jayat;436,0;1153,5;742,2;;20803,3;;;;;;;;;;;;;;;;;;;;;;;;
01197;Journans;152,0;363,5;245,8;;25628,5;;;;;;;;;;;;;;;;;;;;;;;;
01198;Joyeux;98,0;256,0;167,2;;22493,0;;;;;;;;;;;;;;;;;;;;;;;;
01199;Jujurieux;875,0;2028,0;1376,6;15741,6;20472,5;26274,0;10532,4;12082,1;14429,0;16746,1;18614,4;22595,0;24755,8;28276,0;34048,1;2,8;3,3;0,2;74,0;3,1;67,4;3,6;27,3;8,0;4,8;2,6;1,0;1,2;-14,1
01200;Labalme;76,0;198,5;128,4;;20399,4;;;;;;;;;;;;;;;;;;;;;;;;
01202;Lagnieu;3071,0;7097,5;4832,3;16036,0;21265,4;27277,0;11241,0;12361,3;14824,5;17072,7;19092,0;23195,2;25834,0;29265,0;34981,0;2,8;3,4;0,2;72,7;3,3;65,3;4,1;28,7;9,2;4,8;2,4;1,1;1,3;-15,4
01203;Laiz;473,0;1252,5;818,9;;21795,7;;;;;;;;;;;;;;;;;;;;;;;;
01204;Le Poizat-Lalleyriat;275,0;686,5;453,9;;23091,2;;;;;;;;;;;;;;;;;;;;;;;;
01205;Lancrans;411,0;992,0;664,7;;23904,0;;;;;;;;;;;;;;;;;;;;;;;;
01206;Lantenay;107,0;265,0;177,0;;23039,0;;;;;;;;;;;;;;;;;;;;;;;;
01207;Lapeyrouse;114,0;337,0;211,5;;24986,0;;;;;;;;;;;;;;;;;;;;;;;;
01208;Lavours;64,0;132,0;94,2;;20777,0;;;;;;;;;;;;;;;;;;;;;;;;
01209;Léaz;251,0;665,5;426,0;;28292,2;;;;;;;;;;;;;;;;;;;;;;;;
01210;Lélex;90,0;184,0;132,4;;22344,7;;;;;;;;;;;;;;;;;;;;;;;;
01211;Lent;582,0;1383,5;930,4;;21870,4;;;;;;;;;;;;;;;;;;;;;;;;
01212;Lescheroux;290,0;723,5;478,2;;19571,0;;;;;;;;;;;;;;;;;;;;;;;;
01213;Leyment;483,0;1330,5;849,3;;21758,6;;;;;;;;;;;;;;;;;;;;;;;;
01214;Leyssard;67,0;148,5;103,9;;20567,8;;;;;;;;;;;;;;;;;;;;;;;;
01216;Lhuis;352,0;808,0;552,0;;20561,0;;;;;;;;;;;;;;;;;;;;;;;;
01219;Lompnas;70,0;159,5;109,4;;15523,8;;;;;;;;;;;;;;;;;;;;;;;;
01221;Lompnieu;59,0;117,0;84,4;;22350,3;;;;;;;;;;;;;;;;;;;;;;;;
01224;Loyettes;1199,0;3209,0;2051,3;16241,7;20832,5;25742,7;9500,9;12779,2;15023,2;17260,0;19418,0;22453,9;24576,0;26887,6;31640,5;2,5;3,0;0,2;81,1;3,2;75,3;2,6;21,8;7,0;4,9;3,3;0,7;0,8;-14,8
01225;Lurcy;151,0;402,5;266,2;;25190,4;;;;;;;;;;;;;;;;;;;;;;;;
01227;Magnieu;193,0;482,0;319,5;;21902,0;;;;;;;;;;;;;;;;;;;;;;;;
01228;Maillat;253,0;634,5;425,9;;22256,1;;;;;;;;;;;;;;;;;;;;;;;;
01229;Malafretaz;476,0;1172,5;777,4;;20712,0;;;;;;;;;;;;;;;;;;;;;;;;
01230;Mantenay-Montlin;129,0;304,5;206,2;;18851,3;;;;;;;;;;;;;;;;;;;;;;;;
01231;Manziat;808,0;2056,5;1360,6;17543,8;22107,6;27087,3;9543,5;14082,0;16268,5;18386,0;20212,9;23901,4;26071,4;28545,0;33742,0;2,4;3,0;0,2;72,4;1,7;64,8;5,9;26,9;13,3;3,2;2,3;0,3;0,6;-15,8
01232;Marboz;927,0;2179,0;1479,8;16723,3;20936,3;26634,8;9911,4;13392,0;15918,7;17818,8;19297,0;22868,0;25079,3;28295,2;34141,0;2,5;3,1;0,2;68,4;2,1;61,5;4,7;32,2;10,6;3,9;2,2;1,0;0,8;-15,1
