CODGEO;LIBGEO;NBMEN16;NBPERS16;NBUC16;Q116;Q216;Q316;Q3_Q1;D116;D216;D316;D416;D616;D716;D816;D916;RD;S80S2016;GI16;PACT16;PTSA16;PCHO16;PBEN16;PPEN16;PPAT16;PPSOC16;PPFAM16;PPMINI16;PPLOGT16;PIMPOT16
35297;Saint-Méen-le-Grand;1895;4188;2899,7;15011;19280;23534;8523;11538;14173;15920;17747;20827;22535;24969;29508;2,6;2,955;0,210;64,7;57,5;3,1;4,0;34,2;8,0;6,4;2,9;2,0;1,5;-13,3
35299;Saint-Méloir-des-Ondes;1793;4246;2871,4;16821;21203;26530;9709;12919;15804;17716;19308;22877;25158;28125;33953;2,6;3,199;0,232;74,1;63,4;3,0;7,7;27,4;10,4;4,0;2,2;1,0;0,8;-15,9
35300;Saint-M'Hervé;535;1393;908,3;;19651;;;;;;;;;;;;;;;;;;;;;;;;
35301;Saint-M'Hervon;208;610;376,2;;21472;;;;;;;;;;;;;;;;;;;;;;;;
35302;Saint-Onen-la-Chapelle;415;1084;709,2;;20207;;;;;;;;;;;;;;;;;;;;;;;;
35303;Saint-Ouen-la-Rouërie;356;850;570,0;;17720;;;;;;;;;;;;;;;;;;;;;;;;
35304;Saint-Ouen-des-Alleux;519;1352;877,7;;20450;;;;;;;;;;;;;;;;;;;;;;;;
35305;Saint-Péran;156;398;257,1;;22104;;;;;;;;;;;;;;;;;;;;;;;;
35306;Saint-Père;901;2284;1519,7;17826;22395;28721;10895;13559;16743;18764;20448;24135;26895;30325;36283;2,7;3,087;0,224;79,9;68,8;3,3;7,8;22,9;9,6;3,5;2,0;0,9;0,6;-15,9
35307;Saint-Pern;326;918;578,6;;19846;;;;;;;;;;;;;;;;;;;;;;;;
35308;Saint-Pierre-de-Plesguen;1207;2920;1944,8;15976;20073;24593;8618;11886;14790;16881;18704;21734;23734;26083;31255;2,6;3,038;0,218;72,9;67,1;2,4;3,4;26,8;7,9;5,5;3,0;1,5;1,0;-13,1
