codgeo;libgeo;an;p_licsport014_f
200040889;CC de Portes Sud Périgord;2018;36,40
200040905;CC Carmausin-Ségala;2018;40,70
200040947;CC de Flandre Intérieure;2018;39,80
200040954;CC des Hauts de Flandre;2018;37,90
200041010;CC Cœur de Savoie;2018;42,20
200041051;CC Vallée de la Dordogne et Forêt Bessède;2018;40,50
200041150;CC du Terrassonnais en Périgord Noir Thenon Hautefort;2018;41,40
200041168;CC de la Vallée de l'Homme;2018;38,50
200041283;CC de la Plaine du Rhin;2018;41,60
200041317;CA du Niortais;2018;41,10
200041325;CC du Pays Rhénan;2018;44,70
200041333;CC de Parthenay-Gâtine;2018;41,60
200041366;CC Rhône Crussol;2018;35,20
200041416;CC Airvaudais-Val du Thouet;2018;42,10
200041440;CC de Domme-Villefranche du Périgord;2018;39,60
200041465;CC Val Eyrieux;2018;36,80
200041499;CC Aunis Atlantique;2018;40,10
200041507;CA La Riviera du Levant;2018;37,50
200041515;CC du Bassin de Pont-à-Mousson;2018;44,20
200041523;CC de la Haute-Saintonge;2018;42,40
200041556;CC Portes de la Creuse en Marche;2018;42,70
200041572;CC Dronne et Belle;2018;41,50
200041614;CC Aunis Sud;2018;37,30
200041622;CC Ardennes Thiérache;2018;41,80
200041630;CA Ardenne Métropole;2018;43,70
200041689;CC des Vals de Saintonge Communauté;2018;40,80
200041721;CC de la Haute Comté;2018;39,30
200041762;CA Rochefort Océan;2018;39,10
200041788;CA du Pays Nord Martinique;2018;35,30
200041853;CC du Pays de Montbozon et du Chanois;2018;41,70
200041861;CC du Triangle Vert;2018;41,20
200041879;CC Terres de Saône;2018;41,90
200041887;CC du Val Marnaysien;2018;42,00
200041960;CC Pévèle-Carembault;2018;37,20
200041994;CC Haut Val de Sèvre;2018;44,40
200042000;CC Bruyères-Vallons des Vosges;2018;42,60
200042174;CA Lorient Agglomération;2018;41,20
200042182;CC du Mont des Avaloirs;2018;41,60
200042190;CA de la Porte du Hainaut;2018;35,20
200042372;CC des Coteaux Arrats Gimone;2018;35,80
200042414;CC Bresse Revermont 71;2018;40,60
200042463;CC de la Montagne Noire;2018;42,20
200042497;CC Dombes Saône Vallée;2018;41,40
200042604;CC de Granville, Terre et Mer;2018;43,80
200042620;CC de la Région de Suippes;2018;38,90
200042646;CC Grand Orb;2018;35,40
200042653;CC Sud-Hérault;2018;39,60
200042703;CC de l'Argonne Champenoise;2018;48,50
200042729;CC de la Baie du Cotentin;2018;45,10
200042901;CC Drôme Sud Provence;2018;42,80
200042935;CA Haut - Bugey Agglomération;2018;40,20
200042943;CC du Cap Corse;2018;39,90
200042992;CC Perthois-Bocage et Der;2018;37,90
200043016;CC Val de Charente;2018;38,60
200043065;CC du Val d'Amboise;2018;40,40
200043081;CC Chinon, Vienne et Loire;2018;41,40
200043123;CC Auray Quiberon Terre Atlantique;2018;40,70
200043156;CC du Pays Rethélois;2018;42,60
200043172;CA du Bassin de Brive;2018;39,60
200043263;CC Cœur de l'Avesnois;2018;40,70
200043321;CC du Pays de Mormal;2018;37,00
200043354;CC de Villedieu Intercom;2018;36,60
200043396;CA Maubeuge Val de Sambre;2018;38,50
200043404;CC du Sud Avesnois;2018;43,10
200043438;CC de la Moivre à la Coole;2018;41,90
200043495;CA du Pays de Laon;2018;39,80
200043602;CC des Albères, de la Côte Vermeille et de l'Illibéris;2018;36,00
200043628;CC des Vallées du Clain;2018;39,40
200043693;CC Terre Lorraine du Longuyonnais;2018;40,50
200043776;CC Pyrénées Audoises;2018;41,90
200043974;CC du Sud Gironde;2018;41,00
200043982;CC du Bazadais;2018;42,70
200043990;CC Vallons de Haute-Bretagne Communauté;2018;39,60
200044014;CC Creuse Grand Sud;2018;37,20
200044030;CC des Sept Vallées;2018;35,30
200044048;CC Osartis Marquion;2018;39,50
200044253;CC du Bassin de Joinville en Champagne;2018;44,30
200044394;CC du Réolais en Sud Gironde;2018;37,10
200044469;CC du Pays de Mirepoix;2018;37,90
200044618;CA Douaisis Agglo;2018;38,50
200044691;CA du Nord Grande Terre;2018;37,50
200046977;Métropole de Lyon;2018;39,30
200048551;CC du Pays de Craon;2018;41,00
200049187;CA du Grand Verdun;2018;45,00
200049211;CC Conflent-Canigó;2018;43,90
200049484;CC Berry Grand Sud;2018;42,80
200050532;CC de Petite-Terre;2018;44,20
200054781;Métropole du Grand Paris;2018;37,60
200054807;Métropole d'Aix-Marseille-Provence;2018;39,10
200055481;CC Beauce Val de Loire;2018;38,70
200055655;CA Roissy Pays de France;2018;39,30
200055887;CC Mayenne Communauté;2018;41,20
200056232;CA Communauté Paris-Saclay;2018;40,10
200056380;CA Plaine Vallée;2018;36,00
200057859;CA Cœur d'Essonne Agglomération;2018;42,00
200057958;CA Paris - Vallée de la Marne;2018;38,80
200058360;CC Entre Beauce et Perche;2018;42,00
200058477;CA Val d'Yerres Val de Seine;2018;43,40
200058485;CA Val Parisis;2018;40,20
200058519;CA Saint-Germain Boucles de Seine;2018;37,80
200058782;CA de Saint-Quentin-en-Yvelines;2018;40,50
200059228;CA Grand Paris Sud Seine Essonne Sénart;2018;40,70
200059392;CC Bièvre Isère;2018;37,40
200059400;CC Porte Océane du Limousin;2018;43,00
200059871;CC du Centre-Ouest;2018;34,10
200059889;CU Grand Paris Seine et Oise;2018;38,20
200060010;CA Mauges Communauté;2018;37,80
200060457;CA Dembeni-Mamoudzou;2018;42,80
200060465;CA du Grand Nord de Mayotte;2018;15,70
200060473;CC du Sud;2018;37,10
200065563;CC Normandie-Cabourg-Pays d'Auge;2018;37,90
200065589;CC Val ès Dunes;2018;43,30
200065597;CU Caen la Mer;2018;36,80
200065647;CA Pays de Montbéliard Agglomération;2018;41,00
200065787;CC de Pont-Audemer / Val de Risle;2018;45,30
200065886;CA Loire Forez Agglomération;2018;39,80
200065894;CC de Forez-Est;2018;41,90
