codgeo;libgeo;an;p_licsport014_f
01353;Sainte-Euphémie;2018;38,90
01354;Saint-Genis-Pouilly;2018;45,20
01355;Saint-Genis-sur-Menthon;2018;34,40
01356;Saint-Georges-sur-Renon;2018;31,20
01357;Saint-Germain-de-Joux;2018;45,60
01358;Saint-Germain-les-Paroisses;2018;60,00
01359;Saint-Germain-sur-Renon;2018;33,30
01360;Saint-Jean-de-Gonville;2018;42,40
01361;Saint-Jean-de-Niost;2018;50,40
01362;Saint-Jean-de-Thurigneux;2018;39,40
01363;Saint-Jean-le-Vieux;2018;44,10
01364;Saint-Jean-sur-Reyssouze;2018;26,50
01365;Saint-Jean-sur-Veyle;2018;39,00
01366;Sainte-Julie;2018;26,70
01367;Saint-Julien-sur-Reyssouze;2018;49,30
01368;Saint-Julien-sur-Veyle;2018;47,30
01369;Saint-Just;2018;44,10
01370;Saint-Laurent-sur-Saône;2018;46,80
01371;Saint-Marcel;2018;32,90
01372;Saint-Martin-de-Bavel;2018;46,50
01373;Saint-Martin-du-Frêne;2018;47,50
01374;Saint-Martin-du-Mont;2018;37,30
01375;Saint-Martin-le-Châtel;2018;42,30
01376;Saint-Maurice-de-Beynost;2018;25,70
01378;Saint-Maurice-de-Gourdans;2018;33,30
01379;Saint-Maurice-de-Rémens;2018;33,30
01380;Saint-Nizier-le-Bouchoux;2018;32,00
01381;Saint-Nizier-le-Désert;2018;29,90
01382;Sainte-Olive;2018;48,30
01383;Saint-Paul-de-Varax;2018;26,70
01384;Saint-Rambert-en-Bugey;2018;43,60
01385;Saint-Rémy;2018;42,90
01386;Saint-Sorlin-en-Bugey;2018;36,70
01387;Saint-Sulpice;2018;63,00
01388;Saint-Trivier-de-Courtes;2018;46,30
01389;Saint-Trivier-sur-Moignans;2018;36,90
01390;Saint-Vulbas;2018;37,80
01391;Salavre;2018;46,20
01392;Samognat;2018;39,40
01393;Sandrans;2018;44,80
01396;Sault-Brénaz;2018;20,00
01397;Sauverny;2018;43,80
01398;Savigneux;2018;44,40
01399;Ségny;2018;38,30
01400;Seillonnaz;2018;57,10
01401;Sergy;2018;40,20
01402;Sermoyer;2018;27,80
01403;Serrières-de-Briord;2018;20,60
01404;Serrières-sur-Ain;2018;0,00
01405;Servas;2018;45,20
01406;Servignat;2018;60,00
01407;Seyssel;2018;38,00
01408;Simandre-sur-Suran;2018;34,60
01410;Sonthonnax-la-Montagne;2018;53,10
01411;Souclin;2018;36,40
01412;Sulignat;2018;36,40
01415;Talissieu;2018;33,30
01416;Tenay;2018;35,00
01418;Thil;2018;39,30
01419;Thoiry;2018;49,70
01420;Thoissey;2018;42,70
01421;Torcieu;2018;31,10
01422;Tossiat;2018;39,30
01423;Toussieux;2018;46,90
01424;Tramoyes;2018;37,90
01425;La Tranclière;2018;23,50
01426;Val-Revermont;2018;38,50
01427;Trévoux;2018;43,10
01428;Valeins;2018;62,50
01429;Vandeins;2018;51,10
01430;Varambon;2018;38,70
01431;Vaux-en-Bugey;2018;37,30
01432;Verjon;2018;40,90
01433;Vernoux;2018;25,00
01434;Versailleux;2018;45,50
01435;Versonnex;2018;40,90
01436;Vesancy;2018;53,30
01437;Vescours;2018;8,30
01439;Vésines;2018;23,10
01441;Vieu-d'Izenave;2018;39,80
01443;Villars-les-Dombes;2018;37,20
01444;Villebois;2018;34,60
01445;Villemotier;2018;46,70
01446;Villeneuve;2018;38,00
01447;Villereversure;2018;40,20
01448;Villes;2018;46,20
01449;Villette-sur-Ain;2018;22,60
01450;Villieu-Loyes-Mollon;2018;37,00
01451;Viriat;2018;40,90
01452;Virieu-le-Grand;2018;50,40
01453;Arvière-en-Valromey;2018;41,70
01454;Virignin;2018;49,40
01456;Vongnes;2018;66,70
01457;Vonnas;2018;42,10
02001;Abbécourt;2018;50,00
02002;Achery;2018;52,10
02003;Acy;2018;44,00
02004;Agnicourt-et-Séchelles;2018;12,50
02005;Aguilcourt;2018;48,00
02006;Aisonville-et-Bernoville;2018;55,60
02007;Aizelles;2018;50,00
02008;Aizy-Jouy;2018;27,30
02009;Alaincourt;2018;42,40
02010;Allemant;2018;20,00
02011;Ambleny;2018;42,60
02012;Ambrief;2018;42,90
02013;Amifontaine;2018;35,00
02014;Amigny-Rouy;2018;31,60
02015;Ancienville;2018;66,70
02016;Andelain;2018;40,00
02017;Anguilcourt-le-Sart;2018;45,50
02018;Anizy-le-Grand;2018;32,70
02019;Annois;2018;50,00
02020;Any-Martin-Rieux;2018;56,70
02021;Archon;2018;75,00
02022;Arcy-Sainte-Restitue;2018;31,60
02023;Armentières-sur-Ourcq;2018;25,00
02024;Arrancy;2018;100,00
