codgeo;disp_q1_a17;disp_q2_a17;disp_q3_a17;disp_q1q3q2_a17;disp_d1_a17;disp_d2_a17;disp_d3_a17;disp_d4_a17;disp_d6_a17;disp_d7_a17;disp_d8_a17;disp_d9_a17;disp_d1d9_a17;disp_gini_a17;disp_s80s20_a17;disp_pact_a17;disp_pcho_a17;disp_ppen_a17;disp_ppat_a17;disp_ppsoc_a17;disp_ppfam_a17;disp_ppmini_a17;disp_pplogt_a17;disp_pimpot_a17;tp60_a17;note
QP003004;10760;14160;18640;0,6;8330;9790;11400;12770;15760;17570;20220;24040;2,9;0,241;3,436;45,3;4,7;38,6;7,2;21,1;4,1;10,5;6,5;-12,2;39,1;0
QP003005;9800;12550;16430;0,5;8600;9160;10460;11860;13960;15340;17240;19980;2,3;0,207;2,888;38,6;5,7;32,9;3,4;31,1;5;16,6;9,5;-6;51,3;0
QP003006;9190;11460;14940;0,5;7530;8600;9630;10290;12290;14210;16680;19190;2,6;0,219;2,973;36,7;5;25,9;2,8;40,2;9,2;19,3;11,7;-5,6;61,4;0
QP004001;10460;13460;19030;0,6;8250;9760;11050;12370;15040;17480;20590;25060;3;0,26;3,681;52,1;5,1;29,8;6,7;21,4;3,2;11,6;6,6;-10;42;0
QP004002;10920;14510;19330;0,6;8280;9990;11810;12970;16240;18050;20820;25310;3,1;0,264;3,919;56,9;5,7;30,8;7;16,2;3,3;8;4,9;-10,9;37,3;0
QP004003;10260;12720;17200;0,5;7590;9920;10900;11880;14370;15890;18910;23480;3,1;0,253;3,651;45,8;6,8;35,3;6,4;21,9;7;8,7;6,2;-9,4;49,3;0
QP005001;10800;14290;19980;0,6;8930;10320;11260;12650;16470;19080;21590;25940;2,9;0,253;3,422;52,6;4,6;33,5;5,9;18,2;5,7;7,5;5;-10,2;40,5;0
QP006001;10740;14110;18210;0,5;8760;10040;11550;12560;15280;16950;19570;23100;2,6;0,211;2,904;51,3;5,5;28,2;2,1;25,9;5,7;12,2;8;-7,5;40,8;0
QP006002;11150;14470;18780;0,5;8500;10420;11780;12970;16000;17780;19980;23730;2,8;0,244;3,469;65,2;6,8;22,7;5,7;16,8;3,9;8,2;4,7;-10,4;37,3;0
QP006003;11590;14820;18830;0,5;9280;11010;12370;13430;16200;17780;20150;23370;2,5;0,203;2,8;62,4;6,9;25,7;2,2;18,3;5,4;7,5;5,4;-8,6;32,6;0
QP006004;12310;15350;19610;0,5;9380;11660;12940;13910;16850;18540;20650;23660;2,5;0,201;2,808;58,9;6,2;29,7;2,9;17,3;5,5;6,6;5,2;-8,8;27,6;0
QP006005;10940;14530;19430;0,6;7980;10150;11640;12970;16310;18370;21050;25350;3,2;0,256;3,77;70,5;6,1;17,8;4,2;18,1;4,7;7,8;5,6;-10,6;37,8;0
QP006006;11100;13420;17090;0,4;8700;10640;11640;12540;14780;16210;18000;21070;2,4;0,197;2,708;58,1;8;22,5;1,7;24,8;7,4;9,6;7,8;-7,1;42,9;0
QP006007;11450;14740;19040;0,5;8870;10730;12090;13670;16100;17760;19920;23800;2,7;0,215;2,943;69,1;5;19,3;2,2;18,8;8,1;6,4;4,3;-9,4;34,5;0
QP006008;11740;15380;18780;0,5;9380;11220;12360;13880;16570;17890;20180;23530;2,5;0,2;2,742;64,4;5,7;22,8;1,9;19,4;6,8;7,1;5,5;-8,5;31,4;0
QP006009;7490;10720;12140;0,4;4840;6570;8510;9550;11320;11760;12520;15460;3,2;0,22;3,532;7,5;3,2;34,2;1,3;58,4;;;19,2;-1,4;81;0
QP006010;10150;13050;16630;0,5;8000;9580;10680;11840;14440;15700;17570;20400;2,6;0,208;2,888;53,1;6,5;22,5;1,8;29,6;8,1;13,1;8,4;-7;46,5;0
QP006011;10060;13000;17540;0,6;7590;9480;10700;11460;14690;16360;18460;22450;3;0,237;3,328;48;5,2;30,6;3,3;25,6;4,3;13,9;7,4;-7,5;48,2;0
QP006012;11020;15160;20530;0,6;7970;10320;11800;13390;16810;19200;22360;27980;3,5;0,292;4,508;62,9;5,1;25,4;9,9;15,3;2,9;7,9;4,5;-13,5;35,2;0
QP006013;10530;13690;17700;0,5;8460;9830;11180;12440;15120;16650;18880;22340;2,6;0,217;3,021;58;6;20,4;2,6;27,3;7,6;12,3;7,4;-8,3;41,8;0
QP006014;10140;13180;17060;0,5;7950;9470;10800;12050;14520;16140;18180;21280;2,7;0,219;3,102;55,4;6,2;22,6;2,6;27,1;9,8;10,5;6,8;-7,7;45,3;0
QP006015;11650;15420;21090;0,6;8430;10590;12510;14040;17280;19790;22380;26880;3,2;0,254;3,713;72,7;5;18,5;4,2;16,2;3,9;7,5;4,8;-11,6;31,6;0
QP006016;10440;14230;20400;0,7;7180;9660;11290;12500;16310;18780;22570;27770;3,9;0,294;4,655;65,2;5;26,8;6,2;13,9;2,5;7,3;4,1;-12,1;41,4;0
QP007001;10120;12760;16780;0,5;7660;9390;10620;11700;13940;15540;17910;22090;2,9;0,256;3,656;48,4;7;30,5;6,8;23,7;5,5;10,5;7,7;-9,4;49,2;0
QP007002;10540;13900;18210;0,6;7760;9750;11200;12600;15730;17190;19270;22960;3;0,241;3,624;55,2;5,9;29,5;6,2;18,6;4,2;9;5,4;-9,5;41,1;0
QP007003;9340;12530;17110;0,6;7490;8990;10180;11330;14050;15820;19170;23340;3,1;0,263;3,709;51,2;7,1;28,2;5,7;23,7;6,9;9,9;6,9;-8,8;50,6;0
QP007004;9940;12560;16900;0,6;8060;9390;10360;11530;14210;16010;17920;20830;2,6;0,236;3,258;57,9;8,1;21,2;3,9;25,2;7,4;10,3;7,5;-8,2;50,6;0
QP007005;10290;12860;17060;0,5;8690;9840;10600;11530;14160;15950;18020;21590;2,5;0,22;2,985;43,2;4,6;32,1;3,8;28,7;7,1;13,6;8;-7,8;48;0
QP008001;9600;12710;16430;0,5;8030;9070;10230;11490;13910;15450;17720;21140;2,6;0,217;2,923;42,4;5,6;32,8;2,2;29,5;6;14,1;9,4;-6,9;49,5;0
QP008002;9220;11560;15150;0,5;7740;8860;9720;10650;12700;14150;16090;19030;2,5;0,212;2,911;39,6;5,1;28,5;2,6;35,4;8,3;16,7;10,4;-6,1;59,9;0
QP008003;9630;12500;16410;0,5;8300;9020;10230;11390;13670;15240;17560;20230;2,4;0,212;2,855;45,6;5,1;28;2,6;30,7;5,8;15,1;9,8;-6,9;52,4;0
QP008004;10080;13690;18290;0,6;8070;9320;10720;12210;15380;17190;19500;24210;3;0,26;3,558;57,1;5;26,3;3,9;23,3;4,9;11;7,4;-10,6;42,1;0
QP008005;10560;13460;17030;0,5;8710;9860;11210;12130;14640;15980;18140;20840;2,4;0,205;2,733;49,7;5,5;27,6;3,4;27,4;7,4;12,4;7,6;-8,1;44,3;0
QP008006;10690;14310;19200;0,6;8970;10180;11710;12950;16320;18350;21040;26820;3;0,27;3,767;55,6;4,6;28,2;7,8;19,5;3,1;10,3;6,1;-11,1;37,1;0
QP008007;9670;12560;16280;0,5;8100;9070;10190;11360;13850;15440;17340;20840;2,6;0,224;3,035;47,4;6,5;25,8;3,4;31;5,5;15,7;9,8;-7,6;51;0
QP008008;9880;13380;18760;0,7;7900;9000;10620;11870;15060;17150;20150;24940;3,2;0,27;3,743;55,2;5;27,1;5,8;21,9;4,4;10,9;6,6;-10;44,8;0
QP009001;10400;14140;18990;0,6;7740;9510;11270;12650;15710;17910;20050;25380;3,3;0,275;4,108;53,1;5,4;27,7;7,9;21,9;1,6;13,1;7,2;-10,6;40,1;0
QP009002;10280;14120;18660;0,6;7650;9260;11180;12390;15800;17900;20330;27410;3,6;0,331;5,414;57,1;4,9;30;7,1;17,7;1,5;9,8;6,4;-11,9;41,4;0
QP009003;10340;13540;18300;0,6;8170;9670;11020;12340;15030;17050;19480;24570;3;0,261;3,718;52,4;5,3;28,7;6,2;22,6;3,8;11,4;7,4;-9,9;42,7;0
QP010001;11090;14070;18800;0,5;9160;10540;11550;12640;15850;17500;20420;25240;2,8;0,263;3,633;62;5,8;21,3;3,8;24,3;7;9,4;7,9;-11,4;40,1;0
QP010002;10850;13790;18020;0,5;8750;10280;11380;12600;15260;17100;18790;21920;2,5;0,217;2,989;58,9;6,8;22,4;3;24,4;5,3;10,8;8,3;-8,7;40,6;0
QP010003;10200;12620;15970;0,5;8360;9660;10550;11560;13700;15130;17010;20010;2,4;0,2;2,723;49,4;7,3;25,6;1,9;29,7;8,4;12,3;9;-6,6;50,4;0
QP010004;10960;13180;16280;0,4;8840;10190;11380;12290;14240;15200;17280;20160;2,3;0,184;2,512;56,7;7,9;15,5;1,6;33;10,6;12,5;9,9;-6,8;45,4;0
QP010005;9940;12620;16970;0,6;8060;9490;10270;11300;13950;16080;17990;21310;2,6;0,253;3,511;49,7;6,7;25,2;3,2;30,7;8,1;12,3;10,3;-8,8;50,5;0
QP010006;9150;11710;15370;0,5;7260;8700;9530;10520;12930;14270;16470;19270;2,7;0,232;3,267;44,8;6,6;26,1;2;33,5;8,5;15;10;-6,4;58,1;0
QP010007;9140;11150;14550;0,5;7410;8370;9570;10390;12190;13500;15250;17880;2,4;0,217;3,034;40,6;6,2;25,3;2,4;37,2;9,8;17,4;10;-5,5;63,4;0
QP010008;9170;11750;14670;0,5;7340;8560;9520;10690;12730;14050;15570;18560;2,5;0,211;2,904;47,4;7,1;16;1,5;41;9,2;19,3;12,5;-5,9;59,3;0
QP010009;9770;12380;15320;0,4;8090;9190;10200;11880;13360;14490;16440;18510;2,3;0,202;2,814;46,3;7,3;17,1;1,4;40,4;11,2;17;12,2;-5,2;52,4;0
QP010010;9510;12320;15260;0,5;7620;9000;10080;11250;13310;14480;16040;19500;2,6;0,223;3,056;49,6;7,5;23,5;2,8;31,3;6,1;14,5;10,7;-7,2;54;0
QP011001;10660;13960;18490;0,6;8460;9960;11100;12590;15510;17380;20110;24720;2,9;0,271;3,785;49,2;5,3;33,2;6,2;22,1;2,7;12,4;7;-10,7;40,6;0
QP011002;9320;11680;15160;0,5;7500;8900;9720;10870;12650;14080;16390;20030;2,7;0,243;3,396;44,5;6,8;23;3,5;36,5;10,1;16,3;10,1;-7,5;60,1;0
QP011003;8850;11230;13870;0,4;7020;8350;9140;10120;12020;12880;14880;18550;2,6;0,225;3,2;35,6;5,6;24,4;2,3;43;8,7;21,5;12,8;-5,3;65,9;0
QP011004;10220;14000;19880;0,7;8310;9720;11110;12590;15910;18060;21910;29320;3,5;0,315;4,76;59,6;5,3;25;7,9;21;2,5;11,7;6,8;-13,5;40,5;0
QP011005;9800;12700;16570;0,5;7280;8940;10310;11350;13660;15570;18060;23010;3,2;0,245;3,552;41,4;6,6;32,2;3,6;30,6;6,4;15,1;9,1;-7,8;49,8;0
QP011006;10260;12820;16940;0,5;8600;9850;10650;11440;14080;15780;18160;23290;2,7;0,231;2,964;47,3;6;28,3;3,1;29,7;7,3;13,6;8,8;-8,4;49;0
QP011007;9650;12220;15790;0,5;7960;9010;10220;11200;13350;14840;17200;20830;2,6;0,229;3,085;41,8;5,5;29,2;4,8;32;7,2;15,3;9,5;-7,8;54,2;0
QP011008;10080;13390;18110;0,6;7810;9460;10760;12060;14760;16840;19630;24950;3,2;0,281;4,115;53,7;6,8;24,6;6,9;25,1;3;13,9;8,2;-10,3;44,1;0
QP011009;9570;11910;15160;0,5;7400;8790;9900;10860;12860;14210;16120;20120;2,7;0,223;3,079;42,5;6,3;24,6;2,7;36,3;8;17,8;10,5;-6,1;56,7;0
QP011010;10120;13680;18790;0,6;7540;9370;10780;12300;15040;17380;20440;25490;3,4;0,287;4,315;43;5;36,4;8,4;22,8;4,2;12,2;6,4;-10,6;42,4;0
QP012001;10620;13030;16410;0,4;8630;9960;11110;12110;14160;15630;17740;19870;2,3;0,196;2,669;58,1;7,4;24,8;2;22,7;7,3;9,5;5,9;-7,6;46;0
QP012002;9690;12730;16480;0,5;6820;9100;10330;11640;14100;15590;17700;21200;3,1;0,278;4,363;52,5;5,1;26,8;6,2;24;4,4;12,3;7,3;-9,5;49,1;0
QP013001;9120;11730;16010;0,6;6160;8590;9520;10330;13260;14720;16940;21350;3,5;0,261;3,928;49,3;6,2;20,5;3,3;33,4;7,8;16,4;9,2;-6,5;57,5;0
QP013002;12000;15030;18560;0,4;9590;11460;12570;13700;16340;17490;20120;24540;2,6;0,205;2,797;60;6,8;23;2,3;22;4,5;10,8;6,7;-7,3;31;0
QP013003;11130;14440;19000;0,5;8830;10340;11770;13070;15670;17880;19910;23200;2,6;0,221;3,009;59,4;6,3;24,2;3,3;22,9;6,7;9,5;6,7;-9,8;37,3;0
QP013004;12770;15790;20090;0,5;10120;12020;13360;14630;17330;19430;20790;23910;2,4;0,189;2,581;75,4;6,8;15,3;1,8;16,7;6,9;4,6;5,2;-9,2;23,7;0
QP013005;9930;12630;16150;0,5;8180;9430;10600;11650;13740;15270;17330;20720;2,5;0,228;3,145;50,4;6,2;23,5;2;31,9;9,2;13,5;9,2;-7,8;50,2;0
QP013006;10830;14170;18260;0,5;8550;10300;11380;12600;15520;17020;19270;22990;2,7;0,225;3,113;63,6;7,1;22,9;2,6;19,5;6;7,2;6,3;-8,6;41;0
QP013007;9620;12110;16420;0,6;8070;9260;9950;10960;13440;14980;17240;20410;2,5;0,215;2,894;55,6;7,2;16,3;1,2;33,5;9,4;14,4;9,7;-6,6;54,2;0
QP013008;10240;13070;16800;0,5;8600;9920;10800;12280;14600;15970;17800;21700;2,5;0,211;2,809;50,8;5,7;22,6;1,9;32,1;7,9;14,7;9,5;-7,4;42,7;0
QP013009;11100;14470;19310;0,6;8530;10540;11720;13120;16100;17950;21060;23920;2,8;0,236;3,349;66,6;5,3;21,8;3,8;18,7;4,2;8,3;6,2;-10,9;36,3;0
QP013010;9840;12500;15850;0,5;8050;9390;10540;11550;13430;14770;16880;19680;2,4;0,202;2,786;45;6,6;30,3;2,1;29;7;12,7;9,3;-6,4;52,5;0
QP013011;10110;12490;16130;0,5;8160;9540;10800;11630;13590;14970;17120;20000;2,5;0,201;2,76;51,9;7,6;24,3;2,2;28,6;8,4;11,1;9,1;-7;52;0
QP013012;10190;12930;17120;0,5;8360;9740;10530;11650;14160;15690;18400;21190;2,5;0,213;2,853;54,4;6,2;23,6;2,3;27;7,2;11,3;8,5;-7,3;47,6;0
QP013013;9380;12580;17100;0,6;6420;8690;9980;11080;14120;15850;18680;23290;3,6;0,293;4,563;60,6;7,5;24,3;7,1;18;4,9;7,8;5,3;-10;50,7;0
QP013014;11190;14400;18570;0,5;8920;10470;11990;13230;15890;17730;19690;23030;2,6;0,21;2,925;60,1;5,5;25,4;2,4;20,8;5,7;8,9;6,2;-8,7;35,8;0
QP013015;10350;12780;16260;0,5;8650;9810;10840;11680;13980;15190;17420;20500;2,4;0,198;2,617;53,7;5,7;21,7;2,4;29,3;6,2;14,2;8,9;-7,1;47,4;0
QP013016;11010;13940;18050;0,5;8730;10330;11660;12800;15320;17270;19490;22700;2,6;0,213;2,96;53,2;5,9;31,4;2,7;20,9;5,4;9,4;6,1;-8,2;39,2;0
QP013017;9570;12810;16310;0,5;8040;9100;10050;11710;14140;15320;17300;20150;2,5;0,22;2,981;52,7;6,1;26,5;2,5;25,5;7,1;11,1;7,3;-7,2;48;0
QP013018;10840;13690;17280;0,5;8740;10210;11490;12570;14910;16320;18490;21710;2,5;0,201;2,763;59,3;7,2;18,6;1,8;27,3;8,9;10,2;8,2;-7;40,6;0
QP013019;11820;14300;18240;0,4;9360;11060;12180;13350;15970;17690;19120;22870;2,4;0,188;2,572;69,2;7,8;13,8;1,4;23,6;8,4;7,7;7,5;-8;33,8;0
QP013020;10930;13930;17780;0,5;8880;10490;11310;12690;15130;16650;18680;21470;2,4;0,193;2,624;53,5;5,7;30;2;21,9;6,2;9,2;6,5;-7,4;39,6;0
QP013021;10250;13090;16880;0,5;8300;9730;10650;11950;14620;15950;18220;21790;2,6;0,209;2,856;51,8;5,8;23,8;2,5;28,7;8,5;11,7;8,5;-6,8;44,9;0
QP013022;10410;13090;16650;0,5;8550;9990;10860;11940;14250;15790;17550;20580;2,4;0,206;2,805;55,5;6,7;21,3;1,9;28,3;8,1;11,8;8,4;-7;46,1;0
QP013023;10590;13860;17750;0,5;8590;10130;11340;12360;15300;16890;18840;21380;2,5;0,202;2,743;61,4;7,8;20,4;1,5;24,5;6,8;10;7,7;-7,8;42,8;0
QP013024;10900;14040;17890;0,5;8630;10220;11590;12570;15250;16820;19310;22480;2,6;0,244;3,282;52,2;5,3;24,3;5,9;25,9;7,5;11,2;7,2;-8,3;41,2;0
QP013025;11360;14590;19220;0,5;8740;10600;11920;13240;16000;17850;20570;23660;2,7;0,216;2,989;52,3;5,4;34,4;3;18,6;4,2;9;5,4;-8,3;35,5;0
QP013026;11400;15700;20040;0,6;8750;10320;12420;14430;17390;19330;21390;25780;2,9;0,24;3,439;72,5;7,4;21,1;5,8;11,7;2,3;6,1;3,3;-11,1;30,9;0
QP013027;10150;14720;19580;0,6;7470;9740;11180;12690;16420;18200;20830;23580;3,2;0,252;3,616;66,5;7,1;22,8;5,6;14,8;4,4;6,4;4;-9,7;39,9;0
QP013028;11040;13920;17610;0,5;8940;10430;11490;12730;15140;17030;18750;21500;2,4;0,205;2,795;64,7;8;20,8;2,8;19,2;7,4;6,2;5,6;-7,5;39,3;0
QP013029;10090;12520;15770;0,5;8280;9580;10640;11690;13520;14980;16720;19450;2,4;0,198;2,71;52,7;7,6;21,5;1,5;30,6;9,9;11,2;9,5;-6,3;51,8;0
QP013030;11430;14930;18940;0,5;8800;10480;12210;13410;16160;17830;20260;23650;2,7;0,219;3,103;64,1;6,7;24,4;2,6;18,1;5,2;7;5,9;-9,2;33,7;0
QP013031;10360;13980;18170;0,6;7480;9370;11150;12420;15550;17220;19320;22580;3;0,238;3,489;62,4;6,2;22,3;3,7;20,8;6;8,2;6,6;-9,2;41,9;0
QP013032;9330;12490;17610;0,7;6780;8740;10000;11200;14040;16190;19390;24710;3,6;0,298;4,684;61,5;6,3;20,2;4,9;24,8;5,5;11,8;7,5;-11,4;51,3;0
QP013033;10920;14280;18430;0,5;8360;10000;11560;12970;15670;17290;19620;23690;2,8;0,225;3,156;60,2;6,1;26,6;3,6;19,8;5,4;8,6;5,8;-10,2;37;0
QP013034;10700;14100;19370;0,6;8730;10240;11420;12460;16050;18320;21390;28080;3,2;0,266;3,626;70,6;5,7;15,2;3,3;23,5;6,8;10,1;6,6;-12,6;42,2;0
QP013035;10330;12850;16700;0,5;8050;9710;10960;11870;13960;16010;17800;21110;2,6;0,221;3,079;54,1;6,5;23;3,1;28;10;10,3;7,7;-8,2;48;0
QP013036;9370;12230;16120;0,6;7870;8910;9980;11220;13660;15310;17570;21450;2,7;0,241;3,349;53;7,2;22,7;2,5;29,4;7,8;13,9;7,7;-7,6;54,6;0
QP013037;9910;12970;16110;0,5;7870;9520;10550;11940;14260;15360;17270;20780;2,6;0,204;2,78;47,1;6,5;30,7;1,8;27,9;7,4;12,4;8,1;-7,5;47,5;0
QP013038;9760;12990;17170;0,6;7890;9170;10450;11600;14440;16010;18450;22280;2,8;0,235;3,269;58,7;6,1;21,1;2,7;26,6;8,2;11,2;7,2;-9,1;47,4;0
QP013039;9940;13020;16720;0,5;8100;9370;10680;11960;14350;15830;17770;21290;2,6;0,206;2,816;50,4;6,8;28,4;1,9;27,1;6,9;12,7;7,5;-7,8;46,8;0
QP013040;9730;12350;16050;0,5;8000;9200;10270;11460;13590;15250;16780;19800;2,5;0,204;2,741;50,1;8,5;21,4;1,5;33,6;9,2;14,7;9,7;-6,6;52,2;0
QP013041;11250;13980;17090;0,4;9510;10750;11820;12820;15450;16480;18030;21710;2,3;0,189;2,567;56,7;6,1;26,6;2,1;22,8;8,1;8,4;6,3;-8,2;38,4;0
QP013042;9420;11890;15580;0,5;7740;8940;9860;10910;13010;14540;16690;20030;2,6;0,222;3,062;47,5;5,7;19,5;1,9;38;10,2;17,5;10,3;-6,9;57,3;0
QP013043;10250;13110;17490;0,6;8500;9600;10740;12140;14850;16620;18810;23600;2,8;0,228;3,072;53,5;5;27,7;2;25,9;7,6;10,6;7,7;-9,1;44,4;0
QP013044;9570;12100;15520;0,5;7810;9070;10150;11140;13240;14580;16410;19960;2,6;0,213;2,926;46;6,4;22;2;36,6;9,9;16,3;10,4;-6,6;54,6;0
QP013045;9710;12800;16200;0,5;7960;9200;10060;11410;13820;15180;16910;20450;2,6;0,214;2,838;50,9;6,1;20,6;1,6;34,3;8,5;16,5;9,3;-7,4;48,2;0
QP013046;10000;12290;15680;0,5;8310;9680;10430;11470;13650;15180;16650;19800;2,4;0,209;2,77;50,3;6,3;21,4;1,5;33,9;8,8;14,9;10,2;-7,1;53,2;0
QP013047;10330;14070;18080;0,6;8020;9410;11040;12350;15640;16930;18720;22190;2,8;0,24;3,327;59,3;6,5;23;3,4;23,7;4,7;12,9;6,1;-9,4;42,7;0
QP013048;9980;13020;17320;0,6;8000;9340;10490;11750;14420;16070;18580;22850;2,9;0,243;3,352;51,6;5,1;27,3;4;26;8,7;10,7;6,6;-8,9;47,2;0
QP013049;9330;11960;15840;0,5;7260;8720;9830;10830;13130;14820;16970;20180;2,8;0,234;3,35;49,4;6,2;20,8;2,2;34,9;10,2;15,1;9,6;-7,3;56,2;0
QP013050;9890;12490;16400;0,5;8040;9270;10460;11550;13770;15400;17450;20170;2,5;0,212;2,937;48,4;5,7;25,1;1,6;32;9,8;13,3;8,9;-7,1;51,6;0
QP013051;9490;12050;15810;0,5;7680;8960;10030;11000;13340;14850;17110;20700;2,7;0,234;3,235;52,8;7;18,5;2,2;34;10,3;14;9,7;-7,5;55,4;0
