codgeo;disp_q1_a16;disp_q2_a16;disp_q3_a16;disp_q1q3q2_a16;disp_d1_a16;disp_d2_a16;disp_d3_a16;disp_d4_a16;disp_d6_a16;disp_d7_a16;disp_d8_a16;disp_d9_a16;disp_d1d9_a16;disp_gini_a16;disp_s80s20_a16;disp_pact_a16;disp_pcho_a16;disp_ppen_a16;disp_ppat_a16;disp_ppsoc_a16;disp_ppfam_a16;disp_ppmini_a16;disp_pplogt_a16;disp_pimpot_a16;tp60_a16;note
QP066006;8150;10540;13530;0,5;5970;7640;8650;9460;11590;12780;14420;17470;2,9;0,257;3,789;44,5;7,5;25,5;3,3;33,6;9,2;13,7;10,7;-6,9;67,9;0
QP066007;10140;13680;18620;0,6;7880;9320;10850;12100;15320;17360;20230;24660;3,1;0,282;4,079;51;5,2;29,3;7,4;23;4,2;11,4;7,4;-10,7;42,3;0
QP066008;8980;11920;16740;0,7;6250;8400;9370;10470;13430;15290;18820;26200;4,2;0,341;5,612;51,9;5,6;21,4;7,5;31,4;3,5;18,3;9,6;-12,2;53,8;0
QP066009;10180;12380;15380;0,4;8080;9840;10630;11140;13190;14210;16070;19130;2,4;0,203;2,603;33,7;3,7;20,2;3;49,2;11,6;28,4;9,1;-6,1;51,3;0
QP066010;8540;10810;13370;0,4;6890;8160;9070;9860;11660;12660;14260;16910;2,5;0,204;2,828;33;5,3;25,6;1,9;44,4;10,8;19,6;14;-4,9;67,8;0
QP067001;11270;14720;19200;0,5;8970;10560;12000;13400;16610;17970;20650;24760;2,8;0,259;3,742;68,2;6;20,7;7,8;14,7;4,6;5,4;4,6;-11,4;32,9;0
QP067002;10040;13300;18560;0,6;7660;9340;10580;11560;14890;17360;19910;24520;3,2;0,284;4,397;64,5;6,3;23,1;3,1;20,2;5,7;8;6,5;-10,9;45,1;0
QP067003;11210;14700;18980;0,5;9130;10650;11870;13380;16050;17650;20400;25290;2,8;0,237;3,191;67,5;5,9;21,3;4;17,6;7,4;5;5,2;-10,4;33;0
QP067004;10260;12950;16750;0,5;8330;9750;10770;11910;14040;15660;17940;21400;2,6;0,211;2,874;53,7;6,7;28,2;2,5;23,8;7,1;8,8;7,9;-8,2;46,2;0
QP067005;9590;12460;15890;0,5;7970;9090;10300;11460;13800;15050;16930;20100;2,5;0,216;2,958;55;7;21,3;2;29,2;6,5;13,3;9,5;-7,5;50,2;0
QP067006;10340;13430;17140;0,5;7960;9740;10780;12380;14510;16240;17920;21600;2,7;0,209;2,923;57,1;6,7;26,6;2,2;22,4;6,5;8,1;7,7;-8,3;41,4;0
QP067007;11290;15190;20460;0,6;8700;10580;11940;13520;16710;19280;22020;26410;3;0,243;3,415;58,7;4,8;29,4;4,6;18,2;6,4;6,4;5,3;-10,9;33,1;0
QP067008;10400;13450;16700;0,5;8620;9950;11050;12170;14930;16030;17520;20920;2,4;0,205;2,791;53,5;6,7;29,1;2,6;23;7;8,2;7,8;-8,2;41,9;0
QP067009;10220;12910;16830;0,5;8060;9540;10760;11840;14280;15920;18110;21030;2,6;0,208;2,858;54,8;7,2;27;2,2;23,7;8,4;8,2;7,1;-7,7;45,6;0
QP067010;9920;13050;16810;0,5;8160;9510;10620;11850;14100;15710;17770;20420;2,5;0,207;2,817;59,7;8;20,9;2;25,4;7,9;9,2;8,3;-8;45,6;0
QP067011;9800;12480;16610;0,5;7890;9200;10280;11360;13780;15450;17850;21610;2,7;0,234;3,225;58,6;6,2;21,4;2,7;26,2;8,4;9,8;7,9;-8,9;50;0
QP067012;10200;13540;18590;0,6;7740;9550;10920;12350;14990;17380;19870;24010;3,1;0,242;3,364;65,7;7,1;21,7;3,6;19,4;6,6;6,3;6,5;-10,4;41,4;0
QP067013;10350;13160;17170;0,5;8270;9710;10960;11910;14400;16150;18390;21860;2,6;0,218;2,992;58,7;6,4;22,4;2,6;25;8;9,1;7,8;-8,7;44,2;0
QP067014;9710;12060;15520;0,5;7990;9170;10260;11250;13160;14700;16670;20170;2,5;0,214;2,897;51,8;6,3;22,9;2,5;30,3;9,6;11,6;9,1;-7,5;54,4;0
QP067015;10260;13820;19680;0,7;8190;9660;10950;12310;15550;18020;21840;27300;3,3;0,277;3,998;75,8;6,4;12,5;3,7;20;4,1;8,7;7,2;-12;41,4;0
QP067016;9780;12440;16230;0,5;7900;9230;10200;11290;13680;15310;17470;21030;2,7;0,218;2,996;55,1;6,2;20,7;2,2;29,9;8,7;12,1;9,1;-7,9;50,5;0
QP067017;10330;13200;17030;0,5;8220;9730;10830;11900;14440;16040;18050;21310;2,6;0,212;2,936;54,3;6,5;28,2;2,3;23,2;6,6;9,5;7,1;-8;43,9;0
QP067018;10540;14190;19290;0,6;8370;9860;11080;12670;15860;18140;21160;27400;3,3;0,29;4,096;67,2;6,6;22,3;5,6;17;2,8;7,8;6,4;-12,1;39,3;0
QP067019;9910;12250;16130;0,5;8240;9340;10360;11210;13420;15090;17090;20470;2,5;0,208;2,756;55,6;8,3;17,9;1,7;31,8;8,1;12,7;11;-7;51,7;0
QP067020;9720;12110;15350;0,5;8040;9140;10190;11230;13240;14670;16280;19310;2,4;0,205;2,801;51,7;7,1;20,5;2,3;32,3;6,8;14,7;10,8;-6,8;52,8;0
QP067021;10910;13950;17870;0,5;8740;10310;11490;12680;15190;16640;18670;22220;2,5;0,216;2,954;60,7;7;25,3;3,7;19,8;6,6;6,7;6,5;-9,5;38,5;0
QP068001;9230;11440;15000;0,5;7040;8520;9480;10240;12560;14170;16270;19890;2,8;0,246;3,366;48,4;6,7;27,2;3,8;27,7;7,2;12,5;7,9;-7,1;59,3;0
QP068002;10080;12880;16880;0,5;7960;9410;10610;11810;14250;15780;18140;22130;2,8;0,232;3,224;58,1;6,7;25,1;2,8;22,7;7,6;8;7,1;-8,7;46,4;0
QP068003;9560;11900;15390;0,5;7640;9070;9910;11030;12920;14460;16650;20390;2,7;0,227;3,117;53,5;8;22,4;2,4;29,5;10,5;9,8;9,2;-7,8;55,8;0
QP068004;10030;12610;16500;0,5;8140;9320;10570;11560;14070;15630;17450;20130;2,5;0,215;2,967;53,1;7,2;24,5;2,7;27;8,4;9,8;8,7;-7,3;48,7;0
QP068005;9820;12960;17560;0,6;7180;9110;10380;11660;14470;16410;19040;23450;3,3;0,271;4,077;62;7;22,3;4,3;21,5;6;8,4;7,2;-10,1;46,8;0
QP068006;10420;13310;17650;0,5;8100;9780;10900;12110;14670;16650;19010;22930;2,8;0,231;3,208;59,5;7;24,7;2,8;21,9;6;8,7;7,2;-8,9;42,7;0
QP068007;10700;13840;19020;0,6;8190;10350;11350;12680;15780;17780;20380;23400;2,9;0,239;3,245;64,6;7,7;24,6;4;17,1;7,5;5,1;4,6;-10,3;38,8;0
QP068008;10350;13350;17520;0,5;7880;9810;11230;12150;14600;16570;18620;22220;2,8;0,218;3,052;63,1;7,5;21,8;1,9;21,5;8,2;6,7;6,5;-8,3;43,7;0
QP068009;10340;14550;20460;0,7;7930;9590;11300;12680;16780;19270;22320;29110;3,7;0,308;4,615;75,3;6,9;18,5;2,9;15,8;4,8;6,1;4,9;-12,5;37,9;0
QP068010;10200;13590;17040;0,5;7980;9410;10980;12410;14820;16480;18300;21710;2,7;0,219;3,019;51,2;6,7;30,5;3,1;22,6;8,4;7,9;6,4;-7,4;40,6;0
QP069001;11010;14370;18440;0,5;8550;10430;11710;13140;15940;17390;19630;22450;2,6;0,22;3,067;59;5,3;28;4,3;17,9;6,7;6,2;5;-9,2;35,6;0
QP069002;11020;14390;18360;0,5;8950;10230;11530;12890;15790;17600;19560;24680;2,8;0,251;3,459;67,6;6,3;17,8;4,4;20,9;7,5;7,2;6,3;-10,7;36,8;0
QP069003;11880;14980;18290;0,4;9580;11270;12230;13750;15930;17780;19510;24170;2,5;0,215;2,969;65,3;7;24,8;3,5;16,4;4,9;6,5;5;-10;30,9;0
QP069004;10710;14220;18970;0,6;8050;10050;11390;12830;15850;17820;20360;24140;3;0,248;3,656;58,5;6;29,1;4,6;17,6;5,4;6,8;5,5;-9,8;37,4;0
QP069005;10780;13550;17020;0,5;8870;10440;11570;12480;14770;16270;17930;21520;2,4;0,195;2,497;58,2;6,8;23,3;1,9;24;8,1;8,9;7;-7,4;40,8;0
QP069006;10500;13690;17750;0,5;8670;9970;11480;12420;14780;16830;18990;22780;2,6;0,224;2,951;69,2;6,3;12,4;2,2;25,3;10,4;6,9;8;-9,1;40,7;0
QP069007;9890;12590;16600;0,5;7780;9230;10410;11490;13720;15740;17800;21130;2,7;0,229;3,158;54,8;7,1;25,4;3;24,8;8,6;9;7,2;-8;49,6;0
QP069008;9930;12310;15250;0,4;7960;9410;10440;11350;13180;14390;16180;19270;2,4;0,199;2,764;49,9;6,8;23,2;2;31,4;10;11,3;10,1;-6,5;52,3;0
QP069009;11180;13500;16640;0,4;9220;10420;11640;12410;14630;16110;17680;20430;2,2;0,178;2,415;53,9;7,2;27,6;2,7;22,8;6,1;9;7,6;-7;40,2;0
QP069010;9910;12560;16170;0,5;7600;9220;10370;11470;13760;15230;17070;20390;2,7;0,218;3,043;60,8;7,2;17,7;2,1;27,2;7,7;10,7;8,8;-7,8;49,5;0
QP069011;10350;13590;18020;0,6;8290;9780;10910;12190;15310;17100;19200;22660;2,7;0,229;3,164;61,8;6,4;24,8;3,4;19,6;7,3;6,7;5,6;-9,6;41,5;0
QP069012;9690;12160;15610;0,5;7610;9020;10110;11090;13320;14710;16770;19320;2,5;0,21;2,906;54,5;8,1;20,7;2,2;29,5;9,9;10,8;8,8;-6,9;52,7;0
QP069013;9880;12630;17180;0,6;8020;9400;10300;11590;14340;15810;18540;22540;2,8;0,244;3,354;64,8;6,5;17,8;4;22,5;6,3;8,9;7,3;-9,1;49,5;0
QP069014;10450;13450;18720;0,6;8010;9700;11160;12310;15230;17290;20200;23440;2,9;0,237;3,28;55,5;5,4;29,8;3,7;20;7,1;7,2;5,7;-9;40,7;0
QP069015;9760;12570;16320;0,5;7790;9260;10350;11430;13910;15440;17480;20770;2,7;0,221;3,074;56,8;6,4;22;2,7;26,6;9,6;9,6;7,4;-8,1;49,2;0
QP069016;10610;13250;16960;0,5;8410;9940;11150;12070;14490;16090;18240;21430;2,5;0,21;2,935;55,2;6,3;25,7;2,7;24,6;7,5;9,3;7,9;-8,2;43,5;0
QP069017;12390;15210;19560;0,5;9950;11680;12910;14140;16740;18540;20810;24700;2,5;0,198;2,691;62,1;4,9;25,7;2,6;18,9;6,7;6,5;5,8;-9,3;26,1;0
QP069018;10030;12970;16810;0,5;7980;9470;10560;11780;14250;15790;17900;20920;2,6;0,217;3,02;58,3;6,4;22,6;2,5;24,7;8,9;8,8;7;-8,1;45,6;0
QP069019;10560;13600;18840;0,6;8430;10010;11260;12170;15510;17540;20310;25120;3;0,24;3,349;70,9;6,7;16,2;3,5;19,6;7,3;6,6;5,7;-10,2;42;0
QP069020;10240;13620;17950;0,6;8360;9630;10930;12500;14990;16890;19360;22390;2,7;0,217;2,995;63,5;6,6;20,4;2,9;22,1;8,4;7,5;6,3;-8,9;40;0
QP069021;10050;13060;18000;0,6;8110;9290;10580;11610;14540;16700;19330;22380;2,8;0,228;3,059;56;7;28,4;3,4;20,5;5;9;6,6;-8,3;45,5;0
QP069022;10750;14340;19710;0,6;8310;10080;11410;12690;16000;18190;21200;25180;3;0,245;3,504;66,9;5,9;22,4;4,2;17,1;7,1;5,4;4,6;-10,6;38,4;0
QP069023;10310;13590;18030;0,6;8340;9540;10920;12070;15390;17000;19010;22140;2,7;0,222;3,056;65,9;6,5;18,4;2,1;22,5;7,8;7,9;6,8;-8,9;43,5;0
QP069024;9150;11960;16180;0,6;6990;8610;9620;10870;13320;14960;17260;20680;3;0,23;3,213;53,8;6,9;23,8;2,4;27,3;7,2;11,9;8,2;-7,3;54,1;0
QP069025;11110;14390;19130;0,6;8820;10510;11560;12940;15970;18190;20540;26840;3;0,268;3,721;63;5,5;25,1;5,6;18,6;6;6,5;6;-12,3;36,3;0
QP069026;10170;13170;17030;0,5;8090;9590;11090;12240;14460;15910;18230;20970;2,6;0,207;2,849;57,7;7,8;23,3;2,1;24,5;8,1;8,7;7,7;-7,6;42,6;0
QP069027;10920;14210;18310;0,5;9040;10270;11800;13040;15690;17550;19680;22650;2,5;0,203;2,722;67,7;7,6;18,8;2,2;19,8;7,3;6,5;6,1;-8,5;35,7;0
QP069028;11040;13950;18370;0,5;8680;10430;11600;12680;15400;17250;19540;23420;2,7;0,218;3,018;58,1;5,7;27,2;3,1;20,7;7,2;7,1;6,4;-9,1;38,3;0
QP069029;10510;14200;18310;0,5;8600;10080;11100;12580;15720;17360;19610;23250;2,7;0,231;3,213;62,5;5,8;26,2;4,4;16,6;7,5;4,8;4,4;-9,7;39,3;0
QP069030;10140;13870;19240;0,7;8080;9670;10890;12400;16000;17960;20200;24150;3;0,235;3,257;65,4;8,4;20,4;2,3;21,2;6,8;7,6;6,7;-9,3;40,6;0
QP069031;10770;13650;17770;0,5;8370;10000;11320;12440;15120;16770;19050;22490;2,7;0,216;3,036;60,6;6,5;24,2;2,5;21,3;7,8;7,4;6,2;-8,6;40,3;0
QP069032;10760;13890;17500;0,5;8560;10130;11390;12750;15330;16470;18550;21740;2,5;0,201;2,735;60;6,7;23,2;2,4;23,2;7;8,5;7,7;-8,8;37,6;0
QP069033;9940;12910;17000;0,5;7800;9390;10560;11800;14160;15790;18230;21920;2,8;0,22;2,971;49,6;5,8;30,9;2,8;23,9;6,2;10,7;7,1;-7,2;46,5;0
QP069034;10650;13260;16860;0,5;8530;10160;11260;12310;14470;15890;18530;21430;2,5;0,215;2,959;57,7;7,4;23,4;2,1;25,5;8,9;8,6;8,1;-8,7;41,4;0
